published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-28,1050.0,1060.0,1050.0,1055.0,-0.47,125.0,132025.0,-1
2021-04-29,1050.0,1060.0,1050.0,1055.0,0.0,635.0,670675.0,0
2021-05-02,1050.0,1065.0,1050.0,1055.0,0.0,505.0,531900.0,0
2021-05-03,1051.0,1060.0,1051.0,1055.0,0.0,1470.0,1553020.0,0
2021-05-04,1046.0,1060.0,1046.0,1050.0,-0.47,375.0,395175.0,-1
2021-05-05,1065.0,1065.0,1052.0,1052.0,0.19,175.0,184900.0,1
2021-05-06,1051.0,1070.0,1050.0,1060.0,0.76,375.0,397125.0,1
2021-05-09,1055.0,1070.0,1054.0,1070.0,0.94,450.0,478850.0,1
2021-05-10,1065.0,1065.0,1060.0,1060.0,-0.93,150.0,159500.0,-1
2021-05-11,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-12,1041.0,1070.0,1041.0,1070.0,0.94,175.0,185975.0,1
2021-05-13,1075.0,1075.0,1075.0,1075.0,0.47,50.0,53750.0,1
2021-05-16,1070.0,1075.0,1070.0,1075.0,0.0,150.0,160725.0,0
2021-05-17,1060.0,1060.0,1060.0,1060.0,-1.4,40.0,42400.0,-1
2021-05-18,1060.0,1065.0,1060.0,1065.0,0.47,75.0,79625.0,1
2021-05-19,1045.0,1065.0,1045.0,1065.0,0.0,525.0,555900.0,0
2021-05-20,1060.0,1060.0,1060.0,1060.0,-0.47,100.0,106000.0,-1
2021-05-23,1068.0,1069.0,1056.0,1056.0,-0.38,600.0,638050.0,-1
2021-05-24,1060.0,1070.0,1060.0,1070.0,1.33,250.0,266675.0,1
2021-05-25,1070.0,1070.0,1065.0,1065.0,-0.47,425.0,454500.0,-1
2021-05-27,1065.0,1085.0,1065.0,1070.0,0.47,410.0,441125.0,1
2021-05-30,1070.0,1070.0,1070.0,1070.0,0.0,150.0,160500.0,0
2021-05-31,1052.0,1070.0,1052.0,1065.0,-0.47,245.0,261505.0,-1
2021-06-01,1080.0,1085.0,1070.0,1085.0,1.88,235.0,252800.0,1
2021-06-02,1085.0,1085.0,1085.0,1085.0,0.0,115.0,124775.0,0
2021-06-06,1068.0,1068.0,1068.0,1068.0,-1.57,25.0,26700.0,-1
2021-06-07,1070.0,1080.0,1070.0,1075.0,0.66,290.0,310475.0,1
2021-06-08,1080.0,1085.0,1070.0,1080.0,0.47,525.0,566375.0,1
2021-06-09,1059.0,1080.0,1059.0,1080.0,0.0,50.0,53475.0,0
2021-06-10,1070.0,1070.0,1070.0,1070.0,-0.93,75.0,80250.0,-1
2021-06-13,1061.0,1090.0,1061.0,1090.0,1.87,1325.0,1431050.0,1
2021-06-14,1090.0,1090.0,1090.0,1090.0,0.0,450.0,490500.0,0
2021-06-15,1090.0,1111.0,1089.0,1089.0,-0.09,300.0,328550.0,-1
2021-06-16,1092.0,1100.0,1085.0,1085.0,-0.37,125.0,136475.0,-1
2021-06-17,1080.0,1106.0,1080.0,1106.0,1.94,355.0,390050.0,1
2021-06-20,1090.0,1124.0,1085.0,1124.0,1.63,1265.0,1397500.0,1
2021-06-21,1105.0,1105.0,1105.0,1105.0,-1.69,100.0,110500.0,-1
2021-06-22,1085.0,1110.0,1083.0,1105.0,0.0,260.0,283125.0,0
2021-06-23,1083.0,1104.0,1083.0,1104.0,-0.09,425.0,464575.0,-1
2021-06-27,1100.0,1126.0,1100.0,1126.0,1.99,65.0,72265.0,1
2021-06-29,1104.0,1104.0,1104.0,1104.0,-1.95,25.0,27600.0,-1
2021-07-04,1082.0,1100.0,1082.0,1100.0,-0.36,50.0,54550.0,-1
2021-07-07,1085.0,1085.0,1085.0,1085.0,-1.36,25.0,27125.0,-1
2021-07-08,1085.0,1085.0,1085.0,1085.0,0.0,60.0,65100.0,0
2021-07-12,1085.0,1085.0,1085.0,1085.0,0.0,25.0,27125.0,0
2021-07-13,1106.0,1150.0,1106.0,1150.0,5.99,485.0,545975.0,1
2021-07-14,1127.0,1127.0,1127.0,1127.0,-2.0,10.0,11270.0,-1
2021-07-15,1105.0,1105.0,1083.0,1083.0,-3.9,45.0,49175.0,-1
2021-07-18,1080.0,1080.0,1060.0,1060.0,-2.12,315.0,334800.0,-1
2021-07-19,1041.0,1047.0,1041.0,1047.0,-1.23,400.0,417900.0,-1
2021-07-20,1047.0,1050.0,1041.4,1050.0,0.29,200.0,209420.0,1
2021-07-22,1050.0,1050.0,1041.0,1041.0,-0.86,1700.0,1775325.0,-1
2021-07-25,1045.0,1050.0,1045.0,1050.0,0.86,380.0,398380.0,1
2021-07-26,1050.0,1070.0,1050.0,1070.0,1.9,375.0,399000.0,1
2021-07-28,1060.0,1069.0,1060.0,1060.2,-0.92,725.0,768605.0,-1
2021-08-01,1039.0,1058.0,1039.0,1058.0,-0.21,225.0,234882.5,-1
2021-08-02,1058.0,1058.0,1058.0,1058.0,0.0,100.0,105800.0,0
2021-08-03,1042.0,1042.0,1042.0,1042.0,-1.51,25.0,26050.0,-1
2021-08-04,1045.0,1052.0,1045.0,1052.0,0.96,150.0,156957.5,1
2021-08-05,1050.0,1053.1,1050.0,1053.1,0.1,150.0,157810.0,1
