published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-19,700.0,713.0,713.0,713.0,0.0,10.0,7130.0,0
2011-04-26,713.0,727.0,727.0,727.0,0.0,428755.0,311704896.0,0
2011-06-08,727.0,755.0,741.0,755.0,0.0,23.0,17225.0,0
2011-06-09,755.0,785.0,770.0,785.0,0.0,30.0,23370.0,0
2011-06-12,785.0,816.0,800.0,816.0,0.0,25.0,20160.0,0
2011-06-13,816.0,832.0,832.0,832.0,0.0,25.0,20800.0,0
2011-06-14,832.0,848.0,848.0,848.0,0.0,14.0,11872.0,0
2011-06-15,848.0,890.0,890.0,890.0,0.0,10.0,8900.0,0
2011-06-16,890.0,907.0,907.0,907.0,0.0,17.0,15419.0,0
2011-06-19,907.0,952.0,952.0,952.0,0.0,30.0,28560.0,0
2011-06-20,907.0,952.0,952.0,952.0,0.0,30.0,28560.0,0
2011-06-21,990.0,1009.0,1009.0,1009.0,0.0,10.0,10090.0,0
2011-06-23,1009.0,1080.0,1059.0,1080.0,0.0,70.0,74760.0,0
2011-06-26,1080.0,1179.0,1134.0,1179.0,0.0,110.0,126300.0,0
2011-06-27,1179.0,1250.0,1202.0,1250.0,0.0,130.0,158420.0,0
2011-06-29,1250.0,1364.0,1312.0,1364.0,0.0,180.0,241620.0,0
2011-06-30,1364.0,1489.0,1432.0,1489.0,0.0,190.0,279450.0,0
2011-07-05,1489.0,1548.0,1518.0,1548.0,0.0,20.0,30660.0,0
2011-07-10,1548.0,1702.0,1578.0,1702.0,0.0,550.0,896600.0,0
2011-07-11,1702.0,1872.0,1736.0,1872.0,0.0,50.0,90240.0,0
2011-07-13,1872.0,1909.0,1835.0,1835.0,0.0,73.0,136737.0,0
2011-07-14,1835.0,1799.0,1729.0,1729.0,0.0,60.0,106470.0,0
2011-07-17,1729.0,1700.0,1691.0,1691.0,0.0,428805.0,725109696.0,0
2011-08-04,1691.0,1690.0,1690.0,1690.0,0.0,320.0,540800.0,0
2011-08-10,1690.0,1690.0,1690.0,1690.0,0.0,250.0,422500.0,0
2011-08-16,1690.0,1690.0,1690.0,1690.0,0.0,250.0,422500.0,0
2011-08-18,1690.0,1690.0,1690.0,1690.0,0.0,10.0,16900.0,0
2011-08-30,1690.0,1690.0,1690.0,1690.0,0.0,200.0,338000.0,0
2011-10-10,1690.0,1690.0,1690.0,1690.0,0.0,14.0,23660.0,0
2011-11-28,1690.0,1690.0,1690.0,1690.0,0.0,127.0,214630.0,0
2012-04-12,1690.0,1690.0,1690.0,1690.0,0.0,960.0,1622400.0,0
2012-09-11,1690.0,1680.0,1680.0,1680.0,0.0,20.0,33600.0,0
2013-05-26,1680.0,1680.0,1680.0,1680.0,0.0,20.0,33600.0,0
2013-07-15,1680.0,1680.0,1680.0,1680.0,0.0,60.0,100800.0,0
2014-08-26,1660.0,1660.0,1660.0,1660.0,0.0,840.0,1394400.0,0
2014-09-10,1660.0,1660.0,1660.0,1660.0,0.0,82.0,136120.0,0
2019-05-06,1726.0,1760.0,1726.0,1760.0,6.02,20.0,34860.0,1
2019-10-10,1795.0,1830.0,1795.0,1830.0,3.98,134.0,244870.0,1
2021-08-01,1866.6,1903.9,1866.6,1903.9,4.04,360.0,685031.0,1
2022-05-17,1941.9,1941.9,1941.9,1941.9,2.0,21.0,40779.9,1
2022-09-13,1980.7,2136.0,1980.7,2136.0,10.0,52.0,106957.4,1
2022-09-14,2178.7,2178.7,2178.7,2178.7,2.0,10.0,21787.0,1
2022-09-25,2222.2,2222.2,2222.2,2222.2,2.0,10.0,22222.0,1
2023-07-11,2266.6,2311.9,2266.6,2311.9,4.04,20.0,45785.0,1
2023-08-07,2358.1,2405.2,2358.1,2405.2,4.04,20.0,47633.0,1
2023-09-24,2453.3,2453.3,2453.3,2453.3,2.0,22.0,53972.6,1
2023-12-11,2502.3,2698.6,2502.3,2698.6,10.0,50.0,130118.0,1
2023-12-12,2752.5,2968.4,2752.5,2968.4,10.0,50.0,143128.0,1
2023-12-13,3027.7,3265.2,3027.7,3265.2,10.0,50.0,157438.0,1
2023-12-14,3330.5,3591.7,3330.5,3591.7,10.0,50.0,173186.0,1
2023-12-17,3663.5,3950.8,3663.5,3950.8,10.0,50.0,190500.0,1
2023-12-18,3950.7,4345.8,3950.7,4345.8,10.0,60.0,249050.0,1
2023-12-19,4432.7,4780.3,4432.7,4780.3,10.0,50.0,230499.0,1
2023-12-20,4875.9,5258.3,4875.9,5258.3,10.0,50.0,253546.0,1
2023-12-21,5363.4,5784.1,5363.4,5784.1,10.0,50.0,278897.0,1
2023-12-24,5899.7,6362.5,5899.7,6362.5,10.0,50.0,306783.0,1
2023-12-27,6235.5,6235.5,6235.5,6235.5,-2.0,10.0,62355.0,-1
2024-01-31,6360.2,6360.2,6360.2,6360.2,2.0,10.0,63602.0,1
2024-02-12,6487.4,6996.2,6487.4,6996.2,10.0,50.0,337344.0,1
2024-02-13,7136.1,7695.8,7136.1,7695.8,10.0,50.0,371077.0,1
2024-02-14,7849.7,8465.3,7849.7,8465.3,10.0,50.0,408183.0,1
2024-02-15,8634.6,9311.8,8634.6,9311.8,10.0,50.0,448998.0,1
2024-02-18,9498.0,10242.9,9498.0,10242.9,10.0,60.0,596325.0,1
2024-02-20,10447.7,11267.1,10447.7,11267.1,10.0,50.0,543281.0,1
2024-02-21,11492.4,12393.8,11492.4,12393.8,10.0,50.0,597607.0,1
2024-02-22,12641.6,13415.2,12641.6,13415.2,8.24,40.0,521034.0,1
2024-02-25,13683.5,14756.7,13683.5,14756.7,10.0,61.0,873867.7,1
2024-02-26,15051.8,16232.3,15051.8,16232.3,10.0,50.0,782696.0,1
2024-02-27,16556.9,17855.5,16556.9,17855.5,10.0,50.0,860963.0,1
2024-02-28,18205.0,19641.0,17855.5,19641.0,10.0,220.0,4036052.0,1
2024-02-29,20033.8,21605.1,20033.8,21605.1,10.0,70.0,1473863.0,1
