published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-02-06,1000.0,1000.0,1000.0,1000.0,0.0,65.0,65000.0,0
2022-06-30,980.0,980.0,980.0,980.0,-2.0,90.0,88200.0,-1
2022-07-01,960.4,960.4,960.4,960.4,-2.0,25.0,24010.0,-1
2022-07-03,941.2,941.2,870.0,871.0,-9.31,410.0,362665.0,-1
2022-07-04,853.6,853.6,821.1,821.1,-5.73,205.0,171162.0,-1
2022-07-05,814.5,814.5,805.0,805.0,-1.96,175.0,142030.0,-1
2022-07-06,800.3,800.3,800.3,800.3,-0.58,25.0,20007.5,-1
2022-07-07,800.1,832.0,800.0,821.0,2.59,240.0,197192.5,1
2022-07-11,814.0,854.1,814.0,837.1,1.96,135.0,112597.5,1
2022-07-12,837.1,841.0,837.1,841.0,0.47,107.0,89742.2,1
2022-07-13,825.0,825.0,825.0,825.0,-1.9,25.0,20625.0,-1
2022-07-14,841.5,841.5,841.5,841.5,2.0,25.0,21037.5,1
2022-07-17,824.7,824.7,805.0,805.0,-4.34,95.0,77465.5,-1
2022-07-18,795.0,795.0,795.0,795.0,-1.24,47.0,37365.0,-1
2022-07-19,780.1,795.0,780.1,795.0,0.0,100.0,78382.5,0
2022-07-20,780.0,780.0,765.0,765.0,-3.77,40.0,30975.0,-1
2022-07-21,780.0,780.0,780.0,780.0,1.96,100.0,78000.0,1
2022-07-22,766.1,766.1,766.0,766.0,-1.79,50.0,38302.5,-1
2022-07-24,770.0,770.0,770.0,770.0,0.52,50.0,38500.0,1
2022-07-25,785.0,785.0,772.0,772.0,0.26,35.0,27150.0,1
2022-07-26,771.0,786.0,771.0,786.0,1.81,131.0,102501.0,1
2022-07-27,782.1,785.0,782.1,785.0,-0.13,55.0,43088.0,-1
2022-07-28,780.0,780.0,776.0,776.0,-1.15,70.0,54440.0,-1
2022-07-31,770.0,775.0,770.0,775.0,-0.13,75.0,58000.0,-1
2022-08-01,764.6,764.6,764.5,764.5,-1.35,50.0,38227.5,-1
2022-08-03,752.1,767.1,752.1,760.0,-0.59,100.0,75980.0,-1
2022-08-04,760.3,760.3,760.0,760.0,0.0,25.0,19003.0,0
2022-08-05,775.2,775.2,775.2,775.2,2.0,10.0,7752.0,1
2022-08-11,762.0,762.0,762.0,762.0,-1.7,25.0,19050.0,-1
2022-08-14,762.0,769.0,755.1,769.0,0.92,75.0,57152.5,1
2022-08-15,765.0,765.0,765.0,765.0,-0.52,100.0,76500.0,-1
2022-08-18,780.0,780.0,780.0,780.0,1.96,50.0,39000.0,1
2022-08-21,765.6,765.6,765.6,765.6,-1.85,100.0,76560.0,-1
2022-08-23,765.0,765.0,765.0,765.0,-0.08,25.0,19125.0,-1
2022-09-02,765.0,765.0,765.0,765.0,0.0,25.0,19125.0,0
2022-09-04,765.0,765.0,765.0,765.0,0.0,50.0,38250.0,0
2022-09-05,765.0,765.1,752.0,752.0,-1.7,475.0,358673.0,-1
2022-09-07,760.0,760.0,760.0,760.0,1.06,100.0,76000.0,1
2022-09-11,745.5,760.4,745.4,745.4,-1.92,240.0,180516.0,-1
2022-09-13,750.0,765.0,750.0,765.0,2.63,100.0,76125.0,1
2022-09-15,765.0,765.0,760.0,760.0,-0.65,105.0,79875.0,-1
2022-09-18,760.0,760.0,760.0,760.0,0.0,500.0,380000.0,0
2022-09-20,760.0,760.0,760.0,760.0,0.0,65.0,49400.0,0
2022-09-25,755.0,755.0,755.0,755.0,-0.66,285.0,215175.0,-1
2022-09-27,755.0,755.0,755.0,755.0,0.0,50.0,37750.0,0
2022-10-09,755.0,755.0,755.0,755.0,0.0,100.0,75500.0,0
2022-10-10,758.0,758.0,758.0,758.0,0.4,40.0,30320.0,1
2022-10-11,742.9,742.9,742.9,742.9,-1.99,100.0,74290.0,-1
2022-10-16,757.7,757.7,757.7,757.7,1.99,25.0,18942.5,1
2022-10-17,756.0,756.6,756.0,756.6,-0.15,50.0,37815.0,-1
2022-10-19,741.5,741.5,741.5,741.5,-2.0,25.0,18537.5,-1
2022-10-31,738.5,738.5,738.5,738.5,-0.4,25.0,18462.5,-1
2022-11-08,753.0,753.0,753.0,753.0,1.96,10.0,7530.0,1
2022-11-16,753.0,753.0,753.0,753.0,0.0,25.0,18825.0,0
2022-11-17,747.0,750.0,740.0,750.0,-0.4,250.0,186352.5,-1
2022-12-05,750.0,750.0,740.0,740.1,-1.32,125.0,92757.7,-1
2022-12-06,750.0,750.0,750.0,750.0,1.34,25.0,18750.0,1
2022-12-11,765.0,765.0,765.0,765.0,2.0,25.0,19125.0,1
2023-01-01,780.3,780.3,780.3,780.3,2.0,25.0,19507.5,1
2023-01-03,770.0,770.0,770.0,770.0,-1.32,55.0,42350.0,-1
2023-01-17,755.0,755.0,755.0,755.0,-1.95,77.0,58135.0,-1
2023-01-18,770.1,770.1,770.1,770.1,2.0,20.0,15402.0,1
2023-01-19,774.9,775.0,774.9,775.0,0.64,35.0,27123.6,1
2023-01-23,760.0,760.0,750.0,751.0,-3.1,250.0,189525.0,-1
2023-01-24,750.0,765.0,750.0,765.0,1.86,252.0,190500.0,1
2023-01-29,765.0,765.0,765.0,765.0,0.0,165.0,126225.0,0
2023-01-30,760.0,760.0,760.0,760.0,-0.65,50.0,38000.0,-1
2023-02-05,750.0,750.0,750.0,750.0,-1.32,100.0,75000.0,-1
2023-02-09,751.0,751.0,751.0,751.0,0.13,15.0,11265.0,1
2023-02-12,766.0,766.0,751.0,751.0,0.0,35.0,26435.0,0
2023-02-14,760.0,760.0,760.0,760.0,1.2,60.0,45600.0,1
2023-02-15,760.5,760.5,760.0,760.0,0.0,100.0,76025.0,0
2023-02-16,761.0,761.0,761.0,761.0,0.13,100.0,76100.0,1
2023-02-22,760.0,760.0,760.0,760.0,-0.13,25.0,19000.0,-1
2023-02-26,760.0,760.0,760.0,760.0,0.0,30.0,22800.0,0
2023-03-01,775.0,775.0,775.0,775.0,1.97,30.0,23250.0,1
2023-03-02,760.0,760.0,760.0,760.0,-1.94,25.0,19000.0,-1
2023-03-05,770.0,770.0,754.6,754.6,-0.71,40.0,30415.0,-1
2023-03-15,740.1,740.1,740.1,740.1,-1.92,25.0,18502.5,-1
2023-03-16,751.0,751.0,751.0,751.0,1.47,50.0,37550.0,1
2023-03-22,748.0,748.0,748.0,748.0,-0.4,10.0,7480.0,-1
2023-03-28,745.0,745.0,745.0,745.0,-0.4,25.0,18625.0,-1
2023-04-04,748.0,748.0,745.2,745.2,0.03,100.0,74562.0,1
2023-04-06,755.0,755.0,752.1,752.1,0.93,25.0,18831.5,1
2023-04-09,760.0,760.0,760.0,760.0,1.05,10.0,7600.0,1
2023-04-10,760.0,760.0,760.0,760.0,0.0,25.0,19000.0,0
2023-04-12,775.0,775.0,775.0,775.0,1.97,10.0,7750.0,1
2023-04-16,775.0,775.0,775.0,775.0,0.0,25.0,19375.0,0
2023-04-18,790.0,790.0,790.0,790.0,1.94,10.0,7900.0,1
2023-04-24,790.0,790.0,790.0,790.0,0.0,25.0,19750.0,0
2023-04-30,790.0,804.0,790.0,804.0,1.77,100.0,79845.0,1
2023-05-02,791.0,791.0,791.0,791.0,-1.62,25.0,19775.0,-1
2023-05-04,800.0,800.0,800.0,800.0,1.14,25.0,20000.0,1
2023-05-08,810.0,816.0,800.0,800.0,0.0,75.0,60650.0,0
2023-05-10,784.1,784.1,784.1,784.1,-1.99,25.0,19602.5,-1
2023-05-15,784.1,784.1,784.1,784.1,0.0,25.0,19602.5,0
2023-05-21,799.7,799.7,799.7,799.7,1.99,25.0,19992.5,1
2023-05-30,800.0,800.0,800.0,800.0,0.04,28.0,22400.0,1
2023-05-31,785.0,785.0,785.0,785.0,-1.88,15.0,11775.0,-1
2023-06-04,770.0,770.0,770.0,770.0,-1.91,25.0,19250.0,-1
2023-06-08,785.4,801.1,785.4,801.1,4.04,100.0,79690.0,1
2023-06-11,800.0,800.0,800.0,800.0,-0.14,25.0,20000.0,-1
2023-06-13,784.0,784.0,780.0,780.0,-2.5,100.0,78100.0,-1
2023-06-14,781.0,790.0,781.0,790.0,1.28,50.0,39275.0,1
2023-06-19,805.8,821.0,805.8,821.0,3.92,20.0,16268.0,1
2023-06-22,810.0,810.0,810.0,810.0,-1.34,30.0,24300.0,-1
2023-06-26,810.0,810.1,810.0,810.0,0.0,40.0,32401.0,0
2023-06-28,810.0,810.0,810.0,810.0,0.0,110.0,89100.0,0
2023-07-02,810.0,810.0,810.0,810.0,0.0,25.0,20250.0,0
2023-07-05,826.0,826.0,826.0,826.0,1.98,15.0,12390.0,1
2023-07-11,809.5,810.0,809.5,810.0,-1.94,55.0,44535.0,-1
2023-07-12,826.2,826.2,826.2,826.2,2.0,25.0,20655.0,1
2023-07-16,842.7,859.4,842.7,859.4,4.02,50.0,42552.5,1
2023-07-17,842.3,842.3,809.0,809.0,-5.86,50.0,40959.0,-1
2023-07-19,793.0,808.8,793.0,808.8,-0.02,75.0,60045.0,-1
2023-07-20,800.0,810.0,800.0,810.0,0.15,415.0,335090.0,1
2023-07-23,810.0,826.2,810.0,826.2,2.0,90.0,73530.0,1
2023-07-24,810.0,820.0,810.0,815.0,-1.36,105.0,85425.0,-1
2023-07-25,820.0,821.0,820.0,821.0,0.74,75.0,61550.0,1
2023-07-27,821.0,821.0,821.0,821.0,0.0,50.0,41050.0,0
2023-07-30,815.0,830.0,815.0,830.0,1.1,125.0,102250.0,1
2023-07-31,815.0,815.0,815.0,815.0,-1.81,100.0,81500.0,-1
2023-08-01,830.0,830.0,830.0,830.0,1.84,25.0,20750.0,1
2023-08-08,825.0,825.0,825.0,825.0,-0.6,25.0,20625.0,-1
2023-08-23,810.0,810.0,810.0,810.0,-1.82,25.0,20250.0,-1
2023-08-28,826.0,826.0,826.0,826.0,1.98,65.0,53690.0,1
2023-09-05,810.0,810.0,800.0,802.0,-2.91,60.0,48270.0,-1
2023-09-12,786.0,786.0,786.0,786.0,-2.0,25.0,19650.0,-1
2023-09-17,780.0,780.0,780.0,780.0,-0.76,25.0,19500.0,-1
2023-09-18,780.0,780.0,780.0,780.0,0.0,25.0,19500.0,0
2023-09-24,790.0,790.0,790.0,790.0,1.28,25.0,19750.0,1
2023-09-26,781.0,781.0,781.0,781.0,-1.14,25.0,19525.0,-1
2023-10-04,782.0,782.0,782.0,782.0,0.13,25.0,19550.0,1
2023-10-08,785.0,800.0,785.0,800.0,2.3,50.0,39625.0,1
2023-10-11,800.0,800.0,790.0,790.0,-1.25,75.0,59750.0,-1
2023-10-12,786.1,786.1,785.0,785.0,-0.63,50.0,39277.5,-1
2023-10-16,780.0,780.0,772.0,772.0,-1.66,50.0,38800.0,-1
2023-10-17,783.0,783.0,783.0,783.0,1.42,25.0,19575.0,1
2023-10-19,780.0,780.0,780.0,780.0,-0.38,25.0,19500.0,-1
2023-10-29,795.0,795.0,795.0,795.0,1.92,25.0,19875.0,1
2023-11-01,801.0,801.0,801.0,801.0,0.75,25.0,20025.0,1
2023-11-02,810.0,810.0,810.0,810.0,1.12,50.0,40500.0,1
2023-11-07,800.0,800.0,800.0,800.0,-1.23,50.0,40000.0,-1
2023-11-08,800.0,800.0,800.0,800.0,0.0,25.0,20000.0,0
2023-11-20,791.0,791.0,791.0,791.0,-1.13,25.0,19775.0,-1
2023-11-22,803.0,803.0,803.0,803.0,1.52,25.0,20075.0,1
2023-11-27,803.0,803.0,803.0,803.0,0.0,25.0,20075.0,0
2023-11-29,819.0,819.0,819.0,819.0,1.99,10.0,8190.0,1
2023-12-04,835.0,835.0,835.0,835.0,1.95,140.0,116900.0,1
2023-12-11,840.0,855.0,840.0,855.0,2.4,175.0,148500.0,1
2023-12-12,841.2,858.0,841.2,841.2,-1.61,125.0,106410.0,-1
2023-12-13,836.0,836.0,836.0,836.0,-0.62,25.0,20900.0,-1
2023-12-14,852.0,852.0,852.0,852.0,1.91,25.0,21300.0,1
2023-12-17,865.0,865.0,865.0,865.0,1.53,25.0,21625.0,1
2023-12-18,847.7,851.0,847.7,851.0,-1.62,125.0,106292.5,-1
2023-12-19,850.0,867.0,850.0,867.0,1.88,110.0,93670.0,1
2023-12-20,860.0,860.0,860.0,860.0,-0.81,100.0,86000.0,-1
2023-12-21,874.0,877.0,860.0,860.0,0.0,100.0,87125.0,0
2023-12-24,874.0,874.0,874.0,874.0,1.63,10.0,8740.0,1
2023-12-27,857.0,857.0,857.0,857.0,-1.95,25.0,21425.0,-1
2023-12-28,846.7,846.7,846.5,846.5,-1.23,60.0,50795.0,-1
2024-01-01,850.0,850.0,844.5,844.5,-0.24,50.0,42362.5,-1
2024-01-02,845.3,861.3,845.3,861.3,1.99,70.0,59425.7,1
2024-01-03,845.4,845.4,845.4,845.4,-1.85,25.0,21135.0,-1
2024-01-04,862.3,862.3,862.3,862.3,2.0,65.0,56049.5,1
2024-01-10,845.5,845.5,845.5,845.5,-1.95,25.0,21137.5,-1
2024-01-11,862.4,862.4,862.4,862.4,2.0,20.0,17248.0,1
2024-01-14,851.0,862.4,851.0,862.4,0.0,80.0,68422.0,0
2024-01-16,850.0,851.0,834.0,851.0,-1.32,150.0,126752.5,-1
2024-01-18,850.0,850.0,835.0,835.0,-1.88,75.0,63012.5,-1
2024-01-21,835.0,835.0,835.0,835.0,0.0,65.0,54195.0,0
2024-01-22,840.0,840.0,840.0,840.0,0.6,25.0,21000.0,1
2024-01-23,823.2,823.2,823.2,823.2,-2.0,75.0,61740.0,-1
2024-01-24,822.1,826.0,822.1,826.0,0.34,75.0,61872.0,1
2024-01-25,826.0,826.0,826.0,826.0,0.0,25.0,20650.0,0
2024-01-28,842.5,845.0,842.5,845.0,2.3,135.0,113800.0,1
2024-01-29,845.0,845.0,845.0,845.0,0.0,75.0,63427.0,0
2024-01-30,845.0,845.0,845.0,845.0,0.0,25.0,21125.0,0
2024-02-01,845.0,845.0,845.0,845.0,0.0,100.0,84500.0,0
2024-02-04,861.5,861.5,861.5,861.5,1.95,250.0,215375.0,1
2024-02-05,855.0,855.0,855.0,855.0,-0.75,70.0,59850.0,-1
2024-02-06,872.0,872.0,872.0,872.0,1.99,10.0,8720.0,1
2024-02-07,885.0,885.0,885.0,885.0,1.49,10.0,8850.0,1
2024-02-14,868.2,868.2,868.2,868.2,-1.9,40.0,34728.0,-1
2024-02-15,868.3,868.3,868.3,868.3,0.01,25.0,21707.5,1
2024-02-18,885.6,885.6,854.0,854.0,-1.65,100.0,88080.0,-1
2024-02-20,871.0,888.0,871.0,888.0,3.98,167.0,148126.0,1
2024-02-21,890.0,890.0,880.0,880.0,-0.9,63.0,55840.0,-1
2024-02-25,897.6,900.0,897.6,900.0,2.27,175.0,157380.0,1
2024-02-26,900.0,900.0,900.0,900.0,0.0,130.0,117000.0,0
2024-02-27,901.0,905.0,901.0,905.0,0.56,120.0,108190.0,1
2024-02-29,906.0,906.0,906.0,906.0,0.11,25.0,22650.0,1
2024-03-03,906.0,906.0,904.0,904.0,-0.22,50.0,45250.0,-1
2024-03-05,904.0,904.0,904.0,904.0,0.0,25.0,22600.0,0
2024-03-06,900.0,900.0,900.0,900.0,-0.44,25.0,22500.0,-1
