published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-27,1000.0,1000.0,941.2,941.2,-5.88,145.0,137840.0,-1
2022-09-28,922.4,922.4,904.0,904.0,-3.95,35.0,31824.0,-1
2022-10-10,899.0,899.0,899.0,899.0,-0.55,10.0,8990.0,-1
2022-10-11,881.1,881.1,863.5,865.0,-3.78,160.0,138456.0,-1
2022-10-12,847.7,847.7,778.5,780.0,-9.83,220.0,173253.0,-1
2022-10-13,764.4,764.4,750.1,750.1,-3.83,55.0,41684.5,-1
2022-10-16,737.0,751.7,737.0,751.7,0.21,110.0,82217.0,1
2022-10-17,740.0,740.0,740.0,740.0,-1.56,40.0,29600.0,-1
2022-10-19,740.0,740.0,740.0,740.0,0.0,140.0,103600.0,0
2022-10-20,740.0,740.1,740.0,740.1,0.01,35.0,25902.5,1
2022-10-23,738.1,738.1,738.1,738.1,-0.27,25.0,18452.5,-1
2022-10-31,737.0,741.0,737.0,740.0,0.26,75.0,55360.0,1
2022-11-01,741.0,745.0,741.0,745.0,0.68,50.0,37150.0,1
2022-11-02,745.0,759.9,745.0,759.9,2.0,75.0,56247.5,1
2022-11-06,745.0,745.0,745.0,745.0,-1.96,25.0,18625.0,-1
2022-11-07,745.0,750.0,745.0,750.0,0.67,25.0,18700.0,1
2022-11-09,749.0,750.0,749.0,750.0,0.0,125.0,93725.0,0
2022-11-13,750.0,750.0,750.0,750.0,0.0,60.0,45000.0,0
2022-11-15,750.0,750.0,750.0,750.0,0.0,25.0,18750.0,0
2022-11-22,740.3,750.0,740.3,750.0,0.0,52.0,38738.1,0
2022-11-23,742.2,742.2,742.2,742.2,-1.04,15.0,11133.0,-1
2022-11-24,757.0,757.0,757.0,757.0,1.99,30.0,22710.0,1
2022-11-27,742.0,756.8,742.0,745.2,-1.56,85.0,63380.7,-1
2022-11-28,745.0,745.0,745.0,745.0,-0.03,100.0,74500.0,-1
2022-11-29,744.1,744.1,744.0,744.0,-0.13,25.0,18601.0,-1
2022-12-01,744.0,744.0,744.0,744.0,0.0,15.0,11160.0,0
2022-12-04,746.0,746.0,746.0,746.0,0.27,25.0,18650.0,1
2022-12-11,745.0,748.0,745.0,748.0,0.27,125.0,93207.5,1
2022-12-12,762.9,762.9,762.9,762.9,1.99,25.0,19072.5,1
2022-12-15,763.0,763.0,763.0,763.0,0.01,35.0,26705.0,1
2022-12-18,755.1,755.1,755.0,755.0,-1.05,100.0,75501.0,-1
2022-12-19,755.1,755.1,741.1,741.1,-1.84,216.0,162079.7,-1
2022-12-20,742.2,743.1,742.2,743.1,0.27,50.0,37132.5,1
2022-12-27,741.3,741.3,741.3,741.3,-0.24,25.0,18532.5,-1
2022-12-28,740.3,750.0,740.3,750.0,1.17,50.0,37257.5,1
2022-12-29,740.0,740.0,736.0,736.0,-1.87,90.0,66451.0,-1
2023-01-01,745.6,745.6,745.6,745.6,1.3,25.0,18640.0,1
2023-01-04,745.3,745.3,745.0,745.0,-0.08,150.0,111768.3,-1
2023-01-08,759.9,759.9,759.9,759.9,2.0,15.0,11398.5,1
2023-01-09,770.0,775.0,770.0,775.0,1.99,240.0,185300.0,1
2023-01-10,760.1,760.1,760.1,760.1,-1.92,25.0,19002.5,-1
2023-01-12,760.0,760.1,760.0,760.1,0.0,50.0,38002.5,0
2023-01-17,745.0,745.0,745.0,745.0,-1.99,50.0,37250.0,-1
2023-01-18,732.0,732.0,732.0,732.0,-1.74,25.0,18300.0,-1
2023-01-23,725.0,725.0,725.0,725.0,-0.96,94.0,68150.0,-1
2023-01-25,730.0,744.6,730.0,744.6,2.7,75.0,55480.0,1
2023-01-31,740.0,740.0,730.0,730.0,-1.96,125.0,91551.3,-1
2023-02-05,730.0,730.0,730.0,730.0,0.0,25.0,18250.0,0
2023-02-06,730.0,744.6,730.0,744.6,2.0,37.0,27185.2,1
2023-02-07,744.0,772.0,730.1,730.1,-1.95,155.0,115506.0,-1
2023-02-08,730.0,730.0,730.0,730.0,-0.01,25.0,18250.0,-1
2023-02-14,740.0,740.0,740.0,740.0,1.37,25.0,18500.0,1
2023-02-15,740.0,740.0,740.0,740.0,0.0,25.0,18500.0,0
2023-02-22,740.2,740.2,740.2,740.2,0.03,75.0,55515.0,1
2023-02-27,731.1,731.1,731.1,731.1,-1.23,25.0,18277.5,-1
2023-03-02,745.0,745.0,745.0,745.0,1.9,25.0,18625.0,1
2023-03-05,759.9,759.9,759.9,759.9,2.0,100.0,75990.0,1
2023-03-07,774.0,774.0,760.0,773.9,1.84,70.0,53828.0,1
2023-03-12,770.0,770.0,770.0,770.0,-0.5,100.0,77000.0,-1
2023-03-13,755.0,770.0,755.0,770.0,0.0,135.0,103075.0,0
2023-03-14,760.0,760.0,760.0,760.0,-1.3,25.0,19000.0,-1
2023-03-15,750.1,760.0,745.1,760.0,0.0,147.0,110600.0,0
2023-03-16,750.0,765.0,750.0,765.0,0.66,50.0,37875.0,1
2023-03-19,750.2,757.0,750.2,757.0,-1.05,50.0,37680.0,-1
2023-03-20,772.0,772.0,772.0,772.0,1.98,25.0,19300.0,1
2023-03-22,765.0,770.0,765.0,770.0,-0.26,62.0,47615.0,-1
2023-03-23,770.0,770.0,770.0,770.0,0.0,50.0,38500.0,0
2023-04-02,755.0,755.0,755.0,755.0,-1.95,25.0,18875.0,-1
2023-04-03,752.0,752.0,752.0,752.0,-0.4,25.0,18800.0,-1
2023-04-04,767.0,767.0,767.0,767.0,1.99,25.0,19175.0,1
2023-04-05,770.0,770.0,770.0,770.0,0.39,25.0,19250.0,1
2023-04-06,770.0,770.0,762.0,762.0,-1.04,100.0,76405.0,-1
2023-04-09,765.0,765.0,765.0,765.0,0.39,25.0,19125.0,1
