published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-04-01,1000.0,1014.1,1000.0,1014.1,0.0,175.0,175780.0,0
2025-04-02,1010.0,1010.0,1010.0,1010.0,-0.4,50.0,50500.0,-1
2025-04-08,1010.1,1010.1,1005.1,1007.1,-0.29,100.0,100807.5,-1
2025-04-09,1005.1,1005.1,1005.0,1005.0,-0.21,50.0,50251.0,-1
2025-04-10,1010.0,1010.0,1010.0,1010.0,0.5,52.0,52520.0,1
2025-04-13,1010.0,1012.0,1010.0,1012.0,0.2,75.0,75825.0,1
2025-04-15,1012.0,1035.0,1012.0,1017.0,0.49,292.0,301314.4,1
2025-04-17,1016.1,1016.1,1016.0,1016.0,-0.1,50.0,50802.5,-1
2025-04-20,1035.0,1035.0,1035.0,1035.0,1.87,342.0,353970.0,1
2025-04-24,1030.0,1035.0,1030.0,1035.0,0.0,50.0,51625.0,0
2025-05-04,1025.0,1025.0,1020.0,1020.0,-1.45,50.0,51125.0,-1
2025-05-05,1021.0,1021.0,1021.0,1021.0,0.1,50.0,51050.0,1
2025-05-06,1021.0,1021.0,1021.0,1021.0,0.0,25.0,25525.0,0
2025-05-08,1022.7,1022.7,1022.0,1022.35,0.13,50.0,51117.5,1
2025-05-11,1020.0,1020.0,1020.0,1020.0,-0.23,25.0,25500.0,-1
2025-05-15,1020.0,1020.0,1020.0,1020.0,0.0,75.0,76500.0,0
2025-05-19,1035.0,1035.0,1035.0,1035.0,1.47,225.0,232875.0,1
2025-05-20,1020.0,1020.0,1020.0,1020.0,-1.45,125.0,127500.0,-1
2025-05-21,1021.0,1021.0,1021.0,1021.0,0.1,25.0,25525.0,1
2025-05-25,1021.0,1041.0,1021.0,1041.0,1.96,100.0,103550.0,1
2025-05-26,1035.0,1035.0,1025.1,1025.1,-1.53,175.0,180877.5,-1
2025-06-09,1035.0,1035.0,1035.0,1035.0,0.97,50.0,51750.0,1
2025-06-15,1019.3,1019.3,1019.3,1019.3,-1.52,25.0,25482.5,-1
2025-06-16,1017.7,1017.7,1016.0,1016.0,-0.32,100.0,101645.0,-1
2025-06-18,1027.0,1027.0,1027.0,1027.0,1.08,25.0,25675.0,1
2025-06-19,1010.0,1010.0,1010.0,1010.0,-1.66,50.0,50500.0,-1
2025-06-23,1010.0,1035.0,1010.0,1035.0,2.48,125.0,129370.2,1
2025-06-24,1035.0,1035.0,1035.0,1035.0,0.0,25.0,25875.0,0
2025-06-25,1025.2,1025.2,1025.2,1025.2,-0.95,25.0,25630.0,-1
2025-06-26,1006.2,1025.0,1006.2,1025.0,-0.02,50.0,50780.0,-1
2025-06-29,1035.0,1035.0,1014.8,1014.8,-1.0,75.0,77120.0,-1
2025-06-30,1030.0,1030.0,1030.0,1030.0,1.5,100.0,103000.0,1
2025-07-01,1030.0,1050.6,1030.0,1050.6,2.0,57.0,59879.3,1
2025-07-02,1029.6,1029.6,1029.6,1029.6,-2.0,25.0,25740.0,-1
2025-07-06,1015.4,1018.1,1015.4,1018.1,-1.12,75.0,76222.5,-1
2025-07-08,1020.0,1020.0,1020.0,1020.0,0.19,25.0,25500.0,1
2025-07-09,1020.0,1020.0,1020.0,1020.0,0.0,30.0,30600.0,0
2025-07-14,1000.4,1000.4,1000.4,1000.4,-1.92,31.0,31012.4,-1
2025-07-15,1020.4,1020.4,1020.4,1020.4,2.0,100.0,102040.0,1
2025-07-16,1040.8,1040.8,1040.8,1040.8,2.0,155.0,161324.0,1
2025-07-22,1020.0,1020.0,1020.0,1020.0,-2.0,50.0,51000.0,-1
2025-07-23,1005.4,1005.5,1005.4,1005.5,-1.42,22.0,22119.8,-1
