published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-17,296.6,323.9,296.6,323.9,0.0,50.0,15370.0,0
2026-07-20,333.6,372.4,333.6,372.4,14.97,80.0,28852.0,1
2026-07-21,376.1,428.2,376.1,428.2,14.98,160.0,66543.0,1
2026-07-22,441.0,492.4,441.0,492.4,14.99,100.0,47992.0,1
2026-07-23,507.1,566.2,507.1,566.2,14.99,120.0,66509.0,1
2026-07-24,571.8,651.1,571.8,651.1,14.99,250.0,159778.0,1
2026-07-27,670.6,748.7,670.6,748.7,14.99,530.0,394917.0,1
2026-07-28,771.1,861.0,771.1,861.0,15.0,700.0,600518.0,1
2026-07-29,886.8,990.1,886.8,990.1,14.99,760.0,749972.0,1
2026-07-30,990.0,1138.6,990.0,1138.6,15.0,2640.0,3001531.0,1
2026-07-31,1195.0,1309.3,1195.0,1309.3,14.99,13500.0,17667452.0,1
2026-08-03,1374.7,1505.6,1374.7,1505.6,14.99,73580.0,106631113.0,1
2026-08-04,1580.8,1731.4,1580.8,1731.4,15.0,16900.0,28596985.0,1
2026-08-05,1817.9,1980.0,1575.0,1575.0,-9.03,106014.0,179249169.7,-1
2026-08-06,1500.0,1685.0,1500.0,1612.0,2.35,74398.0,116339684.8,1
2026-08-07,1532.0,1711.0,1532.0,1665.0,3.29,31215.0,51621623.5,1
2026-08-10,1650.0,1660.0,1565.0,1584.0,-4.86,37178.0,59447537.7,-1
2026-08-11,1577.0,1600.4,1525.0,1529.9,-3.42,33957.0,52447219.4,-1
2026-08-12,1530.0,1600.0,1485.3,1575.0,2.95,29731.0,45474867.6,1
2026-08-13,1530.0,1575.0,1523.1,1559.9,-0.96,14370.0,22236951.5,-1
2026-08-14,1520.0,1570.0,1520.0,1534.1,-1.65,11310.0,17434161.1,-1
2026-08-17,1510.0,1555.0,1490.0,1510.0,-1.57,25444.0,38555780.4,-1
2026-08-18,1510.0,1515.0,1465.0,1470.0,-2.65,18483.0,27369226.2,-1
2026-08-19,1397.0,1470.0,1397.0,1436.0,-2.31,11764.0,16932389.7,-1
2026-08-20,1400.0,1490.0,1400.0,1452.0,1.11,12723.0,18324198.0,1
2026-08-21,1430.0,1455.0,1400.1,1400.1,-3.57,12129.0,17263450.3,-1
2026-08-24,1400.1,1410.0,1330.0,1330.0,-5.01,23235.0,31600884.0,-1
2026-08-25,1330.0,1426.4,1313.0,1406.0,5.71,16866.0,23014527.6,1
2026-08-26,1406.0,1488.0,1385.0,1465.0,4.2,23427.0,33984884.9,1
