published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-18,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2023-12-20,983.0,983.0,977.0,977.0,-2.3,50.0,49000.0,-1
2023-12-21,972.0,975.5,972.0,975.5,-0.15,81.0,78896.8,-1
2023-12-24,995.0,995.0,981.2,981.2,0.58,100.0,98810.0,1
2023-12-27,981.0,981.0,972.5,980.1,-0.11,55.0,53733.5,-1
2023-12-28,980.1,980.1,980.0,980.0,-0.01,50.0,49002.5,-1
2024-01-02,971.3,971.3,971.3,971.3,-0.89,25.0,24282.5,-1
2024-01-03,964.0,964.0,964.0,964.0,-0.75,25.0,24100.0,-1
2024-01-07,957.5,976.0,957.5,960.3,-0.38,50.0,48102.0,-1
2024-01-08,956.0,956.0,956.0,956.0,-0.45,25.0,23900.0,-1
2024-01-09,947.0,947.0,938.0,938.0,-1.88,100.0,94248.5,-1
2024-01-14,950.0,950.0,950.0,950.0,1.28,25.0,23750.0,1
2024-01-25,953.0,953.0,953.0,953.0,0.32,25.0,23820.5,1
2024-01-29,938.0,938.0,938.0,938.0,-1.57,25.0,23450.0,-1
2024-01-30,955.0,955.0,955.0,955.0,1.81,25.0,23875.0,1
2024-02-01,974.0,980.0,974.0,980.0,2.62,50.0,48850.0,1
2024-02-06,990.0,990.0,990.0,990.0,1.02,10.0,9900.0,1
2024-02-07,972.0,972.0,972.0,972.0,-1.82,25.0,24300.0,-1
2024-02-14,977.3,977.3,977.1,977.1,0.52,50.0,48860.2,1
2024-02-25,976.0,976.0,976.0,976.0,-0.11,10.0,9760.0,-1
2024-03-03,970.3,995.5,970.3,995.5,2.0,110.0,108804.5,1
2024-03-07,983.2,983.2,983.2,983.2,-1.24,25.0,24580.0,-1
2024-03-10,998.0,998.0,998.0,998.0,1.51,50.0,49900.0,1
2024-03-13,998.0,998.0,998.0,998.0,0.0,25.0,24950.0,0
2024-03-14,1017.9,1017.9,1017.9,1017.9,1.99,25.0,25447.5,1
2024-03-17,1010.0,1010.0,1010.0,1010.0,-0.78,25.0,25250.0,-1
2024-03-21,1011.0,1012.0,1011.0,1011.0,0.1,450.0,455350.0,1
2024-03-26,1005.0,1005.0,1005.0,1005.0,-0.59,25.0,25125.0,-1
2024-03-27,1000.0,1000.0,1000.0,1000.0,-0.5,25.0,25000.0,-1
2024-03-28,1008.0,1020.0,1008.0,1020.0,2.0,175.0,178200.0,1
2024-03-31,1002.0,1002.0,1002.0,1002.0,-1.76,15.0,15030.0,-1
2024-04-01,1022.0,1038.0,1022.0,1038.0,3.59,5020.0,5210440.0,1
2024-04-02,1021.0,1021.0,1021.0,1021.0,-1.64,20.0,20420.0,-1
2024-04-09,1040.0,1041.4,1040.0,1041.4,2.0,44.0,45786.6,1
2024-04-10,1023.0,1023.0,1023.0,1023.0,-1.77,25.0,25575.0,-1
2024-04-14,1038.0,1038.0,1038.0,1038.0,1.47,20.0,20760.0,1
2024-04-15,1042.0,1042.0,1042.0,1042.0,0.39,300.0,312600.0,1
2024-04-18,1038.2,1038.2,1038.2,1038.2,-0.36,100.0,103820.0,-1
