published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-09-29,296.0,328.0,296.0,296.0,0.0,70.0,21740.0,0
2013-09-30,296.0,291.0,267.0,267.0,0.0,60.0,16720.0,0
2013-10-01,267.0,262.0,241.0,241.0,0.0,635713.0,153207392.0,0
2014-10-30,241.0,245.0,245.0,245.0,0.0,100145.0,24535524.0,0
2015-06-25,245.0,425.0,425.0,425.0,0.0,6652.0,2827100.0,0
2020-01-21,290.0,290.0,290.0,290.0,-31.76,843507.0,244617024.0,-1
2020-10-18,300.0,300.0,300.0,300.0,3.45,815172.0,244551600.0,1
2020-10-19,300.0,300.0,300.0,300.0,0.0,112686.0,33805800.0,0
2023-11-06,125.0,125.0,125.0,125.0,0.0,286790.0,35848750.0,0
2023-11-07,125.0,125.0,118.0,118.0,-5.6,745460.0,91644228.0,-1
2023-11-08,124.5,124.5,124.5,124.5,5.51,420304.0,52327848.0,1
2023-12-27,300.0,300.0,300.0,300.0,0.0,25000.0,7500000.0,0
2024-01-01,300.0,300.0,300.0,300.0,0.0,1000.0,300000.0,0
2024-01-02,294.0,294.0,271.4,271.4,-9.53,50.0,14130.0,-1
2024-01-03,266.0,266.0,245.4,245.4,-9.58,50.0,12780.0,-1
2024-01-04,240.5,240.5,221.9,221.9,-9.58,50.0,11555.0,-1
2024-01-07,217.5,217.5,200.9,200.9,-9.46,50.0,10455.0,-1
2024-01-08,196.9,196.9,181.8,181.8,-9.51,50.0,9464.0,-1
2024-01-09,178.2,178.2,164.6,164.6,-9.46,50.0,8567.0,-1
2024-01-10,161.4,161.4,149.0,149.0,-9.48,50.0,7757.0,-1
2024-01-11,146.1,150.0,134.9,150.0,0.67,1590050.0,238507022.0,1
2024-01-14,132.3,132.3,123.2,123.2,-8.67,192626.0,24801054.8,-1
2024-02-05,120.8,120.8,120.8,120.8,-1.95,35980.0,4346384.0,-1
2024-05-16,150.0,150.0,150.0,150.0,0.0,5291.0,793650.0,0
2024-06-13,125.0,125.0,125.0,125.0,1.46,750394.0,93799250.0,1
2024-06-23,125.0,125.0,125.0,125.0,0.0,59259.0,7407375.0,0
2024-06-27,125.0,125.0,125.0,125.0,0.0,105804.0,13225500.0,0
2024-07-10,125.0,125.0,125.0,125.0,0.0,171120.0,21390000.0,0
2024-08-06,125.0,125.0,125.0,125.0,0.0,31615.0,3951875.0,0
2024-08-11,135.0,135.0,135.0,135.0,8.0,601184.0,81159840.0,1
2024-08-12,135.0,135.0,125.0,125.0,-7.41,866813.0,116851625.0,-1
2025-01-02,131.0,131.0,131.0,131.0,4.8,19978.0,2617118.0,1
2025-03-11,133.0,133.0,133.0,133.0,1.53,50000.0,6650000.0,1
2025-04-22,133.0,133.0,133.0,133.0,0.0,117250.0,15594250.0,0
2025-07-01,133.0,133.0,133.0,133.0,0.0,366316.0,43072002.0,0
2025-07-02,133.0,133.0,133.0,133.0,0.0,407.0,46805.0,0
2025-08-18,131.0,131.0,131.0,131.0,-1.5,31237.0,4092047.0,-1
2025-10-30,131.0,131.0,131.0,131.0,0.0,14006230.0,1665060622.0,0
2025-11-02,131.0,131.0,131.0,131.0,0.0,14006217.0,1665059077.0,0
2025-11-09,131.0,131.0,131.0,131.0,0.0,81248.0,9343520.0,0
2025-11-12,131.0,131.0,131.0,131.0,0.0,4000.0,460000.0,0
2025-12-16,131.0,131.0,131.0,131.0,0.0,150766.0,17505230.0,0
2025-12-17,131.0,131.0,131.0,131.0,0.0,8357.0,1128195.0,0
2025-12-31,131.0,131.0,131.0,131.0,0.0,39493.0,5173583.0,0
2026-04-30,128.0,128.0,128.0,128.0,-2.29,105823.0,13545344.0,-1
2026-05-05,127.0,127.0,127.0,127.0,-0.78,5288.0,671576.0,-1
2026-05-07,123.2,123.2,115.0,115.0,-9.45,155559.0,17889473.5,-1
2026-05-19,115.0,115.0,115.0,115.0,0.0,217473.0,25009395.0,0
2026-05-26,115.0,115.0,115.0,115.0,0.0,217473.0,25009395.0,0
2026-06-03,111.6,111.6,111.6,111.6,-2.96,29625.0,3306150.0,-1
2026-09-01,102.0,102.0,102.0,102.0,0.0,100.0,10200.0,0
