published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-01-28,1200.0,1200.0,1127.0,1127.0,-6.08,300.0,344190.0,-1
2021-01-31,1106.0,1106.0,1080.0,1086.0,-3.64,804.0,875660.0,-1
2021-02-01,1107.0,1107.0,1089.0,1089.0,0.0,75.0,82575.0,0
2021-02-02,1110.0,1120.0,1103.0,1103.0,1.29,434.0,483610.0,1
2021-02-03,1106.0,1108.0,1106.0,1108.0,0.45,105.0,116240.0,1
2021-02-04,1120.0,1150.0,1120.0,1150.0,3.79,955.0,1083990.0,1
2021-02-07,1150.0,1150.0,1150.0,1150.0,0.0,75.0,86250.0,0
2021-02-08,1127.0,1173.0,1106.0,1173.0,2.0,753.0,856246.0,1
2021-02-09,1170.0,1170.0,1170.0,1170.0,-0.26,40.0,46800.0,-1
2021-02-10,1173.0,1173.0,1168.0,1168.0,-0.17,215.0,252020.0,-1
2021-02-11,1180.0,1180.0,1180.0,1180.0,1.03,240.0,283200.0,1
2021-02-14,1169.0,1175.0,1169.0,1175.0,-0.42,125.0,146725.0,-1
2021-02-15,1170.0,1180.0,1170.0,1180.0,0.43,215.0,252700.0,1
2021-02-16,1180.0,1180.0,1180.0,1180.0,0.0,135.0,159300.0,0
2021-02-17,1180.0,1185.0,1180.0,1185.0,0.42,75.0,88625.0,1
2021-02-18,1180.0,1180.0,1180.0,1180.0,-0.42,110.0,129800.0,-1
2021-02-21,1186.0,1188.0,1180.0,1185.0,0.42,530.0,629165.0,1
2021-02-23,1180.0,1185.0,1180.0,1185.0,0.0,124.0,146615.0,0
2021-02-24,1187.0,1190.0,1185.0,1185.0,0.0,110.0,130670.0,0
2021-02-25,1162.0,1165.0,1162.0,1165.0,-1.69,75.0,87225.0,-1
2021-02-28,1145.0,1146.0,1145.0,1145.0,-1.72,125.0,143150.0,-1
2021-03-01,1167.0,1167.0,1167.0,1167.0,1.92,90.0,105030.0,1
2021-03-02,1190.0,1190.0,1170.0,1170.0,0.26,280.0,332700.0,1
2021-03-03,1192.0,1192.0,1192.0,1192.0,1.88,10.0,11920.0,1
2021-03-04,1171.0,1171.0,1171.0,1171.0,-1.76,75.0,87825.0,-1
2021-03-14,1150.0,1150.0,1150.0,1150.0,-1.79,25.0,28750.0,-1
2021-03-15,1173.0,1173.0,1173.0,1173.0,2.0,50.0,58650.0,1
2021-03-16,1170.0,1175.0,1170.0,1175.0,0.17,125.0,146750.0,1
2021-03-17,1179.0,1202.0,1179.0,1202.0,2.3,125.0,148220.0,1
2021-03-22,1200.0,1200.0,1200.0,1200.0,-0.17,100.0,120000.0,-1
2021-03-29,1176.0,1181.0,1176.0,1180.0,-1.67,390.0,459540.0,-1
2021-03-31,1165.0,1165.0,1160.0,1160.0,-1.69,114.0,132365.0,-1
2021-04-01,1183.0,1183.0,1183.0,1183.0,1.98,140.0,165620.0,1
2021-04-07,1160.0,1180.0,1160.0,1180.0,-0.25,75.0,87615.0,-1
2021-04-15,1157.0,1162.0,1157.0,1162.0,-1.53,150.0,173800.0,-1
2021-04-19,1185.0,1185.0,1175.0,1175.0,1.12,700.0,827500.0,1
2021-04-22,1171.0,1171.0,1171.0,1171.0,-0.34,300.0,351300.0,-1
2021-04-26,1180.0,1185.0,1180.0,1185.0,1.2,1334.0,1580590.0,1
2021-04-27,1162.0,1162.0,1162.0,1162.0,-1.94,150.0,174300.0,-1
2021-05-02,1185.0,1185.0,1185.0,1185.0,1.98,50.0,59250.0,1
2021-05-05,1185.0,1185.0,1185.0,1185.0,0.0,25.0,29625.0,0
2021-05-06,1185.0,1186.0,1185.0,1186.0,0.08,75.0,88940.0,1
2021-05-09,1185.0,1185.0,1185.0,1185.0,-0.08,90.0,106650.0,-1
2021-05-10,1165.0,1190.0,1165.0,1186.0,0.08,355.0,420650.0,1
2021-05-13,1188.0,1190.0,1188.0,1190.0,0.34,265.0,314920.0,1
