published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-01-08,0.0,0.0,0.0,0.0,0.0,646000.0,52726000.0,0
2017-01-01,100.0,100.0,100.0,100.0,0.0,55674.0,5567400.0,0
2017-01-02,100.0,100.0,100.0,100.0,0.0,70588.0,7058800.0,0
2017-03-29,100.0,200.0,200.0,200.0,0.0,195500.0,39100000.0,0
2018-12-12,250.0,250.0,250.0,250.0,0.0,195000.0,48750000.0,0
2018-12-16,250.0,250.0,250.0,250.0,0.0,105000.0,26250000.0,0
2019-04-30,248.0,248.0,248.0,248.0,-0.8,1000.0,248000.0,-1
2019-06-26,248.0,248.0,248.0,248.0,0.0,97200.0,24105600.0,0
2019-07-18,248.0,248.0,248.0,248.0,0.0,25000.0,6200000.0,0
2020-09-22,316.0,316.0,316.0,316.0,0.0,20000.0,6320000.0,0
2020-09-27,310.0,310.0,304.0,304.0,-3.8,76129.0,23143276.0,-1
2022-05-04,296.0,296.0,296.0,296.0,-2.63,20000.0,5920000.0,-1
2022-06-26,296.0,296.0,296.0,296.0,0.0,1000.0,296000.0,0
2024-02-20,310.0,310.0,310.0,310.0,0.0,3108.0,963480.0,0
2024-07-01,511.11,511.11,511.11,511.11,0.0,100.0,51111.0,0
2024-12-22,310.0,310.0,310.0,310.0,0.0,1000.0,205000.0,0
2025-04-24,340.0,340.0,340.0,340.0,0.0,80000.0,14800000.0,0
2025-05-26,340.0,340.0,340.0,340.0,0.0,14000.0,4760000.0,0
2026-09-18,227.6,241.0,227.6,241.0,9.05,94797.0,22845877.0,1
