published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-18,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2023-12-24,900.0,900.0,900.0,900.0,-10.0,525.0,472500.0,-1
2023-12-27,884.0,884.0,884.0,884.0,-1.78,25.0,22100.0,-1
2023-12-28,870.1,875.2,858.5,858.5,-2.88,125.0,108470.0,-1
2024-01-01,858.5,860.4,858.5,860.4,0.22,50.0,42972.5,1
2024-01-02,856.2,863.0,856.2,863.0,0.3,75.0,64510.0,1
2024-01-03,863.3,863.3,863.3,863.3,0.03,25.0,21582.5,1
2024-01-04,858.2,858.2,858.0,858.0,-0.61,103.0,88382.0,-1
2024-01-08,860.0,879.0,850.2,879.0,2.45,75.0,64730.0,1
2024-01-09,863.0,863.0,863.0,863.0,-1.82,10.0,8630.0,-1
2024-01-14,934.0,935.0,934.0,935.0,8.34,45.0,42050.0,1
2024-01-16,845.0,845.0,841.6,841.6,-9.99,100.0,84245.0,-1
2024-01-18,825.0,825.0,820.1,820.1,-2.55,100.0,82255.0,-1
2024-01-21,833.0,833.0,833.0,833.0,1.57,25.0,20825.0,1
2024-01-22,832.0,834.1,832.0,834.1,0.13,75.0,62505.0,1
2024-01-23,825.5,834.0,825.0,825.5,-1.03,222.0,183472.5,-1
2024-01-24,825.0,825.0,825.0,825.0,-0.06,25.0,20625.0,-1
2024-01-25,870.0,870.0,870.0,870.0,5.45,25.0,21750.0,1
2024-01-29,805.0,805.0,805.0,805.0,-7.47,25.0,20125.0,-1
2024-01-30,825.0,835.0,825.0,835.0,3.73,75.0,62125.0,1
2024-01-31,830.0,835.0,830.0,835.0,0.0,300.0,250000.0,0
2024-02-04,890.0,900.0,880.0,880.0,5.39,225.0,201750.0,1
2024-02-05,860.0,920.0,860.0,920.0,4.55,35.0,30700.0,1
2024-02-06,855.0,974.0,855.0,920.0,0.0,160.0,147615.0,0
2024-02-08,891.1,891.1,891.1,891.1,-3.14,25.0,22277.5,-1
2024-02-11,900.0,900.0,900.0,900.0,1.0,25.0,22500.0,1
2024-02-18,900.0,900.0,900.0,900.0,0.0,500.0,450000.0,0
2024-02-20,895.0,895.0,895.0,895.0,-0.56,25.0,22375.0,-1
2024-02-21,944.0,944.0,890.1,894.0,-0.11,1543.0,1453244.5,-1
2024-02-25,905.0,905.0,901.5,902.0,0.89,75.0,67685.0,1
2024-02-26,939.0,939.0,939.0,939.0,4.16,3000.0,2817000.0,1
2024-02-27,905.0,905.0,905.0,905.0,-3.62,25.0,22625.0,-1
2024-02-29,908.0,915.0,908.0,910.0,0.55,100.0,91200.0,1
2024-03-03,910.0,910.0,910.0,910.0,0.0,25.0,22750.0,0
2024-03-05,910.0,910.0,910.0,910.0,0.0,30.0,27300.0,0
2024-03-06,908.5,910.0,908.5,910.0,0.0,55.0,50012.5,0
2024-03-10,929.0,929.0,929.0,929.0,2.09,55.0,51000.0,1
2024-03-12,910.0,910.0,910.0,910.0,-2.05,25.0,22750.0,-1
2024-03-17,920.0,920.0,920.0,920.0,1.1,25.0,23000.0,1
2024-03-18,999.0,999.0,930.0,930.0,1.09,50.0,48225.0,1
2024-03-19,916.0,916.5,912.0,912.0,-1.94,125.0,114422.5,-1
2024-03-20,920.0,923.0,920.0,923.0,1.21,50.0,46075.0,1
2024-03-21,930.0,930.0,930.0,930.0,0.76,100.0,93000.0,1
2024-03-26,925.1,925.1,925.1,925.1,-0.53,150.0,138765.0,-1
2024-03-28,930.0,930.0,930.0,930.0,0.53,75.0,69750.0,1
2024-03-31,992.0,1000.0,992.0,1000.0,7.53,13620.0,13619485.0,1
2024-04-01,999.0,1000.0,999.0,1000.0,0.0,815.0,814950.0,0
2024-04-02,925.0,925.0,925.0,925.0,-7.5,25.0,23125.0,-1
