published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,295.4,339.7,295.4,339.7,15.0,200.0,66189.0,1
2026-07-03,349.8,390.6,349.8,390.6,14.98,150.0,57597.0,1
2026-07-06,410.1,449.1,410.1,449.1,14.98,470.0,209878.0,1
2026-07-07,462.5,516.4,462.5,516.4,14.99,2530.0,1305181.0,1
2026-07-08,542.2,542.2,485.0,487.0,-5.69,142982.0,70837396.4,-1
2026-07-09,480.0,480.0,463.0,477.0,-2.05,55910.0,26297794.0,-1
2026-07-10,477.0,535.6,465.0,510.0,6.92,51203.0,26146678.0,1
2026-07-13,510.0,510.0,481.5,486.0,-4.71,38258.0,18706043.5,-1
2026-07-14,472.0,500.5,462.0,479.0,-1.44,44088.0,21225132.1,-1
2026-07-15,479.0,495.2,475.0,479.9,0.19,22727.0,11010797.8,1
2026-07-16,480.0,482.5,470.5,473.0,-1.44,20278.0,9629204.1,-1
2026-07-17,473.0,499.8,463.0,497.0,5.07,33606.0,16475065.3,1
2026-07-20,497.0,512.0,485.6,508.0,2.21,51475.0,25893417.4,1
2026-07-21,510.0,574.0,498.1,546.1,7.5,78927.0,42881653.4,1
2026-07-22,547.0,580.0,530.0,560.0,2.55,52360.0,29156532.4,1
2026-07-23,550.0,583.0,533.2,583.0,4.11,75792.0,42335884.2,1
2026-07-24,583.0,613.0,575.0,601.2,3.12,88604.0,53373988.2,1
2026-07-27,601.2,608.0,527.0,552.0,-8.18,71399.0,40527413.3,-1
2026-07-28,575.0,575.0,532.0,561.3,1.68,62096.0,34110813.0,1
2026-07-29,579.0,579.0,540.0,549.0,-2.19,48643.0,27034129.2,-1
2026-07-30,548.0,560.0,533.0,536.0,-2.37,40236.0,21835860.8,-1
2026-07-31,534.0,550.0,521.1,544.0,1.49,37097.0,19947535.8,1
2026-08-03,541.0,576.0,533.0,537.1,-1.27,41714.0,22681976.2,-1
2026-08-04,527.1,537.0,521.2,526.0,-2.07,28617.0,15165001.9,-1
2026-08-05,521.0,537.0,518.0,530.0,0.76,38622.0,20425534.7,1
2026-08-06,530.0,565.0,527.3,554.5,4.62,89655.0,49628261.2,1
2026-08-07,554.5,555.0,537.2,542.2,-2.22,31077.0,16851159.0,-1
2026-08-10,533.1,550.0,533.1,542.0,-0.04,28378.0,15361803.9,-1
2026-08-11,537.0,555.2,537.0,542.0,0.0,47780.0,26093803.7,0
2026-08-12,539.0,550.0,531.0,532.0,-1.85,46191.0,24886647.0,-1
2026-08-13,508.0,539.0,508.0,539.0,1.32,23312.0,12441796.8,1
2026-08-14,530.0,543.0,528.2,536.0,-0.56,21868.0,11706319.7,-1
2026-08-17,530.0,553.0,528.0,550.0,2.61,58046.0,31572671.3,1
2026-08-18,550.0,565.1,546.2,548.9,-0.2,76841.0,42632985.7,-1
2026-08-19,544.0,556.0,533.0,550.0,0.2,25463.0,13939241.6,1
2026-08-20,540.0,549.0,536.0,540.0,-1.82,22715.0,12285916.3,0
2026-08-21,535.0,545.0,522.0,527.0,-2.41,49833.0,26454714.3,-1
2026-08-24,553.3,553.3,506.0,506.0,-3.98,48136.0,24746993.6,-1
2026-08-25,499.0,517.0,498.0,503.0,-0.59,33972.0,17143989.8,1
2026-08-26,500.0,503.0,488.1,490.8,-2.43,32048.0,15789035.4,-1
