published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-09,1050.0,1050.0,1050.0,1050.0,0.0,2000.0,2100000.0,0
2020-09-22,1030.0,1030.0,1030.0,1030.0,-1.9,125.0,128750.0,-1
2020-09-23,1050.0,1050.0,1050.0,1050.0,1.94,25.0,26250.0,1
2020-09-28,1050.0,1050.0,1050.0,1050.0,0.0,100.0,105000.0,0
2020-09-29,1030.0,1050.0,1030.0,1050.0,0.0,40.0,41500.0,0
2020-10-01,1050.0,1050.0,1050.0,1050.0,0.0,30.0,31500.0,0
2020-10-04,1050.0,1050.0,1050.0,1050.0,0.0,35.0,36750.0,0
2020-10-05,1050.0,1050.0,1050.0,1050.0,0.0,25.0,26250.0,0
2020-10-06,1040.0,1050.0,1040.0,1050.0,0.0,175.0,182250.0,0
2020-10-19,1035.0,1035.0,1035.0,1035.0,-1.43,35.0,36225.0,-1
2020-10-29,1035.0,1035.0,1035.0,1035.0,0.0,25.0,25875.0,0
2020-11-11,1040.0,1040.0,1040.0,1040.0,0.48,55.0,57200.0,1
2020-11-19,1050.0,1050.0,1050.0,1050.0,0.96,25.0,26250.0,1
2020-11-22,1050.0,1050.0,1050.0,1050.0,0.0,100.0,105000.0,0
2020-12-06,1035.0,1035.0,1035.0,1035.0,-1.43,200.0,207000.0,-1
2020-12-07,1030.0,1030.0,1030.0,1030.0,-0.48,25.0,25750.0,-1
2020-12-09,1050.0,1050.0,1050.0,1050.0,1.94,125.0,131250.0,1
2020-12-10,1041.0,1050.0,1041.0,1050.0,0.0,2025.0,2117025.0,0
2020-12-24,1041.0,1041.0,1041.0,1041.0,-0.86,25.0,26025.0,-1
2020-12-29,1060.0,1060.0,1060.0,1060.0,1.83,10.0,10600.0,1
2020-12-31,1065.0,1065.0,1065.0,1065.0,0.47,1140.0,1214100.0,1
2021-01-03,1056.0,1075.0,1056.0,1075.0,0.94,100.0,107025.0,1
2021-01-05,1070.0,1070.0,1070.0,1070.0,-0.47,925.0,989750.0,-1
2021-01-06,1070.0,1075.0,1070.0,1075.0,0.47,150.0,161000.0,1
2021-01-20,1070.0,1070.0,1070.0,1070.0,-0.47,25.0,26750.0,-1
2021-01-21,1055.0,1055.0,1055.0,1055.0,-1.4,500.0,527500.0,-1
2021-01-25,1050.0,1050.0,1050.0,1050.0,-0.47,25.0,26250.0,-1
2021-01-27,1040.0,1040.0,1040.0,1040.0,-0.95,65.0,67600.0,-1
2021-01-28,1060.0,1060.0,1060.0,1060.0,1.92,50.0,53000.0,1
2021-02-01,1081.0,1100.0,1081.0,1100.0,3.77,20.0,21810.0,1
2021-02-16,1078.0,1078.0,1078.0,1078.0,-2.0,25.0,26950.0,-1
2021-02-18,1057.0,1080.0,1057.0,1080.0,0.19,50045.0,54047985.0,1
2021-02-21,1059.0,1059.0,1059.0,1059.0,-1.94,500.0,529500.0,-1
2021-02-23,1060.0,1060.0,1050.0,1058.0,-0.09,225.0,237400.0,-1
2021-03-03,1046.0,1046.0,1045.0,1045.0,-1.23,100.0,104550.0,-1
2021-03-07,1050.0,1050.0,1050.0,1050.0,0.48,25.0,26250.0,1
2021-03-09,1050.0,1050.0,1050.0,1050.0,0.0,25.0,26250.0,0
2021-03-10,1055.0,1065.0,1055.0,1065.0,1.43,180.0,190400.0,1
2021-03-14,1079.0,1079.0,1079.0,1079.0,1.31,225.0,242775.0,1
2021-03-16,1060.0,1060.0,1060.0,1060.0,-1.76,25.0,26500.0,-1
2021-03-25,1055.0,1060.0,1055.0,1060.0,0.0,50.0,52875.0,0
2021-04-07,1060.0,1060.0,1060.0,1060.0,0.0,50.0,53000.0,0
2021-04-15,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-04-19,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-04-25,1060.0,1060.0,1060.0,1060.0,0.0,50.0,53000.0,0
2021-05-13,1065.0,1065.0,1065.0,1065.0,0.47,205.0,218325.0,1
2021-05-17,1051.0,1051.0,1051.0,1051.0,-1.31,25.0,26275.0,-1
2021-05-19,1054.0,1054.0,1054.0,1054.0,0.29,25.0,26350.0,1
2021-05-20,1050.0,1050.0,1050.0,1050.0,-0.38,100.0,105000.0,-1
2021-05-23,1050.0,1050.0,1050.0,1050.0,0.0,25.0,26250.0,0
2021-05-30,1060.0,1060.0,1051.0,1060.0,0.95,46.0,48535.0,1
2021-06-03,1055.0,1070.0,1055.0,1070.0,0.94,177.0,188320.0,1
2021-06-07,1070.0,1070.0,1070.0,1070.0,0.0,25.0,26750.0,0
2021-06-10,1060.0,1060.0,1060.0,1060.0,-0.93,25.0,26500.0,-1
2021-06-14,1056.0,1056.0,1056.0,1056.0,-0.38,25.0,26400.0,-1
2021-06-15,1056.0,1066.0,1056.0,1066.0,0.95,50.0,53050.0,1
2021-06-16,1087.0,1087.0,1080.0,1080.0,1.31,200.0,216700.0,1
2021-06-17,1059.0,1059.0,1059.0,1059.0,-1.94,20.0,21180.0,-1
2021-06-20,1080.0,1080.0,1080.0,1080.0,1.98,50.0,54000.0,1
2021-06-21,1063.0,1080.0,1063.0,1065.0,-1.39,135.0,144850.0,-1
2021-06-23,1065.0,1065.0,1065.0,1065.0,0.0,25.0,26625.0,0
2021-06-29,1081.0,1081.0,1081.0,1081.0,1.5,50.0,54050.0,1
