published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-07,337.0,240.0,240.0,240.0,0.0,14850.0,3564000.0,0
2011-11-13,240.0,236.0,236.0,236.0,0.0,7128.0,1682208.0,0
2012-01-01,236.0,135.0,135.0,135.0,0.0,15976.0,2156760.0,0
2012-07-12,135.0,149.0,149.0,149.0,0.0,6969.0,1038381.0,0
2012-09-03,149.0,147.0,147.0,147.0,0.0,40000.0,5880000.0,0
2013-04-01,147.0,145.0,145.0,145.0,0.0,15876.0,2302020.0,0
2013-04-11,145.0,143.0,137.0,137.0,0.0,200.0,28000.0,0
2013-04-15,137.0,135.0,125.0,125.0,0.0,300.0,39000.0,0
2013-04-16,125.0,123.0,115.0,115.0,0.0,250.0,29750.0,0
2013-04-17,115.0,113.0,105.0,105.0,0.0,250.0,27250.0,0
2013-04-18,105.0,103.0,100.0,100.0,0.0,199450.0,19945180.0,0
2013-04-22,100.0,100.0,100.0,100.0,0.0,120000.0,12000000.0,0
2013-04-28,100.0,100.0,100.0,100.0,0.0,76550.0,7655000.0,0
2013-06-19,100.0,100.0,100.0,100.0,0.0,64152.0,6415200.0,0
2013-06-24,100.0,100.0,100.0,100.0,0.0,65000.0,6500000.0,0
2013-06-25,100.0,100.0,100.0,100.0,0.0,135014.0,13501400.0,0
2013-07-03,100.0,100.0,100.0,100.0,0.0,32532.0,3253200.0,0
2013-07-09,100.0,100.0,100.0,100.0,0.0,116948.0,11694800.0,0
2013-07-15,100.0,100.0,100.0,100.0,0.0,53030.0,5303000.0,0
2013-07-22,100.0,100.0,100.0,100.0,0.0,450.0,45000.0,0
2013-10-06,100.0,100.0,100.0,100.0,0.0,31082.0,3108200.0,0
2013-10-23,100.0,100.0,100.0,100.0,0.0,4320.0,432000.0,0
2014-01-05,100.0,100.0,100.0,100.0,0.0,11640.0,1164000.0,0
2014-01-14,100.0,100.0,100.0,100.0,0.0,11685.0,1168500.0,0
