published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-06,10.0,10.0,9.19,9.35,-6.5,11700.0,109512.0,-1
2026-08-07,9.07,9.2,8.85,9.2,-1.6,5900.0,53754.0,-1
2026-08-10,9.0,9.1,9.0,9.05,-1.63,5120.0,46476.0,-1
2026-08-11,9.0,9.27,8.91,9.11,0.66,5800.0,52535.0,1
2026-08-12,9.1,9.2,8.9,9.05,-0.66,12750.0,115171.0,-1
2026-08-13,9.0,9.1,9.0,9.03,-0.22,3950.0,35669.5,-1
2026-08-14,9.0,9.38,9.0,9.38,3.88,6200.0,57102.0,1
2026-08-17,9.1,9.27,9.0,9.13,-2.67,2600.0,23723.0,-1
2026-08-18,9.0,9.2,8.95,9.1,-0.33,3900.0,35139.0,-1
2026-08-19,9.1,9.3,8.76,8.95,-1.65,2700.0,24242.0,-1
2026-08-20,8.95,9.1,8.9,9.0,0.56,2300.0,20632.0,1
2026-08-21,8.9,9.0,8.9,8.95,-0.56,5100.0,45554.0,1
2026-08-24,8.55,9.15,8.55,8.93,-0.22,22100.0,196962.0,1
2026-08-25,8.85,9.18,8.85,8.95,0.22,4100.0,36816.0,1
2026-08-26,8.89,9.01,8.75,9.0,0.56,2600.0,23270.0,1
2026-08-27,9.0,9.11,8.8,9.11,1.22,2300.0,20451.0,1
