published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-12,300.0,345.0,300.0,345.0,15.0,150.0,49524.0,1
2026-08-13,355.3,396.7,355.3,396.7,14.99,220.0,85853.0,1
2026-08-14,400.0,456.2,400.0,456.2,15.0,220.0,97664.0,1
2026-08-17,435.0,524.6,435.0,524.6,14.99,460.0,238403.0,1
2026-08-18,540.3,603.2,540.3,603.2,14.98,970.0,583577.0,1
2026-08-19,633.0,693.6,633.0,693.6,14.99,2880.0,1996302.0,1
2026-08-20,728.2,797.6,728.2,797.6,14.99,28980.0,23097581.0,1
2026-08-21,837.4,855.0,752.0,774.0,-2.96,130560.0,102270420.0,-1
2026-08-24,774.0,774.0,704.1,713.9,-7.76,76385.0,55903196.6,-1
2026-08-25,700.1,731.0,681.5,699.0,-2.09,42665.0,29948667.6,-1
2026-08-26,700.0,700.0,661.2,666.0,-4.72,34433.0,23224945.6,-1
2026-08-27,661.2,681.5,645.1,675.0,1.35,28463.0,18754995.7,1
2026-08-31,675.0,675.0,620.1,630.0,-6.67,34393.0,21985929.0,-1
2026-09-01,616.0,637.9,601.1,611.9,-2.87,32574.0,20076513.7,-1
