published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-20,1000.0,1020.0,1000.0,1001.0,0.0,105.0,105270.0,0
2021-04-21,1001.0,1002.0,1001.0,1002.0,0.1,490.0,490640.0,1
2021-04-22,1001.0,1001.0,1001.0,1001.0,-0.1,105.0,105100.0,-1
2021-04-26,995.0,995.0,995.0,995.0,-0.6,25.0,24875.0,-1
2021-04-27,1000.0,1000.0,1000.0,1000.0,0.5,25.0,25000.0,1
2021-04-28,1005.0,1005.0,1005.0,1005.0,0.5,125.0,125625.0,1
2021-04-29,1005.0,1025.0,1005.0,1025.0,1.99,325.0,331850.0,1
2021-05-02,1020.0,1040.0,1020.0,1040.0,1.46,250.0,257750.0,1
2021-05-03,1020.0,1020.0,1020.0,1020.0,-1.92,50.0,51000.0,-1
2021-05-04,1011.0,1013.0,1011.0,1012.0,-0.78,75.0,75900.0,-1
2021-05-05,1012.0,1012.0,1012.0,1012.0,0.0,50.0,50600.0,0
2021-05-06,1015.0,1015.0,1015.0,1015.0,0.3,325.0,329875.0,1
2021-05-09,1015.0,1015.0,1015.0,1015.0,0.0,25.0,25375.0,0
2021-05-11,1021.0,1021.0,1020.0,1020.0,0.49,110.0,112260.0,1
2021-05-12,1015.0,1015.0,1015.0,1015.0,-0.49,25.0,25375.0,-1
2021-05-16,1012.0,1014.0,1010.0,1014.0,-0.1,125.0,126400.0,-1
2021-05-17,1020.0,1020.0,1020.0,1020.0,0.59,145.0,147900.0,1
2021-05-18,1010.0,1029.0,1010.0,1029.0,0.88,125.0,127425.0,1
2021-05-19,1010.0,1030.0,1010.0,1030.0,0.1,75.0,76625.0,1
2021-05-20,1015.0,1015.0,992.0,1010.0,-1.94,175.0,176335.0,-1
2021-05-23,1015.0,1015.0,1015.0,1015.0,0.5,530.0,537950.0,1
2021-05-24,1015.0,1015.0,1011.0,1012.0,-0.3,320.0,324625.0,-1
2021-05-25,1030.0,1035.0,1020.0,1020.0,0.79,168.0,172690.0,1
2021-05-27,1020.0,1020.0,1014.0,1014.0,-0.59,40.0,40710.0,-1
2021-05-30,1017.0,1017.0,1017.0,1017.0,0.3,50.0,50850.0,1
2021-05-31,1015.0,1029.0,1015.0,1029.0,1.18,125.0,127650.0,1
2021-06-01,1025.0,1030.0,1025.0,1030.0,0.1,100.0,102750.0,1
2021-06-02,1024.0,1030.0,1024.0,1030.0,0.0,134.0,137751.0,0
2021-06-03,1016.0,1016.0,1016.0,1016.0,-1.36,25.0,25400.0,-1
2021-06-06,1016.0,1055.0,1016.0,1055.0,3.84,175.0,181460.0,1
2021-06-07,1034.0,1034.0,1031.0,1031.0,-2.27,50.0,51625.0,-1
2021-06-08,1030.0,1030.0,1030.0,1030.0,-0.1,25.0,25750.0,-1
2021-06-09,1030.0,1035.0,1030.0,1030.0,0.0,89.0,91815.0,0
2021-06-10,1025.0,1025.0,1025.0,1025.0,-0.49,50.0,51250.0,-1
2021-06-13,1010.0,1025.0,1010.0,1020.0,-0.49,125.0,127225.0,-1
2021-06-14,1022.0,1030.0,1022.0,1030.0,0.98,225.0,230700.0,1
2021-06-15,1025.0,1030.0,1025.0,1030.0,0.0,150.0,154375.0,0
2021-06-17,1030.0,1030.0,1030.0,1030.0,0.0,25.0,25750.0,0
2021-06-20,1025.0,1025.0,1025.0,1025.0,-0.49,25.0,25625.0,-1
2021-06-21,1030.0,1030.0,1030.0,1030.0,0.49,25.0,25750.0,1
2021-06-22,1035.0,1036.0,1035.0,1036.0,0.58,100.0,103550.0,1
2021-06-23,1030.0,1031.0,1027.0,1027.0,-0.87,175.0,180275.0,-1
2021-06-24,1011.0,1023.0,1011.0,1022.0,-0.49,610.0,617920.0,-1
2021-06-27,1015.0,1035.0,1015.0,1035.0,1.27,175.0,179050.0,1
2021-06-28,1030.0,1030.0,1030.0,1030.0,-0.48,25.0,25750.0,-1
2021-06-29,1022.0,1035.0,1022.0,1035.0,0.49,50.0,51425.0,1
2021-06-30,1030.0,1030.0,1030.0,1030.0,-0.48,25.0,25750.0,-1
2021-07-01,1022.0,1025.0,1010.0,1025.0,-0.49,75.0,76545.0,-1
2021-07-04,1012.0,1043.0,1012.0,1043.0,1.76,149.0,152456.0,1
2021-07-05,1027.0,1027.0,1027.0,1027.0,-1.53,25.0,25675.0,-1
2021-07-07,1021.0,1021.0,1020.0,1020.0,-0.68,25.0,25510.0,-1
2021-07-08,1019.0,1019.0,1019.0,1019.0,-0.1,110.0,112090.0,-1
2021-07-11,1017.0,1017.0,1017.0,1017.0,-0.2,27.0,27459.0,-1
2021-07-13,1034.0,1037.0,1034.0,1037.0,1.97,125.0,129475.0,1
2021-07-15,1018.0,1025.0,1018.0,1025.0,-1.16,75.0,76700.0,-1
2021-07-18,1013.0,1013.0,1011.1,1011.1,-1.36,55.0,55677.0,-1
2021-07-19,1010.0,1010.0,1008.0,1008.0,-0.31,50.0,50450.0,-1
2021-07-20,1006.1,1007.0,1006.1,1007.0,-0.1,40.0,40257.5,-1
2021-07-22,1002.0,1015.8,1002.0,1011.1,0.41,194.0,195887.0,1
2021-07-25,995.0,1016.0,995.0,1012.0,0.09,230.0,232330.0,1
2021-07-26,1010.0,1010.1,1002.0,1004.0,-0.79,525.0,528616.0,-1
2021-07-27,1014.9,1014.9,1005.1,1011.0,0.7,735.0,740759.0,1
2021-07-28,1006.0,1022.0,1006.0,1012.0,0.1,1120.0,1136983.0,1
2021-07-29,1006.6,1007.1,1006.6,1007.1,-0.48,100.0,100690.0,-1
2021-08-01,1004.5,1004.7,1004.5,1004.7,-0.24,100.0,100465.0,-1
2021-08-02,1010.0,1015.0,1010.0,1015.0,1.03,330.0,334800.0,1
2021-08-03,1010.0,1014.0,1010.0,1014.0,-0.1,500.0,506300.0,-1
2021-08-04,1010.0,1010.0,1010.0,1010.0,-0.39,25.0,25250.0,-1
2021-08-05,1000.0,1000.0,1000.0,1000.0,-0.99,25.0,25000.0,-1
2021-08-08,1001.1,1005.0,1001.1,1005.0,0.5,250.0,250860.0,1
2021-08-10,1010.0,1010.0,1010.0,1010.0,0.5,95.0,95950.0,1
2021-08-11,1010.0,1010.0,1010.0,1010.0,0.0,100.0,101000.0,0
2021-08-12,1010.0,1010.0,1010.0,1010.0,0.0,200.0,202000.0,0
2021-08-15,1003.0,1010.0,1003.0,1010.0,0.0,125.0,125725.0,0
2021-08-16,1012.0,1015.0,1010.0,1015.0,0.5,310.0,314250.0,1
2021-08-17,1007.0,1007.0,1005.6,1005.6,-0.93,75.0,75455.0,-1
2021-08-18,1007.0,1007.0,1007.0,1007.0,0.14,25.0,25175.0,1
2021-08-19,1002.0,1007.0,1002.0,1005.0,-0.2,149.0,149720.0,-1
2021-08-24,1005.0,1015.0,1005.0,1015.0,1.0,35.0,35425.0,1
2021-08-26,1015.0,1015.0,1015.0,1015.0,0.0,25.0,25375.0,0
2021-08-29,1005.0,1007.1,1005.0,1005.0,-0.99,300.0,301862.5,-1
2021-08-31,1005.0,1005.0,1005.0,1005.0,0.0,160.0,160800.0,0
2021-09-01,1005.0,1005.0,1005.0,1005.0,0.0,50.0,50250.0,0
2021-09-02,1002.0,1002.0,999.1,999.1,-0.59,50.0,50027.5,-1
2021-09-05,1000.0,1000.0,1000.0,1000.0,0.09,10.0,10000.0,1
2021-09-09,1000.0,1005.0,1000.0,1005.0,0.5,250.0,251125.0,1
2021-09-12,1001.0,1005.0,1001.0,1005.0,0.0,25.0,25085.0,0
2021-09-15,1003.0,1004.9,1003.0,1004.9,-0.01,75.0,75320.0,-1
2021-09-16,985.0,985.0,985.0,985.0,-1.98,25.0,24625.0,-1
2021-09-21,999.9,1000.0,999.9,1000.0,1.52,50.0,49997.5,1
2021-09-22,985.2,985.2,985.1,985.1,-1.49,150.0,147767.5,-1
2021-09-23,980.0,980.0,980.0,980.0,-0.52,54.0,52920.0,-1
2021-09-27,995.0,995.0,995.0,995.0,1.53,30.0,29850.0,1
2021-09-28,980.0,980.0,976.5,976.5,-1.86,146.0,142744.0,-1
2021-09-29,978.0,978.0,978.0,978.0,0.15,75.0,73350.0,1
2021-10-03,975.0,975.0,974.0,975.0,-0.31,175.0,170525.0,-1
2021-10-04,980.0,980.0,980.0,980.0,0.51,100.0,98000.0,1
2021-10-11,976.0,976.0,975.0,975.0,-0.51,50.0,48775.0,-1
2021-10-31,976.0,976.0,976.0,976.0,0.1,50.0,48800.0,1
2021-11-02,967.0,967.0,967.0,967.0,-0.92,25.0,24175.0,-1
2021-11-11,971.0,973.0,971.0,972.3,0.55,75.0,72907.5,1
2021-11-15,970.0,985.0,970.0,985.0,1.31,50.0,48875.0,1
2021-11-16,995.0,995.0,995.0,995.0,1.02,25.0,24875.0,1
2021-11-24,999.0,999.0,999.0,999.0,0.4,25.0,24975.0,1
2021-12-07,979.1,979.1,979.1,979.1,-1.99,25.0,24477.5,-1
2021-12-21,974.9,975.0,974.9,975.0,-0.42,150.0,146245.0,-1
2021-12-23,975.1,975.1,975.1,975.1,0.01,100.0,97510.0,1
2021-12-26,973.1,973.1,973.1,973.1,-0.21,25.0,24327.5,-1
2021-12-29,970.0,970.0,969.4,969.4,-0.38,50.0,48485.0,-1
2022-01-02,980.0,980.0,980.0,980.0,1.09,25.0,24500.0,1
2022-01-04,981.0,993.0,981.0,993.0,1.33,45.0,44385.0,1
2022-01-05,995.0,995.0,995.0,995.0,0.2,25.0,24875.0,1
2022-01-09,1014.9,1014.9,1014.9,1014.9,2.0,50.0,50745.0,1
2022-01-10,995.0,995.0,995.0,995.0,-1.96,25.0,24875.0,-1
2022-01-11,995.0,1010.0,995.0,1000.0,0.5,295.0,295150.0,1
2022-01-12,989.0,989.0,989.0,989.0,-1.1,50.0,49450.0,-1
2022-01-16,969.3,969.3,969.3,969.3,-1.99,50.0,48465.0,-1
