published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-31,1000.0,1000.0,1000.0,1000.0,0.0,100.0,100000.0,0
2024-04-01,1010.0,1010.0,1000.0,1000.0,0.0,2025.0,2045000.0,0
2024-04-02,980.0,981.0,980.0,981.0,-1.9,80.0,78455.0,-1
2024-04-03,962.1,962.1,962.1,962.1,-1.93,25.0,24052.5,-1
2024-04-04,955.0,1010.0,950.0,1010.0,4.98,8650.0,8727112.5,1
2024-04-09,1010.0,1010.0,1010.0,1010.0,0.0,1000.0,1010000.0,0
2024-04-10,989.8,1010.0,989.8,1010.0,0.0,1075.0,1085207.5,0
2024-04-14,1010.0,1060.0,1010.0,1060.0,4.95,11090.0,11702452.5,1
2024-05-15,1038.8,1040.0,1038.8,1040.0,-1.89,100.0,103945.0,-1
2024-05-16,1038.0,1038.0,1038.0,1038.0,-0.19,100.0,103800.0,-1
2024-05-19,1018.0,1018.0,1018.0,1018.0,-1.93,50.0,50900.0,-1
2024-05-20,1000.0,1000.0,1000.0,1000.0,-1.77,25.0,25000.0,-1
2024-05-21,1000.0,1000.0,1000.0,1000.0,0.0,50.0,50000.0,0
2024-05-22,980.5,980.5,980.5,980.5,-1.95,25.0,24512.5,-1
2024-05-27,1000.0,1000.0,1000.0,1000.0,1.99,25.0,25000.0,1
2024-06-02,984.0,988.0,984.0,988.0,-1.2,50.0,49300.0,-1
2024-06-04,984.0,984.0,984.0,984.0,-0.4,25.0,24600.0,-1
2024-06-05,981.3,981.3,981.3,981.3,-0.27,25.0,24532.5,-1
2024-06-06,989.9,989.9,989.9,989.9,0.88,50.0,49495.0,1
2024-06-09,1009.0,1009.6,1009.0,1009.6,1.99,105.0,105993.0,1
2024-06-10,1025.0,1030.0,1025.0,1030.0,2.02,90.0,92562.65,1
2024-06-11,1010.0,1010.0,1010.0,1010.0,-1.94,100.0,101000.0,-1
2024-06-12,1010.0,1010.0,1010.0,1010.0,0.0,15.0,15150.0,0
2024-06-16,1005.0,1005.0,1005.0,1005.0,-0.5,25.0,25125.0,-1
2024-06-19,1005.0,1005.0,1005.0,1005.0,0.0,25.0,25125.0,0
2024-06-20,985.0,985.0,985.0,985.0,-1.99,25.0,24625.0,-1
2024-06-24,996.0,996.0,996.0,996.0,1.12,100.0,99600.0,1
2024-06-25,988.0,996.0,988.0,996.0,0.0,50.0,49600.0,0
2024-06-27,1020.0,1020.0,1020.0,1020.0,2.41,100.0,101975.0,1
2024-07-01,1020.0,1020.0,1020.0,1020.0,0.0,50.0,51000.0,0
2024-07-10,1038.8,1040.4,1038.8,1040.4,2.0,125.0,129995.0,1
2024-07-28,1019.6,1020.0,1019.6,1020.0,-1.96,175.0,178440.0,-1
2024-07-30,999.9,999.9,999.0,999.0,-2.06,50.0,49972.5,-1
2024-07-31,990.0,990.0,980.0,980.0,-1.9,55.0,54250.0,-1
2024-08-01,980.0,980.0,980.0,980.0,0.0,25.0,24500.0,0
2024-08-07,999.0,999.6,999.0,999.6,2.0,35.0,34980.0,1
2024-08-08,1000.0,1019.0,1000.0,1019.0,1.94,135.0,135665.0,1
2024-08-11,1000.0,1020.0,1000.0,1020.0,0.1,211.0,213490.0,1
2024-08-12,1010.0,1010.0,1010.0,1010.0,-0.98,25.0,25250.0,-1
2024-08-13,1010.0,1010.0,1010.0,1010.0,0.0,25.0,25250.0,0
2024-08-14,1012.0,1012.0,1012.0,1012.0,0.2,50.0,50600.0,1
2024-08-15,1010.0,1010.0,1010.0,1010.0,-0.2,50.0,50500.0,-1
2024-08-18,995.1,995.1,995.1,995.1,-1.48,30.0,29952.5,-1
2024-08-21,1000.0,1000.0,1000.0,1000.0,0.49,25.0,25000.0,1
2024-08-22,987.2,1015.0,987.2,1015.0,1.5,120.0,119799.5,1
2024-08-27,1005.2,1005.2,1000.0,1000.0,-1.48,50.0,50130.0,-1
2024-08-28,1000.0,1020.0,1000.0,1020.0,2.0,85.0,85815.0,1
2024-09-01,1020.0,1020.0,1020.0,1020.0,0.0,25.0,25500.0,0
2024-09-03,1010.1,1015.0,1010.1,1015.0,-0.49,50.0,50627.5,-1
2024-09-04,1035.0,1035.0,1035.0,1035.0,1.97,25.0,25875.0,1
2024-09-05,1035.0,1035.0,1035.0,1035.0,0.0,100.0,103500.0,0
2024-09-09,1016.0,1016.0,1016.0,1016.0,-1.84,25.0,25400.0,-1
2024-09-12,1016.0,1036.3,1016.0,1016.0,0.0,95.0,97427.5,0
2024-09-18,1010.1,1018.0,1010.1,1018.0,0.2,75.0,76077.5,1
