published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-31,1164.0,1141.0,1141.0,1141.0,0.0,1176.0,1341816.0,0
2011-06-26,1141.0,1141.0,1141.0,1141.0,0.0,1000.0,1141000.0,0
2011-07-07,1141.0,1084.0,1027.0,1027.0,0.0,40.0,42160.0,0
2011-07-10,1027.0,976.0,925.0,925.0,0.0,40.0,37960.0,0
2011-07-11,925.0,915.0,886.0,886.0,0.0,3480.0,3141390.0,0
2011-08-01,886.0,869.0,869.0,869.0,0.0,210.0,182490.0,0
2011-08-09,869.0,870.0,870.0,870.0,0.0,84.0,73080.0,0
2011-08-15,870.0,870.0,870.0,870.0,0.0,168.0,146160.0,0
2011-08-18,870.0,853.0,853.0,853.0,0.0,50.0,42650.0,0
2011-09-26,853.0,836.0,836.0,836.0,0.0,13580.0,11352880.0,0
2011-10-13,836.0,820.0,820.0,820.0,0.0,212.0,173840.0,0
2011-10-16,820.0,816.0,804.0,804.0,0.0,252.0,205392.0,0
2011-10-17,804.0,798.0,798.0,798.0,0.0,774.0,617652.0,0
2011-11-06,798.0,783.0,783.0,783.0,0.0,842.0,659286.0,0
2011-12-01,783.0,768.0,753.0,753.0,0.0,341.0,257823.0,0
2011-12-27,753.0,750.0,750.0,750.0,0.0,588.0,441000.0,0
2012-02-12,750.0,735.0,730.0,730.0,0.0,1588.0,1159290.0,0
2012-04-17,730.0,716.0,716.0,716.0,0.0,315.0,225540.0,0
2012-05-03,716.0,730.0,730.0,730.0,0.0,100.0,73000.0,0
2012-05-09,730.0,716.0,716.0,716.0,0.0,136.0,97376.0,0
2012-05-24,716.0,730.0,730.0,730.0,0.0,465.0,339450.0,0
2012-06-18,730.0,716.0,688.0,695.0,0.0,2096.0,1462530.0,0
2012-06-19,695.0,700.0,690.0,691.0,0.0,5284.0,3667010.0,0
2012-06-20,691.0,691.0,685.0,691.0,0.0,3006.0,2073438.0,0
2012-06-21,691.0,685.0,680.0,680.0,0.0,1615.0,1098480.0,0
2012-07-02,680.0,706.0,693.0,706.0,0.0,374.0,262744.0,0
2012-07-03,706.0,730.0,720.0,730.0,0.0,200.0,145000.0,0
2012-07-04,730.0,752.0,740.0,752.0,0.0,136.0,101816.0,0
2012-07-05,752.0,765.0,765.0,765.0,0.0,20.0,15300.0,0
2012-07-09,765.0,750.0,750.0,750.0,0.0,100.0,75000.0,0
2012-07-10,750.0,750.0,750.0,750.0,0.0,2140.0,1605000.0,0
2012-07-11,750.0,735.0,735.0,735.0,0.0,95.0,69825.0,0
2012-07-12,735.0,732.0,732.0,732.0,0.0,236.0,172752.0,0
2012-07-15,732.0,725.0,725.0,725.0,0.0,178.0,129050.0,0
2012-07-23,725.0,783.0,739.0,783.0,0.0,388.0,297935.0,0
2012-07-26,783.0,828.0,798.0,802.0,0.0,936.0,758592.0,0
2012-07-29,802.0,825.0,812.0,825.0,0.0,2517.0,2056258.0,0
2012-07-31,825.0,840.0,835.0,840.0,0.0,218.0,182530.0,0
2012-08-01,840.0,830.0,830.0,830.0,0.0,147.0,122010.0,0
2012-08-05,830.0,835.0,830.0,835.0,0.0,700.0,583500.0,0
2012-08-06,835.0,840.0,840.0,840.0,0.0,259.0,217560.0,0
2012-08-07,840.0,840.0,840.0,840.0,0.0,429.0,360360.0,0
2012-08-08,840.0,850.0,840.0,850.0,0.0,1295.0,1099095.0,0
2012-08-12,850.0,855.0,855.0,855.0,0.0,200.0,171000.0,0
2012-08-15,855.0,840.0,840.0,840.0,0.0,207.0,173880.0,0
2012-08-16,840.0,830.0,830.0,830.0,0.0,95.0,78850.0,0
2012-08-19,830.0,862.0,846.0,862.0,0.0,80.0,68480.0,0
2012-08-22,862.0,860.0,845.0,855.0,0.0,460.0,393300.0,0
2012-08-23,855.0,855.0,855.0,855.0,0.0,500.0,427500.0,0
2012-08-26,855.0,860.0,860.0,860.0,0.0,50.0,43000.0,0
2012-08-27,860.0,875.0,860.0,875.0,0.0,546.0,473720.0,0
2012-08-29,875.0,885.0,885.0,885.0,0.0,50.0,44250.0,0
2012-08-30,885.0,880.0,880.0,880.0,0.0,1000.0,880000.0,0
2012-09-03,880.0,901.0,850.0,901.0,0.0,6995.0,5957648.0,0
2012-09-04,901.0,919.0,870.0,870.0,0.0,823.0,729675.0,0
2012-09-05,870.0,887.0,887.0,887.0,0.0,50.0,44350.0,0
2012-09-06,887.0,887.0,887.0,887.0,0.0,30.0,26610.0,0
2012-09-09,887.0,870.0,870.0,870.0,0.0,300.0,261000.0,0
2012-09-10,870.0,887.0,880.0,880.0,0.0,494.0,437478.0,0
2012-09-11,880.0,896.0,880.0,880.0,0.0,1659.0,1469806.0,0
2012-09-12,880.0,918.0,894.0,918.0,0.0,1227.0,1105599.0,0
2012-09-13,918.0,915.0,905.0,915.0,0.0,154.0,140070.0,0
2012-09-16,915.0,910.0,910.0,910.0,0.0,500.0,455000.0,0
2012-09-17,910.0,900.0,900.0,900.0,0.0,1000.0,900000.0,0
2012-09-18,900.0,918.0,900.0,900.0,0.0,1348.0,1214784.0,0
2012-09-19,900.0,917.0,900.0,900.0,0.0,1060.0,955020.0,0
2012-09-20,900.0,916.0,905.0,916.0,0.0,1252.0,1140098.0,0
2012-09-23,916.0,902.0,902.0,902.0,0.0,294.0,265188.0,0
2012-09-24,902.0,900.0,872.0,872.0,0.0,4116.0,3600884.0,0
2012-09-25,872.0,906.0,889.0,906.0,0.0,113.0,100797.0,0
2012-09-26,906.0,900.0,883.0,890.0,0.0,1698.0,1505303.0,0
2012-09-30,900.0,918.0,900.0,918.0,0.0,515.0,471792.0,0
2012-10-01,918.0,920.0,918.0,920.0,0.0,1800.0,1652728.0,0
2012-10-01,918.0,920.0,918.0,920.0,0.0,1800.0,1652728.0,0
2012-10-02,920.0,922.0,922.0,922.0,0.0,882.0,813204.0,0
2012-10-08,922.0,753.0,753.0,753.0,0.0,100.0,75300.0,0
2012-11-01,753.0,772.0,760.0,772.0,0.0,300.0,229200.0,0
2012-11-04,772.0,797.0,782.0,797.0,0.0,200.0,157900.0,0
2012-11-05,797.0,812.0,812.0,812.0,0.0,100.0,81200.0,0
2012-11-06,812.0,860.0,828.0,860.0,0.0,240.0,203520.0,0
2012-11-07,860.0,946.0,877.0,946.0,0.0,700.0,638200.0,0
2012-11-08,946.0,1022.0,964.0,1022.0,0.0,300.0,297850.0,0
2012-11-12,1022.0,1002.0,963.0,963.0,0.0,300.0,294700.0,0
2012-11-18,963.0,982.0,982.0,982.0,0.0,20.0,19640.0,0
2012-11-20,982.0,1080.0,1001.0,1061.0,0.0,290.0,302470.0,0
2012-11-21,1061.0,1082.0,1000.0,1000.0,0.0,610.0,631340.0,0
2012-11-22,1000.0,1010.0,990.0,990.0,0.0,580.0,574400.0,0
2012-11-25,990.0,990.0,980.0,980.0,0.0,387.0,380645.0,0
2012-11-26,980.0,961.0,942.0,960.0,0.0,353.0,336245.0,0
2012-11-27,960.0,980.0,960.0,975.0,0.0,2111.0,2047774.0,0
2012-11-28,975.0,975.0,975.0,975.0,0.0,200.0,195000.0,0
2012-11-29,975.0,960.0,940.0,960.0,0.0,1447.0,1384045.0,0
2012-12-03,960.0,943.0,940.0,940.0,0.0,869.0,817940.0,0
2012-12-04,940.0,950.0,935.0,950.0,0.0,5060.0,4747000.0,0
2012-12-05,950.0,1015.0,940.0,995.0,0.0,3599.0,3402942.0,0
2012-12-06,995.0,985.0,972.0,980.0,0.0,830.0,815411.0,0
2012-12-16,980.0,999.0,950.0,969.0,0.0,2101.0,2004430.0,0
2012-12-17,969.0,970.0,970.0,970.0,0.0,384.0,372480.0,0
2012-12-18,970.0,989.0,989.0,989.0,0.0,20.0,19780.0,0
2012-12-19,989.0,970.0,970.0,970.0,0.0,3300.0,3201000.0,0
2012-12-26,970.0,999.0,970.0,999.0,0.0,867.0,854690.0,0
2012-12-27,999.0,1064.0,1018.0,1064.0,0.0,822.0,842116.0,0
2012-12-31,1064.0,1080.0,1018.0,1018.0,0.0,988.0,1029198.0,0
2013-01-01,1018.0,1036.0,1000.0,1036.0,0.0,2905.0,2966205.0,0
2013-01-02,1036.0,1036.0,1030.0,1035.0,0.0,1023.0,1057755.0,0
2013-01-03,1035.0,1070.0,1055.0,1070.0,0.0,300.0,318000.0,0
2013-01-07,1070.0,1049.0,1015.0,1015.0,0.0,1375.0,1405385.0,0
2013-01-08,1015.0,1015.0,1015.0,1015.0,0.0,400.0,406000.0,0
2013-01-09,1015.0,1000.0,1000.0,1000.0,0.0,594.0,594000.0,0
2013-01-10,1000.0,1010.0,995.0,1001.0,0.0,2195.0,2196194.0,0
2013-01-13,1001.0,1050.0,995.0,1050.0,0.0,1799.0,1818733.0,0
2013-01-16,1050.0,1079.0,1060.0,1079.0,0.0,4568.0,4880689.0,0
2013-01-17,1079.0,1070.0,1040.0,1042.0,0.0,3349.0,3514300.0,0
2013-01-20,1042.0,1023.0,1023.0,1023.0,0.0,51.0,52173.0,0
2013-01-21,1023.0,1020.0,1015.0,1020.0,0.0,612.0,621740.0,0
