published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-08-11,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2021-08-12,998.0,1005.0,998.0,1005.0,0.5,225.0,225950.0,1
2021-08-15,984.9,1000.0,984.9,1000.0,-0.5,260.0,259249.0,-1
2021-08-16,995.1,1001.2,995.1,1001.2,0.12,80.0,79937.5,1
2021-08-17,1003.0,1020.0,1003.0,1020.0,1.88,786.0,792847.6,1
2021-08-18,1007.0,1008.0,1006.3,1006.3,-1.34,300.0,302199.0,-1
2021-08-19,1000.0,1000.0,1000.0,1000.0,-0.63,25.0,25000.0,-1
2021-08-24,1006.0,1006.5,1006.0,1006.5,0.65,330.0,331997.5,1
2021-08-25,1006.0,1006.3,1006.0,1006.3,-0.02,325.0,327032.5,-1
2021-08-26,1026.0,1026.0,1026.0,1026.0,1.96,25.0,25650.0,1
2021-08-29,1006.5,1006.5,1006.5,1006.5,-1.9,25.0,25162.5,-1
2021-08-31,1007.0,1007.0,1007.0,1007.0,0.05,100.0,100700.0,1
2021-09-01,1007.1,1007.1,1007.1,1007.1,0.01,25.0,25177.5,1
2021-09-02,1000.0,1006.0,1000.0,1005.0,-0.21,75.0,75275.0,-1
2021-09-05,995.2,996.0,995.1,995.1,-0.99,500.0,497610.0,-1
2021-09-06,1007.0,1007.0,1007.0,1007.0,1.2,50.0,50350.0,1
2021-09-08,1020.0,1020.0,1015.0,1015.0,0.79,180.0,183200.0,1
2021-09-09,1015.0,1015.0,1015.0,1015.0,0.0,50.0,50750.0,0
2021-09-12,1000.0,1000.0,1000.0,1000.0,-1.48,100.0,100000.0,-1
2021-09-13,1000.0,1000.0,1000.0,1000.0,0.0,25.0,25000.0,0
2021-09-15,1014.0,1014.0,1014.0,1014.0,1.4,25.0,25350.0,1
2021-09-16,1000.0,1000.0,1000.0,1000.0,-1.38,50.0,50000.0,-1
2021-09-22,980.0,999.6,980.0,999.6,-0.04,35.0,34496.0,-1
2021-09-23,1000.0,1000.0,1000.0,1000.0,0.04,50.0,50000.0,1
2021-09-26,1002.0,1005.0,1002.0,1005.0,0.5,50.0,50175.0,1
2021-09-27,1002.8,1002.8,1002.8,1002.8,-0.22,100.0,100280.0,-1
2021-10-03,983.0,983.0,983.0,983.0,-1.97,25.0,24575.0,-1
2021-10-24,978.0,978.0,978.0,978.0,-0.51,25.0,24450.0,-1
2021-10-25,980.0,980.0,980.0,980.0,0.2,30.0,29400.0,1
2021-10-27,974.1,974.1,974.1,974.1,-0.6,25.0,24352.5,-1
2021-11-01,988.0,988.0,988.0,988.0,1.43,30.0,29640.0,1
2021-11-02,978.1,978.1,978.1,978.1,-1.0,25.0,24452.5,-1
2021-11-14,972.2,972.2,972.2,972.2,-0.6,25.0,24305.0,-1
2021-11-16,975.0,975.0,975.0,975.0,0.29,25.0,24375.0,1
2021-11-22,976.2,976.2,975.0,975.0,0.0,50.0,48780.0,0
2021-11-25,980.0,980.0,980.0,980.0,0.51,50.0,49000.0,1
2021-11-28,976.0,976.0,976.0,976.0,-0.41,25.0,24400.0,-1
2021-11-29,976.0,976.0,976.0,976.0,0.0,35.0,34160.0,0
2021-12-08,971.1,971.1,971.1,971.1,-0.5,25.0,24277.5,-1
2021-12-12,972.1,972.1,972.1,972.1,0.1,25.0,24302.5,1
2021-12-20,972.7,972.7,972.7,972.7,0.06,20.0,19454.0,1
2021-12-27,990.0,990.0,990.0,990.0,1.78,100.0,99000.0,1
2021-12-28,970.2,970.2,970.2,970.2,-2.0,25.0,24255.0,-1
2022-01-02,989.6,1000.0,989.6,1000.0,3.07,1115.0,1114380.0,1
2022-01-05,990.0,990.0,990.0,990.0,-1.0,50.0,49500.0,-1
2022-01-10,1005.0,1005.0,1005.0,1005.0,1.52,300.0,301500.0,1
2022-01-12,985.0,985.0,985.0,985.0,-1.99,25.0,24625.0,-1
2022-01-17,965.3,965.3,965.3,965.3,-2.0,25.0,24132.5,-1
2022-01-23,946.0,946.0,946.0,946.0,-2.0,25.0,23650.0,-1
2022-01-24,946.0,946.0,946.0,946.0,0.0,25.0,23650.0,0
2022-01-26,946.0,946.0,946.0,946.0,0.0,25.0,23650.0,0
2022-01-31,950.0,950.0,950.0,950.0,0.42,130.0,123500.0,1
2022-02-03,950.0,950.0,950.0,950.0,0.0,100.0,95000.0,0
2022-02-07,964.5,964.7,964.5,964.7,1.55,180.0,173626.0,1
2022-02-08,964.0,964.0,964.0,964.0,-0.07,50.0,48200.0,-1
2022-02-16,960.0,960.0,960.0,960.0,-0.41,80.0,76800.0,-1
2022-02-21,955.0,955.0,955.0,955.0,-0.52,125.0,119375.0,-1
2022-02-24,955.0,955.0,955.0,955.0,0.0,250.0,238750.0,0
2022-02-27,955.0,955.0,955.0,955.0,0.0,1000.0,955000.0,0
2022-03-07,936.0,955.0,936.0,955.0,0.0,123.0,117070.0,0
2022-03-14,955.0,955.0,955.0,955.0,0.0,50.0,47750.0,0
2022-03-16,945.0,945.0,945.0,945.0,-1.05,25.0,23625.0,-1
2022-03-21,945.0,945.0,945.0,945.0,0.0,25.0,23625.0,0
2022-03-23,945.0,945.0,945.0,945.0,0.0,50.0,47250.0,0
2022-03-28,940.0,940.0,940.0,940.0,-0.53,30.0,28200.0,-1
2022-03-30,921.2,921.2,921.2,921.2,-2.0,25.0,23030.0,-1
