published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-08-07,700.0,700.0,700.0,700.0,0.0,11116.0,7781200.0,0
2013-11-27,700.0,686.0,686.0,686.0,0.0,8571.0,5879706.0,0
2014-01-20,686.0,673.0,673.0,673.0,0.0,5828.0,3922244.0,0
2014-03-18,673.0,673.0,673.0,673.0,0.0,5000.0,3365000.0,0
2014-07-15,673.0,686.0,686.0,686.0,0.0,7286.0,4998196.0,0
2014-07-16,686.0,686.0,686.0,686.0,0.0,36428.0,24989608.0,0
2014-07-20,686.0,699.0,699.0,699.0,0.0,7285.0,5092215.0,0
2014-08-21,699.0,686.0,660.0,660.0,0.0,4371.0,2941683.0,0
2014-08-24,660.0,647.0,623.0,623.0,0.0,9290.0,5848870.0,0
2014-08-25,623.0,611.0,588.0,588.0,0.0,44266.0,26379156.0,0
2014-11-10,588.0,577.0,577.0,577.0,0.0,3686.0,2126822.0,0
2014-11-18,577.0,577.0,577.0,577.0,0.0,1800.0,1038600.0,0
2017-06-18,250.0,250.0,250.0,250.0,0.0,110052.0,27513000.0,0
2017-07-05,250.0,250.0,250.0,250.0,0.0,7279.0,1819750.0,0
2017-07-20,250.0,250.0,250.0,250.0,0.0,2996.0,749000.0,0
2018-02-26,191.0,191.0,191.0,191.0,0.0,3269.0,624379.0,0
2018-06-26,175.0,175.0,175.0,175.0,0.0,4367.0,764225.0,0
2018-07-03,175.0,175.0,175.0,175.0,0.0,11128.0,1947400.0,0
2018-10-08,230.0,230.0,230.0,230.0,0.0,10546.0,2425580.0,0
2018-10-10,230.0,230.0,230.0,230.0,0.0,654.0,150420.0,0
2019-01-16,250.0,250.0,250.0,250.0,8.7,76467.0,19116750.0,1
2019-01-21,250.0,250.0,250.0,250.0,0.0,76467.0,19116750.0,0
2019-01-27,250.0,250.0,250.0,250.0,0.0,30587.0,7646750.0,0
2019-02-19,250.0,250.0,250.0,250.0,0.0,3225.0,806250.0,0
2019-05-20,272.0,272.0,272.0,272.0,8.8,2823.0,767856.0,1
2019-06-27,272.0,272.0,272.0,272.0,0.0,323.0,87856.0,0
2019-09-10,246.0,246.0,246.0,246.0,-9.56,15000.0,3690000.0,-1
2019-11-04,246.0,246.0,246.0,246.0,0.0,5000.0,1230000.0,0
2019-12-03,250.0,250.0,250.0,250.0,1.63,19490.0,4872500.0,1
2020-03-22,250.0,250.0,250.0,250.0,0.0,34555.0,8638750.0,0
2020-07-07,245.0,245.0,245.0,245.0,-2.0,15562.0,3812690.0,-1
2020-07-13,245.0,245.0,245.0,245.0,0.0,5520.0,1352400.0,0
2020-07-14,245.0,245.0,245.0,245.0,0.0,606.0,148470.0,0
2020-11-08,335.0,335.0,335.0,335.0,0.0,25000.0,8375000.0,0
2021-03-01,510.0,510.0,510.0,510.0,0.99,3000.0,1530000.0,1
2021-03-22,510.0,510.0,510.0,510.0,0.0,13921.0,7099710.0,0
2021-03-31,500.0,500.0,500.0,500.0,-1.96,18221.0,9110500.0,-1
2021-04-06,495.0,495.0,495.0,495.0,-1.0,7000.0,3465000.0,-1
2021-04-08,495.0,495.0,495.0,495.0,0.0,15000.0,7425000.0,0
2021-06-30,504.0,504.0,504.0,504.0,1.82,25000.0,12600000.0,1
2021-09-15,504.0,504.0,504.0,504.0,0.0,721.0,363384.0,0
2021-09-27,505.0,505.0,505.0,505.0,0.2,18222.0,9202110.0,1
2021-10-27,505.0,505.0,505.0,505.0,0.0,663.0,334815.0,0
2021-10-31,505.0,505.0,505.0,505.0,0.0,5048.0,2549240.0,0
2021-11-01,505.0,505.0,505.0,505.0,0.0,1870.0,944350.0,0
2022-04-27,438.0,438.0,438.0,438.0,0.0,6708.0,2938104.0,0
2022-08-07,393.0,393.0,393.0,393.0,0.0,41130.0,16164090.0,0
2022-08-08,385.2,385.2,385.2,385.2,-1.98,160336.0,61761427.2,-1
2022-10-17,385.2,385.2,385.2,385.2,0.0,2000.0,860000.0,0
2022-10-20,385.2,385.2,385.2,385.2,0.0,1000.0,435000.0,0
2022-10-23,331.3,331.3,331.3,331.3,-1.98,69275.0,22950807.5,-1
2022-11-28,331.3,331.3,331.3,331.3,0.0,1000.0,450000.0,0
2023-06-22,396.0,396.0,396.0,396.0,0.0,1000.0,396000.0,0
2023-10-02,375.1,377.0,375.1,377.0,0.0,7000.0,2629500.0,0
2024-06-18,220.0,220.0,209.0,209.0,0.0,2000.0,429000.0,0
2025-08-31,193.0,193.0,193.0,193.0,0.0,100.0,19300.0,0
2025-09-02,193.0,193.0,193.0,193.0,0.0,100.0,34000.0,0
2025-11-12,193.0,193.0,193.0,193.0,0.0,1000.0,190000.0,0
2026-08-10,179.0,179.0,179.0,179.0,0.0,7981.0,1428599.0,0
2026-08-18,179.0,179.0,179.0,179.0,0.0,9404.0,1683316.0,0
2026-09-23,179.0,179.0,179.0,179.0,0.0,35225.0,6305275.0,0
