published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-05-21,1000.0,1000.0,970.0,975.0,-2.5,290.0,283880.0,-1
2024-05-22,970.0,972.0,970.0,972.0,-0.31,170.0,165026.3,-1
2024-05-26,975.0,980.0,970.0,970.0,-0.21,215.0,209675.0,-1
2024-05-27,985.0,985.0,973.4,973.4,0.35,85.0,83020.0,1
2024-05-29,978.2,978.2,978.2,978.2,0.49,25.0,24455.0,1
2024-05-30,967.0,971.1,967.0,971.1,-0.73,150.0,145562.5,-1
2024-06-02,968.3,980.0,968.3,980.0,0.92,100.0,97415.0,1
2024-06-03,971.1,971.1,971.0,971.0,-0.92,50.0,48554.0,-1
2024-06-04,971.0,971.0,971.0,971.0,0.0,100.0,97100.0,0
2024-06-09,967.0,985.0,967.0,985.0,1.44,200.0,195425.0,1
2024-06-10,971.1,971.1,971.0,971.0,-1.42,50.0,48552.5,-1
2024-06-11,975.0,980.1,971.0,971.0,0.0,165.0,160543.5,0
2024-06-12,970.1,970.1,970.1,970.1,-0.09,25.0,24252.5,-1
2024-06-13,971.0,971.0,971.0,971.0,0.09,75.0,72825.0,1
2024-06-16,975.0,980.0,975.0,980.0,0.93,75.0,73375.0,1
2024-06-18,970.8,970.8,970.8,970.8,-0.94,25.0,24270.0,-1
2024-06-20,985.0,985.0,985.0,985.0,0.96,30.0,29501.0,1
2024-06-25,990.0,990.1,989.0,990.0,0.51,170.0,168299.0,1
2024-06-27,980.0,980.0,980.0,980.0,-1.01,25.0,24500.0,-1
2024-06-30,995.0,995.0,995.0,995.0,1.53,50.0,49750.0,1
2024-07-01,994.0,994.0,994.0,994.0,-0.1,25.0,24850.0,-1
2024-07-04,976.5,996.0,976.5,996.0,0.2,95.0,94032.5,1
2024-07-08,977.1,977.1,977.1,977.1,-1.9,25.0,24427.5,-1
2024-07-09,996.0,996.6,996.0,996.6,2.0,50.0,49815.0,1
2024-07-10,977.0,977.0,977.0,977.0,-1.97,30.0,29325.5,-1
2024-07-14,970.0,985.0,970.0,985.0,0.82,525.0,516750.0,1
2024-07-15,985.0,985.0,970.0,971.0,-1.42,140.0,136768.5,-1
2024-07-17,952.0,952.0,952.0,952.0,-1.96,25.0,23800.0,-1
2024-07-18,940.0,952.0,940.0,952.0,0.0,125.0,118400.0,0
2024-07-21,935.5,971.0,935.0,971.0,2.0,150.0,144730.0,1
2024-07-22,951.6,970.0,951.6,965.0,-0.62,121.0,116295.0,-1
2024-07-23,945.7,984.0,945.7,970.0,0.52,130.0,125800.0,1
2024-07-24,975.0,975.0,960.0,960.0,-1.03,75.0,72750.0,-1
2024-07-25,970.0,979.0,970.0,970.0,1.04,177.0,172590.0,1
2024-07-28,970.0,970.0,970.0,970.0,0.0,25.0,24250.0,0
2024-07-29,970.0,970.0,970.0,970.0,0.0,100.0,97000.0,0
2024-07-30,961.1,961.1,958.1,960.0,-1.03,125.0,119966.0,-1
2024-07-31,975.0,975.0,958.5,975.0,1.56,175.0,170212.5,1
2024-08-01,980.0,980.0,980.0,980.0,0.51,25.0,24500.0,1
2024-08-06,961.0,961.0,943.0,950.0,-3.06,76.0,72293.0,-1
2024-08-07,953.0,953.0,953.0,953.0,0.32,25.0,23825.0,1
2024-08-08,957.0,980.0,957.0,965.0,1.26,200.0,194425.0,1
