published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-10-30,250.0,251.0,251.0,251.0,0.0,17.0,4267.0,0
2012-01-08,251.0,246.0,246.0,246.0,0.0,14.0,3444.0,0
2012-09-13,246.0,242.0,242.0,242.0,0.0,12.0,2904.0,0
2014-01-29,242.0,246.0,246.0,246.0,0.0,36.0,8856.0,0
2014-02-06,246.0,0.0,0.0,246.0,0.0,1050.0,1050.0,0
2014-03-25,205.0,209.0,209.0,209.0,0.0,178.0,37202.0,0
2015-01-05,209.0,213.0,213.0,213.0,0.0,17.0,3621.0,0
2015-04-13,213.0,213.0,213.0,213.0,0.0,681.0,145053.0,0
2019-07-25,202.0,210.0,202.0,210.0,-1.41,73.0,15046.0,-1
2019-07-28,214.0,214.0,214.0,214.0,1.9,19.0,4102.0,1
2020-02-23,187.0,187.0,187.0,187.0,1.6,3500.0,654500.0,1
2020-09-22,190.0,190.0,190.0,190.0,1.6,80.0,15200.0,1
2020-10-18,199.0,199.0,199.0,199.0,4.74,10.0,1990.0,1
2020-11-04,208.0,208.0,208.0,208.0,4.52,10.0,2080.0,1
2020-11-05,218.0,218.0,218.0,218.0,4.81,10.0,2180.0,1
2020-11-23,228.0,228.0,228.0,228.0,4.59,10.0,2280.0,1
2020-12-02,238.0,238.0,238.0,238.0,4.39,10.0,2380.0,1
2020-12-09,249.0,249.0,249.0,249.0,4.62,24.0,5976.0,1
2020-12-28,261.0,261.0,261.0,261.0,4.82,10.0,2610.0,1
2021-02-09,274.0,274.0,274.0,274.0,4.98,10.0,2740.0,1
2021-05-20,287.0,287.0,287.0,287.0,4.74,10.0,2870.0,1
2021-05-23,301.0,301.0,301.0,301.0,4.88,10.0,3010.0,1
2021-07-05,316.0,316.0,316.0,316.0,4.98,10.0,3160.0,1
2022-03-06,247.8,252.7,247.8,252.7,3.99,255.0,64389.5,1
2022-05-10,252.7,252.7,272.7,252.7,0.0,6.0,1531.2,0
2022-05-11,252.7,252.7,252.7,252.7,0.0,3.0,772.8,0
