published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-10-27,1030.0,1030.0,1030.0,1030.0,0.0,10.0,10300.0,0
2021-11-08,1015.0,1020.0,1015.0,1020.0,-0.97,177.0,179705.0,-1
2021-11-09,1000.0,1000.0,1000.0,1000.0,-1.96,25.0,25000.0,-1
2021-11-11,1010.0,1010.0,1010.0,1010.0,1.0,50.0,50500.0,1
2021-11-14,1001.0,1001.0,1001.0,1001.0,-0.89,25.0,25025.0,-1
2021-11-16,999.0,999.0,999.0,999.0,-0.2,25.0,24975.0,-1
2021-11-18,1000.0,1000.5,999.6,1000.5,0.15,100.0,100015.0,1
2021-11-21,996.7,996.7,996.7,996.7,-0.38,25.0,24917.5,-1
2021-11-23,1000.0,1000.0,999.1,999.1,0.24,50.0,49971.2,1
2021-11-24,1017.9,1018.0,1015.0,1018.0,1.89,75.0,76304.0,1
2021-12-15,1010.0,1018.0,1010.0,1018.0,0.0,125.0,127050.0,0
2021-12-21,1000.0,1000.0,992.5,992.5,-2.5,25.0,24887.5,-1
2021-12-22,993.5,993.5,993.5,993.5,0.1,25.0,24837.5,1
2021-12-27,1000.0,1000.0,1000.0,1000.0,0.65,200.0,200000.0,1
2022-01-02,1005.0,1005.0,1005.0,1005.0,0.5,50.0,50250.0,1
2022-01-03,1020.0,1025.0,1020.0,1025.0,1.99,60.0,61250.0,1
2022-01-05,1025.0,1025.0,1025.0,1025.0,0.0,25.0,25625.0,0
2022-01-10,1025.0,1025.0,1025.0,1025.0,0.0,25.0,25625.0,0
2022-01-11,1025.0,1030.0,1025.0,1030.0,0.49,75.0,77000.0,1
2022-01-17,1009.4,1009.4,989.3,989.3,-3.95,50.0,49967.5,-1
2022-01-23,970.0,970.0,970.0,970.0,-1.95,25.0,24250.0,-1
2022-01-26,985.0,985.0,985.0,985.0,1.55,300.0,295500.0,1
2022-02-01,990.0,990.0,990.0,990.0,0.51,200.0,198000.0,1
2022-06-28,970.2,970.2,950.8,950.8,-3.96,202.0,194040.4,-1
2022-07-04,931.8,931.8,931.8,931.8,-2.0,25.0,23295.0,-1
2022-07-05,931.0,931.0,931.0,931.0,-0.09,25.0,23275.0,-1
2022-07-19,914.0,914.0,914.0,914.0,-1.83,235.0,214790.0,-1
2022-07-24,900.1,900.1,900.1,900.1,-1.52,25.0,22502.5,-1
2022-07-28,900.1,900.1,896.0,896.0,-0.46,227.0,203597.0,-1
2022-08-01,896.0,896.0,896.0,896.0,0.0,25.0,22400.0,0
2022-08-31,913.9,913.9,903.0,903.0,0.78,160.0,144589.0,1
2022-09-08,921.0,921.0,921.0,921.0,1.99,327.0,301167.0,1
2022-09-14,932.5,932.5,932.5,932.5,1.25,53.0,49422.5,1
2022-09-18,930.0,930.0,930.0,930.0,-0.27,27.0,25110.0,-1
2022-10-09,930.0,930.0,930.0,930.0,0.0,21.0,19530.0,0
2023-01-05,911.4,911.4,911.4,911.4,-2.0,20.0,18228.0,-1
2023-03-09,929.5,929.5,929.5,929.5,1.99,30.0,27885.0,1
2023-03-22,912.0,912.0,912.0,912.0,-1.88,25.0,22800.0,-1
2023-05-15,893.8,893.8,893.8,893.8,-2.0,25.0,22345.0,-1
2023-06-06,878.0,878.0,878.0,878.0,-1.77,25.0,21950.0,-1
2023-06-14,880.1,880.1,880.1,880.1,0.24,10.0,8801.0,1
2023-07-12,897.7,897.7,897.7,897.7,2.0,25.0,22442.5,1
2023-07-13,915.6,987.4,915.6,987.4,9.99,50.0,47609.0,1
2023-07-16,1001.0,1001.0,1001.0,1001.0,1.38,10.0,10010.0,1
2023-07-18,981.0,981.0,981.0,981.0,-2.0,10.0,9810.0,-1
2023-08-14,961.4,961.4,961.4,961.4,-2.0,25.0,24035.0,-1
2023-08-27,975.0,980.6,975.0,980.6,2.0,49.0,47909.4,1
2023-11-05,961.0,961.0,961.0,961.0,-2.0,10.0,9610.0,-1
2023-11-26,961.1,961.1,961.1,961.1,0.01,25.0,24027.5,1
