published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-02-14,777.0,801.0,727.0,727.0,0.0,110000.0,80849035.0,0
2021-07-14,100.0,100.0,100.0,100.0,0.0,32000.0,32705000.0,0
2021-10-10,1537.0,1537.0,1537.0,1537.0,0.0,6390.0,9821430.0,0
2021-10-19,1537.0,1537.0,1537.0,1537.0,0.0,12780.0,19642860.0,0
2022-01-03,1537.0,1537.0,1537.0,1537.0,0.0,2000.0,2062000.0,0
2022-01-04,1537.0,1537.0,1537.0,1537.0,0.0,39550.0,41233796.0,0
2022-01-05,1537.0,1537.0,1537.0,1537.0,0.0,3850.0,3995075.0,0
2022-01-10,1537.0,1537.0,1537.0,1537.0,0.0,36500.0,37303000.0,0
2022-01-20,1537.0,1537.0,1537.0,1537.0,0.0,3000.0,4611000.0,0
2022-07-24,1152.0,1152.0,1152.0,1152.0,0.0,6335.0,7297920.0,0
2022-09-05,1152.0,1152.0,1152.0,1152.0,0.0,2534.0,2919168.0,0
2022-09-28,1152.0,1152.0,1152.0,1152.0,0.0,61930.0,47597845.0,0
2023-01-05,1115.0,1115.0,1115.0,1115.0,0.0,2027.0,2260105.0,0
2023-01-25,1115.0,1115.0,1115.0,1115.0,0.0,2534.0,2825410.0,0
2024-01-30,631.0,631.0,631.0,631.0,0.0,7300.0,4606300.0,0
2024-07-11,745.0,745.0,745.0,745.0,0.0,5000.0,3725000.0,0
2024-07-22,745.0,745.0,745.0,745.0,0.0,2312.0,1722440.0,0
2024-10-22,785.0,785.0,785.0,785.0,5.37,10000.0,7850000.0,1
2024-11-11,785.0,785.0,770.0,770.0,-1.91,18000.0,14100000.0,-1
2024-11-14,770.0,770.0,770.0,770.0,0.0,15000.0,11550000.0,0
2024-11-21,770.0,770.0,770.0,770.0,0.0,5000.0,3850000.0,0
2024-11-24,755.0,755.0,755.0,755.0,-1.95,13316.0,10053580.0,-1
2024-11-25,755.0,755.0,755.0,755.0,0.0,5580.0,4212900.0,0
2024-11-26,755.0,755.0,755.0,755.0,0.0,1000.0,755000.0,0
2025-04-23,675.0,675.0,675.0,675.0,0.0,5000.0,3375000.0,0
2025-05-19,675.0,675.0,675.0,675.0,0.0,4079.0,2753325.0,0
2025-05-25,675.0,675.0,675.0,675.0,0.0,15000.0,10125000.0,0
2025-05-27,675.0,675.0,675.0,675.0,0.0,1749.0,1180575.0,0
2025-06-08,675.0,675.0,675.0,675.0,0.0,10000.0,6750000.0,0
2025-06-16,675.0,675.0,675.0,675.0,0.0,3000.0,2025000.0,0
2025-07-13,675.0,675.0,675.0,675.0,0.0,1000.0,675000.0,0
2025-08-07,675.0,675.0,675.0,675.0,0.0,3500.0,2362500.0,0
2025-10-29,675.0,675.0,675.0,675.0,0.0,4306.0,2906550.0,0
2025-11-06,675.0,675.0,675.0,675.0,0.0,5000.0,3375000.0,0
2025-11-10,675.0,675.0,675.0,675.0,0.0,12754.0,8608950.0,0
2025-12-02,675.0,675.0,675.0,675.0,0.0,20581.0,13892175.0,0
2025-12-24,675.0,675.0,675.0,675.0,0.0,2500.0,1687500.0,0
2026-01-04,675.0,675.0,675.0,675.0,0.0,12000.0,8100000.0,0
2026-06-03,628.0,628.0,628.0,628.0,0.0,48656.0,30555968.0,0
2026-07-08,610.0,610.0,610.0,610.0,-2.87,9258.0,5647380.0,-1
2026-07-10,610.0,610.0,610.0,610.0,0.0,8130.0,4959300.0,0
2026-07-14,610.0,610.0,610.0,610.0,0.0,10000.0,6100000.0,0
2026-07-15,610.0,610.0,610.0,610.0,0.0,3400.0,2074000.0,0
2026-09-22,655.0,655.0,655.0,655.0,0.0,4000.0,2620000.0,0
