published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-20,950.0,950.0,950.0,950.0,0.0,10927.0,10380650.0,0
2024-04-02,1000.0,1000.0,1000.0,1000.0,0.0,7285.0,7285000.0,0
2024-04-15,980.1,980.1,980.1,980.1,-1.99,30.0,29403.0,-1
2024-04-16,962.5,981.0,952.6,971.0,-0.93,250.0,242455.0,-1
2024-04-18,968.1,985.0,968.1,985.0,1.44,100.0,97327.5,1
2024-04-22,991.1,991.1,991.1,991.1,0.62,75.0,74332.5,1
2024-04-24,991.0,991.0,991.0,991.0,-0.01,100.0,99100.0,-1
2024-04-25,992.0,992.1,992.0,992.1,0.11,225.0,223202.5,1
2024-04-28,992.3,992.3,992.3,992.3,0.02,100.0,99230.0,1
2024-04-29,1000.0,1000.0,1000.0,1000.0,0.78,325.0,325000.0,1
2024-04-30,986.0,986.0,986.0,986.0,-1.4,100.0,98600.0,-1
2024-05-02,986.2,986.3,986.2,986.3,0.03,100.0,98625.0,1
2024-05-06,985.0,985.0,985.0,985.0,-0.13,25.0,24625.0,-1
2024-05-07,985.5,990.0,985.5,990.0,0.51,480.0,473175.0,1
2024-05-08,985.1,990.0,985.1,986.1,-0.39,130.0,128350.0,-1
2024-05-13,971.1,1000.0,971.1,1000.0,1.41,210.0,208460.0,1
2024-05-14,1005.0,1005.0,1005.0,1005.0,0.5,50.0,50250.0,1
2024-05-19,1000.0,1000.0,1000.0,1000.0,-0.5,205.0,205000.0,-1
2024-05-20,980.0,980.0,980.0,980.0,-2.0,25.0,24500.0,-1
2024-05-22,990.0,999.0,990.0,999.0,1.94,76.0,75579.0,1
2024-05-30,979.1,979.1,979.1,979.1,-1.99,25.0,24477.5,-1
2024-06-02,973.6,993.0,973.6,993.0,1.42,550.0,545180.0,1
2024-06-03,980.0,980.0,980.0,980.0,-1.31,25.0,24500.0,-1
2024-06-16,982.0,982.0,982.0,982.0,0.2,40.0,39280.0,1
2024-06-18,983.0,983.0,983.0,983.0,0.1,100.0,98300.0,1
2024-06-20,985.0,985.0,985.0,985.0,0.2,25.0,24625.0,1
2024-06-23,995.0,1000.0,995.0,1000.0,1.52,150.0,149500.0,1
2024-06-27,1005.0,1005.0,1005.0,1005.0,0.5,65.0,65325.0,1
2024-07-02,995.0,995.0,995.0,995.0,-1.0,25.0,24875.0,-1
2024-07-03,999.0,999.0,999.0,999.0,0.4,25.0,24975.0,1
2024-07-08,982.0,982.0,982.0,982.0,-1.7,25.0,24550.0,-1
2024-07-15,965.1,965.1,965.1,965.1,-1.72,30.0,28952.5,-1
2024-07-16,965.0,965.0,965.0,965.0,-0.01,200.0,193000.0,-1
2024-07-18,950.0,950.0,946.5,946.5,-1.92,50.0,47395.0,-1
2024-07-21,946.5,965.0,946.5,965.0,1.95,125.0,120162.5,1
2024-07-22,960.0,960.0,960.0,960.0,-0.52,25.0,24000.0,-1
2024-07-23,961.0,961.0,960.0,960.0,0.0,75.0,72027.5,0
2024-07-25,960.0,979.0,960.0,979.0,1.98,45.0,43675.0,1
2024-07-28,980.0,985.0,965.0,965.0,-1.43,225.0,219125.0,-1
2024-07-29,975.0,975.0,975.0,975.0,1.04,60.0,58500.0,1
2024-08-05,994.5,1000.0,994.5,1000.0,2.56,135.0,134945.0,1
2024-08-06,990.0,990.0,990.0,990.0,-1.0,75.0,74250.0,-1
2024-08-07,1003.0,1010.0,1003.0,1010.0,2.02,1204.0,1212948.0,1
2024-08-08,995.0,996.0,995.0,996.0,-1.39,110.0,109460.0,-1
2024-08-11,997.0,997.0,997.0,997.0,0.1,25.0,24925.0,1
2024-08-12,997.0,997.0,997.0,997.0,0.0,975.0,972075.0,0
2024-08-13,997.0,997.0,997.0,997.0,0.0,50.0,49850.0,0
2024-08-15,1005.0,1005.0,1005.0,1005.0,0.8,100.0,100500.0,1
2024-08-18,1000.0,1000.0,1000.0,1000.0,-0.5,50.0,50000.0,-1
2024-08-21,1000.0,1000.0,999.0,999.0,-0.1,415.0,414735.0,-1
2024-08-22,999.0,999.0,999.0,999.0,0.0,5.0,4995.0,0
2024-08-25,1000.0,1001.0,1000.0,1001.0,0.2,50.0,50025.0,1
2024-08-27,1002.0,1002.0,1002.0,1002.0,0.1,32.0,32064.0,1
2024-08-28,1005.0,1005.0,1005.0,1005.0,0.3,25.0,25125.0,1
2024-09-01,1015.0,1015.0,1015.0,1015.0,1.0,25.0,25375.0,1
2024-09-02,1016.0,1016.0,1015.0,1015.0,0.0,407.0,413487.0,0
2024-09-03,1007.0,1007.0,1007.0,1007.0,-0.79,25.0,25175.0,-1
2024-09-08,1010.0,1010.0,1010.0,1010.0,0.3,25.0,25250.0,1
2024-09-10,1020.0,1025.0,1020.0,1025.0,1.49,425.0,435125.0,1
2024-09-12,1025.0,1025.0,1025.0,1025.0,0.0,125.0,128125.0,0
2024-09-22,1011.1,1011.1,1011.1,1011.1,-1.36,25.0,25277.5,-1
2024-09-23,1020.0,1031.0,1020.0,1031.0,1.97,175.0,180122.5,1
2024-09-25,1010.4,1010.4,1000.1,1000.1,-3.0,50.0,50262.5,-1
2024-09-29,1000.1,1010.0,1000.1,1010.0,0.99,125.0,126002.5,1
2024-10-07,1020.0,1020.0,1016.2,1016.2,0.61,125.0,127405.0,1
2024-10-20,1020.0,1020.0,1020.0,1020.0,0.37,25.0,25500.0,1
2024-10-21,1020.0,1020.0,1020.0,1020.0,0.0,100.0,102000.0,0
2024-10-22,1020.1,1020.1,1020.0,1020.0,0.0,100.0,102005.0,0
2024-10-24,1025.0,1028.0,1025.0,1028.0,0.78,35.0,35905.0,1
2024-10-28,1025.0,1025.0,1025.0,1025.0,-0.29,25.0,25625.0,-1
2024-11-10,1025.0,1025.0,1025.0,1025.0,0.0,25.0,25625.0,0
2024-11-17,1026.0,1026.1,1026.0,1026.0,0.1,80.0,82082.5,1
2024-11-19,1030.0,1043.0,1030.0,1043.0,1.66,180.0,186950.0,1
2024-11-20,1044.0,1045.0,1044.0,1045.0,0.19,75.0,78350.0,1
2024-11-21,1045.0,1046.0,1045.0,1046.0,0.1,50.0,52275.0,1
2024-11-25,1046.0,1046.0,1046.0,1046.0,0.0,100.0,104600.0,0
2024-11-27,1046.0,1046.0,1046.0,1046.0,0.0,100.0,104600.0,0
2024-11-28,1046.0,1046.0,1046.0,1046.0,0.0,50.0,52300.0,0
2024-12-02,1026.0,1026.0,1026.0,1026.0,-1.91,30.0,30780.0,-1
2024-12-08,1045.0,1045.0,1026.5,1026.5,0.05,125.0,130162.5,1
2024-12-09,1045.0,1045.0,1045.0,1045.0,1.8,100.0,104500.0,1
2024-12-19,1030.0,1030.1,1030.0,1030.1,-1.43,50.0,51502.5,-1
2024-12-23,1049.9,1050.0,1049.9,1050.0,1.93,60.0,62995.0,1
2024-12-26,1055.0,1055.0,1037.0,1037.0,-1.24,125.0,131425.0,-1
2024-12-29,1049.0,1050.0,1042.1,1042.1,0.49,550.0,577277.5,1
2025-01-01,1062.0,1062.0,1046.0,1046.0,0.37,300.0,317000.0,1
2025-01-15,1025.1,1025.1,990.0,990.0,-5.35,485.0,484651.0,-1
2025-01-19,995.1,1015.0,995.1,1015.0,2.53,180.0,182302.0,1
2025-01-22,1015.0,1015.0,1015.0,1015.0,0.0,20.0,20300.0,0
2025-02-02,1016.3,1031.0,1016.3,1031.0,1.58,165.0,169466.1,1
2025-02-03,1032.0,1032.0,1031.1,1031.2,0.02,249.0,256838.0,1
2025-02-04,1030.0,1030.0,1030.0,1030.0,-0.12,100.0,103000.0,-1
2025-02-20,1021.0,1021.0,1021.0,1021.0,-0.87,25.0,25525.0,-1
2025-02-23,1026.1,1026.1,1026.1,1026.1,0.5,5.0,5130.5,1
2025-02-24,1026.1,1042.0,1026.1,1030.0,0.38,152.0,157813.7,1
2025-03-06,1025.0,1025.0,1025.0,1025.0,-0.49,3643.0,3734075.0,-1
2025-03-09,1020.0,1020.0,1020.0,1020.0,-0.49,29.0,29579.7,-1
2025-03-10,1016.3,1030.0,1015.0,1029.8,0.96,625.0,640250.0,1
2025-03-16,1016.3,1016.3,1016.3,1016.3,-1.31,25.0,25407.5,-1
2025-03-17,1022.3,1022.3,1022.3,1022.3,0.59,2.0,2044.6,1
2025-03-18,1030.0,1030.0,1030.0,1030.0,0.75,103.0,107090.0,1
2025-03-19,1028.0,1028.0,1028.0,1028.0,-0.19,28.0,28784.0,-1
2025-03-23,1021.0,1021.0,1021.0,1021.0,-0.68,10.0,10210.0,-1
2025-03-24,1021.0,1021.0,1021.0,1020.7,-0.03,2.0,2041.4,-1
2025-03-25,1030.0,1030.0,1030.0,1030.0,0.91,300.0,309000.0,1
2025-03-26,1030.0,1040.0,1030.0,1037.85,0.76,144.0,149448.0,1
2025-03-27,1037.0,1037.0,1037.0,1037.0,-0.08,87.0,90219.0,-1
2025-03-30,1037.1,1037.1,1037.1,1037.1,0.01,75.0,77782.5,1
2025-04-02,1037.1,1037.1,1037.1,1037.1,0.0,25.0,25927.5,0
2025-04-03,1037.0,1037.0,1037.0,1037.0,-0.01,56.0,58072.0,-1
2025-04-13,1057.5,1057.5,1036.4,1036.4,-0.06,130.0,136842.0,-1
2025-04-16,1036.4,1036.4,1036.4,1036.4,0.0,28.0,29019.2,0
2025-04-17,1032.0,1032.0,1032.0,1032.0,-0.42,25.0,25800.0,-1
2025-04-20,1032.0,1032.0,1032.0,1037.0,0.48,2.0,2074.0,1
2025-04-22,1036.0,1036.0,1035.0,1036.0,-0.1,103.0,106633.0,-1
2025-04-28,1042.0,1042.0,1042.0,1042.0,0.58,29.0,30218.0,1
2025-04-29,1062.0,1087.0,1062.0,1065.4,2.25,315.0,338854.2,1
2025-04-30,1065.4,1065.4,1065.4,1060.1,-0.5,4.0,4240.4,-1
2025-05-05,1061.0,1070.0,1060.0,1064.59,0.42,143.0,151852.7,1
2025-05-08,1060.0,1060.0,1060.0,1060.0,-0.43,100.0,106000.0,-1
2025-05-13,1055.0,1055.0,1055.0,1055.0,-0.47,118.0,124490.0,-1
2025-05-18,1041.4,1041.4,1041.4,1041.4,-1.29,25.0,26035.0,-1
2025-05-19,1050.0,1050.0,1050.0,1050.0,0.83,200.0,210000.0,1
2025-05-21,1050.0,1050.2,1050.0,1050.1,0.01,185.0,194268.5,1
2025-05-22,1050.0,1050.0,1050.0,1050.0,-0.01,25.0,26250.0,-1
2025-05-26,1050.0,1050.0,1050.0,1042.1,-0.75,28.0,29376.3,-1
2025-06-02,1042.1,1050.1,1042.1,1050.1,0.77,52.0,54605.2,1
2025-06-05,1050.1,1071.1,1050.1,1071.05,2.0,60.0,64263.2,1
2025-06-24,1071.0,1071.0,1071.0,1071.0,0.0,140.0,149940.0,0
2025-06-25,1050.0,1050.0,1049.6,1049.68,-1.99,100.0,104968.4,-1
2025-06-26,1050.0,1050.0,1050.0,1050.0,0.03,170.0,178500.0,1
2025-06-29,1069.0,1074.0,1069.0,1070.0,1.9,875.0,936403.0,1
2025-07-02,1070.0,1070.0,1070.0,1070.0,0.0,500.0,535000.0,0
2025-07-03,1070.0,1070.0,1060.0,1070.0,0.0,1359.0,1453380.0,0
