published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,10.0,10.0,8.5,9.03,-9.7,17720.0,160077.19,-1
2026-08-11,8.58,9.41,8.58,9.01,-0.22,18520.0,167019.0,-1
2026-08-12,9.01,9.15,8.75,9.08,0.78,9600.0,86919.5,1
2026-08-13,9.0,9.4,9.0,9.12,0.44,9241.0,85195.35,1
2026-08-14,9.0,9.1,8.8,9.08,-0.44,6150.0,55638.5,-1
2026-08-17,9.0,9.25,8.75,9.0,-0.88,46730.0,420627.1,-1
2026-08-18,9.0,9.1,8.56,8.92,-0.89,7350.0,65753.0,-1
2026-08-19,8.9,9.27,8.8,9.01,1.01,11350.0,103429.5,1
2026-08-20,8.9,9.15,8.9,8.98,-0.33,11000.0,98787.0,1
2026-08-21,9.0,9.15,8.73,8.92,-0.67,4900.0,43810.0,-1
2026-08-24,8.9,9.01,8.68,8.96,0.45,254600.0,2293464.0,1
2026-08-25,8.71,9.19,8.71,9.15,2.12,15100.0,136798.0,1
2026-08-26,8.88,8.94,8.88,8.93,-2.4,3700.0,33028.0,1
2026-08-27,8.67,9.16,8.42,9.16,2.58,5400.0,48075.0,1
