published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-06,10.0,10.0,9.4,9.5,-5.0,26800.0,255176.0,-1
2026-08-07,9.4,9.5,9.13,9.5,0.0,12800.0,119230.0,0
2026-08-10,9.22,9.4,9.15,9.26,-2.53,7350.0,67761.0,-1
2026-08-11,9.1,9.11,9.0,9.07,-2.05,11415.0,103320.05,-1
2026-08-12,9.0,9.34,8.9,9.08,0.11,8590.0,77872.5,1
2026-08-13,9.0,9.4,8.76,9.02,-0.66,8395.0,76023.5,-1
2026-08-14,9.0,9.78,9.0,9.13,1.22,8200.0,74998.0,1
2026-08-17,9.1,9.4,8.92,9.09,-0.44,6120.0,55847.5,-1
2026-08-18,8.9,9.25,8.9,9.07,-0.22,6430.0,58458.0,-1
2026-08-19,9.0,9.27,9.0,9.03,-0.44,6370.0,57640.8,-1
2026-08-20,9.02,9.08,9.02,9.04,0.11,3950.0,35687.0,1
2026-08-21,9.01,9.02,9.0,9.01,-0.33,5300.0,47758.0,0
2026-08-24,9.0,9.1,9.0,9.06,0.55,4500.0,40643.0,1
2026-08-25,9.01,9.3,9.01,9.04,-0.22,8210.0,74466.8,1
2026-08-26,9.04,9.1,9.02,9.05,0.11,2600.0,23562.0,1
2026-08-27,8.93,9.2,8.93,9.05,0.0,5400.0,48707.0,1
2026-08-31,8.87,9.05,8.8,9.0,-0.55,4700.0,42201.0,1
2026-09-01,8.8,9.05,8.8,9.0,0.0,4925.0,44383.0,1
2026-09-02,9.0,9.2,8.97,8.99,-0.11,3300.0,29809.0,-1
2026-09-03,8.97,9.1,8.97,9.03,0.44,3300.0,29774.0,1
