published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-02-22,394.0,394.0,363.6,363.6,0.0,50.0,18933.0,0
2024-02-25,356.4,356.4,328.9,328.9,-9.54,50.0,17126.0,-1
2024-02-26,322.4,322.4,297.6,297.6,-9.52,50.0,15493.0,-1
2024-02-27,291.7,291.7,274.6,274.6,-7.73,40.0,11324.0,-1
2024-03-05,270.0,270.0,270.0,270.0,-1.68,130288.0,35177760.0,-1
2024-06-30,275.0,275.0,275.0,275.0,1.85,50000.0,13750000.0,1
2024-07-09,275.0,275.0,275.0,275.0,0.0,64612.0,17768300.0,0
2024-07-29,270.0,270.0,270.0,270.0,-1.82,15189.0,4101030.0,-1
2024-08-22,270.0,270.0,270.0,270.0,0.0,9000.0,2430000.0,0
2026-08-27,270.0,270.0,270.0,270.0,0.0,16696.0,4507920.0,0
