published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-12-25,963.0,963.0,963.0,963.0,0.0,50000.0,48150000.0,0
2019-12-29,982.0,985.0,982.0,985.0,2.28,25.0,24595.0,1
2019-12-30,990.0,990.0,990.0,990.0,0.51,200.0,198000.0,1
2020-01-13,990.0,993.0,1000.0,1000.0,1.01,50.0,49795.0,1
2020-01-14,1000.0,1000.0,1000.0,1000.0,0.0,25.0,25000.0,0
2020-01-15,980.0,980.0,980.0,980.0,-2.0,10.0,9800.0,-1
2020-01-16,962.0,962.0,962.0,962.0,-1.84,200.0,192400.0,-1
2020-01-20,945.0,945.0,926.0,926.0,-3.74,225.0,208870.0,-1
2020-01-22,930.0,930.0,930.0,930.0,0.43,50.0,46500.0,1
2020-01-27,948.0,948.0,948.0,948.0,1.94,10.0,9480.0,1
2020-01-28,966.0,966.0,966.0,966.0,1.9,55.0,53130.0,1
2020-02-02,969.0,970.0,969.0,970.0,0.41,250.0,242450.0,1
2020-02-04,951.0,951.0,932.0,932.0,-3.92,50.0,47075.0,-1
2020-02-05,950.0,950.0,950.0,950.0,1.93,25.0,23750.0,1
2020-02-06,935.0,935.0,935.0,935.0,-1.58,25.0,23375.0,-1
2020-02-10,934.0,934.0,934.0,934.0,-0.11,50.0,46700.0,-1
2020-02-17,937.0,937.0,937.0,937.0,0.32,25.0,23425.0,1
2020-02-19,934.0,935.0,934.0,935.0,-0.21,50.0,46725.0,-1
2020-02-20,934.0,934.0,934.0,934.0,-0.11,25.0,23350.0,-1
2020-02-24,925.0,925.0,917.0,917.0,-1.82,290.0,266890.0,-1
2020-02-25,930.0,930.0,930.0,930.0,1.42,50.0,46500.0,1
2020-02-27,931.0,931.0,930.0,930.0,0.0,100.0,93050.0,0
2020-03-03,948.0,948.0,948.0,948.0,1.94,25.0,23700.0,1
2020-03-04,948.0,948.0,948.0,948.0,0.0,50.0,47400.0,0
2020-03-12,935.0,935.0,935.0,935.0,-1.37,50.0,46750.0,-1
2020-03-15,933.0,933.0,932.0,932.0,-0.32,195.0,181840.0,-1
2020-07-01,950.0,950.0,950.0,950.0,1.93,25.0,23750.0,1
2020-07-08,966.0,969.0,965.0,965.0,1.58,175.0,169325.0,1
2020-07-12,960.0,960.0,960.0,960.0,-0.52,25.0,24000.0,-1
2020-07-13,979.0,1056.0,979.0,1056.0,10.0,325.0,333160.0,1
2020-07-19,1060.0,1060.0,1060.0,1060.0,0.38,100.0,106000.0,1
2020-07-23,1039.0,1039.0,1020.0,1025.0,-3.3,150.0,155025.0,-1
2020-07-26,1025.0,1025.0,1010.0,1020.0,-0.49,150.0,153125.0,-1
2020-07-27,1010.0,1010.0,1010.0,1010.0,-0.98,100.0,101000.0,-1
2020-07-28,1005.0,1005.0,1005.0,1005.0,-0.5,125.0,125625.0,-1
2020-07-29,1005.0,1005.0,1005.0,1005.0,0.0,150.0,150750.0,0
2020-07-30,1005.0,1005.0,1000.0,1000.0,-0.5,125.0,125125.0,-1
2020-08-02,1006.0,1006.0,1005.0,1005.0,0.5,100.0,100525.0,1
2020-08-03,1005.0,1005.0,1005.0,1005.0,0.0,25.0,25125.0,0
2020-08-05,1010.0,1010.0,1006.0,1006.0,0.1,75.0,75650.0,1
2020-08-06,995.0,1000.0,995.0,1000.0,-0.6,55.0,54875.0,-1
2020-08-09,1001.0,1010.0,1000.0,1010.0,1.0,150.0,150350.0,1
2020-08-10,1000.0,1000.0,1000.0,1000.0,-0.99,25.0,25000.0,-1
2020-08-11,996.0,1030.0,996.0,1030.0,3.0,205.0,209025.0,1
2020-08-12,1030.0,1030.0,1011.0,1011.0,-1.84,100.0,101920.0,-1
2020-08-13,1001.0,1001.0,1000.0,1000.0,-1.09,100.0,100025.0,-1
2020-08-16,1000.0,1000.0,1000.0,1000.0,0.0,100.0,100000.0,0
2020-08-17,1005.0,1006.0,1005.0,1006.0,0.6,125.0,125725.0,1
2020-08-18,1011.0,1011.0,1010.0,1010.0,0.4,125.0,126350.0,1
2020-08-19,1010.0,1013.0,1010.0,1013.0,0.3,150.0,151725.0,1
2020-08-23,1016.0,1017.0,1016.0,1017.0,0.39,150.0,152500.0,1
2020-08-24,1017.0,1017.0,1017.0,1017.0,0.0,25.0,25425.0,0
2020-08-25,1017.0,1017.0,1017.0,1017.0,0.0,150.0,152550.0,0
2020-08-26,1018.0,1018.0,1018.0,1018.0,0.1,75.0,76350.0,1
2020-08-31,1018.0,1018.0,1018.0,1018.0,0.0,50.0,50900.0,0
2020-09-02,1018.0,1018.0,1018.0,1018.0,0.0,50.0,50900.0,0
2020-09-03,1018.0,1018.0,1018.0,1018.0,0.0,55.0,55990.0,0
2020-09-06,1018.0,1018.0,1018.0,1018.0,0.0,50.0,50900.0,0
2020-09-07,1018.0,1018.0,1018.0,1018.0,0.0,80.0,81440.0,0
2020-09-09,1018.0,1018.0,1018.0,1018.0,0.0,25.0,25450.0,0
2020-09-13,1018.0,1018.0,1018.0,1018.0,0.0,125.0,127250.0,0
2020-09-14,1018.0,1018.0,1018.0,1018.0,0.0,75.0,76350.0,0
2020-09-15,1018.0,1018.0,1018.0,1018.0,0.0,100.0,101800.0,0
2020-09-21,1001.0,1006.0,1001.0,1005.0,-1.28,395.0,396975.0,-1
2020-09-22,1005.0,1005.0,1005.0,1005.0,0.0,100.0,100500.0,0
2020-09-23,1005.0,1010.0,1001.0,1010.0,0.5,175.0,176025.0,1
2020-09-24,1005.0,1015.0,1005.0,1015.0,0.5,475.0,479095.0,1
2020-09-27,1011.0,1012.0,1011.0,1012.0,-0.3,115.0,116355.0,-1
2020-09-28,1000.0,1005.0,1000.0,1000.0,-1.19,300.0,300600.0,-1
2020-09-29,1006.0,1020.0,1006.0,1020.0,2.0,80.0,81180.0,1
2020-09-30,1005.0,1005.0,1005.0,1005.0,-1.47,25.0,25125.0,-1
2020-10-01,1000.0,1015.0,1000.0,1015.0,1.0,50.0,50375.0,1
2020-10-04,1015.0,1015.0,1015.0,1015.0,0.0,50.0,50750.0,0
2020-10-05,1020.0,1020.0,1020.0,1020.0,0.49,25.0,25500.0,1
2020-10-06,1025.0,1030.0,1025.0,1030.0,0.98,125.0,128400.0,1
2020-10-07,1030.0,1030.0,1030.0,1030.0,0.0,25.0,25750.0,0
2020-10-08,1030.0,1030.0,1015.0,1015.0,-1.46,250.0,256750.0,-1
2020-10-11,1015.0,1021.0,1015.0,1021.0,0.59,75.0,76400.0,1
2020-10-13,1021.0,1025.0,1021.0,1025.0,0.39,225.0,230525.0,1
2020-10-14,1020.0,1040.0,1020.0,1027.0,0.2,125.0,128825.0,1
2020-10-15,1027.0,1027.0,1027.0,1027.0,0.0,25.0,25675.0,0
2020-10-19,1047.0,1047.0,1034.0,1034.0,0.68,115.0,120080.0,1
2020-10-21,1050.0,1054.0,1050.0,1054.0,1.93,150.0,157900.0,1
2020-10-22,1045.0,1045.0,1045.0,1045.0,-0.85,25.0,26125.0,-1
2020-10-28,1046.0,1047.0,1046.0,1047.0,0.19,75.0,78475.0,1
2020-11-02,1050.0,1055.0,1050.0,1051.0,0.38,150.0,157825.0,1
2020-11-03,1072.0,1072.0,1072.0,1072.0,2.0,50.0,53600.0,1
2020-11-08,1075.0,1075.0,1075.0,1075.0,0.28,50.0,53750.0,1
2020-11-09,1055.0,1055.0,1055.0,1055.0,-1.86,345.0,363975.0,-1
2020-11-10,1035.0,1055.0,1035.0,1055.0,0.0,125.0,130750.0,0
2020-11-11,1035.0,1035.0,1035.0,1035.0,-1.9,25.0,25875.0,-1
2020-11-12,1035.0,1035.0,1035.0,1035.0,0.0,50.0,51750.0,0
2020-11-18,1045.0,1054.0,1045.0,1054.0,1.84,74.0,77780.0,1
2020-11-19,1054.0,1054.0,1054.0,1054.0,0.0,350.0,368900.0,0
2020-11-22,1054.0,1054.0,1054.0,1054.0,0.0,175.0,184450.0,0
2020-11-23,1040.0,1040.0,1040.0,1040.0,-1.33,25.0,26000.0,-1
2020-11-25,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0
2020-11-26,1025.0,1025.0,1025.0,1025.0,-1.44,35.0,35875.0,-1
2020-11-29,1030.0,1040.0,1030.0,1040.0,1.46,225.0,233750.0,1
2020-11-30,1021.0,1021.0,1021.0,1021.0,-1.83,200.0,204200.0,-1
2020-12-02,1001.0,1025.0,1001.0,1024.0,0.29,170.0,171710.0,1
2020-12-03,1020.0,1027.0,1020.0,1027.0,0.29,350.0,357350.0,1
2020-12-06,1030.0,1030.0,1030.0,1030.0,0.29,65.0,66950.0,1
2020-12-07,1030.0,1031.0,1030.0,1031.0,0.1,50.0,51525.0,1
2020-12-08,1030.0,1035.0,1030.0,1035.0,0.39,125.0,129125.0,1
2020-12-10,1035.0,1035.0,1035.0,1035.0,0.0,25.0,25875.0,0
2020-12-13,1035.0,1035.0,1035.0,1035.0,0.0,25.0,25875.0,0
2020-12-14,1040.0,1050.0,1040.0,1050.0,1.45,300.0,312500.0,1
2020-12-16,1035.0,1035.0,1035.0,1035.0,-1.43,25.0,25875.0,-1
2020-12-17,1038.0,1038.0,1038.0,1038.0,0.29,30.0,31140.0,1
2020-12-20,1022.0,1042.0,1022.0,1042.0,0.39,50.0,51600.0,1
2020-12-21,1036.0,1040.0,1036.0,1040.0,-0.19,50.0,51900.0,-1
2020-12-22,1040.0,1060.0,1040.0,1060.0,1.92,105.0,110500.0,1
2020-12-24,1040.0,1040.0,1040.0,1040.0,-1.89,50.0,52000.0,-1
2020-12-28,1040.0,1041.0,1040.0,1040.0,0.0,125.0,130050.0,0
2020-12-29,1040.0,1045.0,1040.0,1040.0,0.0,225.0,234500.0,0
2020-12-30,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0
2020-12-31,1040.0,1060.0,1040.0,1060.0,1.92,450.0,475000.0,1
