published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-02,1000.0,1005.0,995.0,995.0,0.0,380.0,380500.0,0
2021-06-03,1000.0,1000.0,998.0,998.0,0.3,205.0,204630.0,1
2021-06-06,995.0,1000.0,990.0,1000.0,0.2,175.0,173995.0,1
2021-06-07,1002.0,1005.0,990.0,1000.0,0.0,425.0,425475.0,0
2021-06-08,995.0,1001.0,995.0,1001.0,0.1,470.0,468250.0,1
2021-06-09,995.0,1001.0,995.0,996.0,-0.5,450.0,449150.0,-1
2021-06-10,995.0,1000.0,995.0,995.0,-0.1,255.0,253995.0,-1
2021-06-13,990.0,1005.0,990.0,1000.0,0.5,590.0,590345.0,1
2021-06-14,1008.0,1008.0,996.0,1008.0,0.8,260.0,261730.0,1
2021-06-15,995.0,1005.0,995.0,999.0,-0.89,925.0,924825.0,-1
2021-06-16,996.0,1001.0,996.0,1001.0,0.2,120.0,119810.0,1
2021-06-17,1001.0,1001.0,1000.0,1000.0,-0.1,300.0,300100.0,-1
2021-06-20,997.0,1000.0,997.0,1000.0,0.0,290.0,289955.0,0
2021-06-21,1003.0,1003.0,1001.0,1001.0,0.1,75.0,75135.0,1
2021-06-22,1000.0,1005.0,1000.0,1002.0,0.1,140.0,140380.0,1
2021-06-23,1000.0,1002.0,1000.0,1002.0,0.0,75.0,75100.0,0
2021-06-24,1002.0,1010.0,1000.0,1010.0,0.8,355.0,357175.0,1
2021-06-27,1002.0,1005.0,1002.0,1005.0,-0.5,210.0,210815.0,-1
2021-06-28,1005.0,1005.0,1005.0,1005.0,0.0,220.0,221100.0,0
2021-06-29,1003.0,1007.0,1003.0,1007.0,0.2,100.0,100500.0,1
2021-07-01,1005.0,1005.0,1004.0,1004.0,-0.3,45.0,45200.0,-1
2021-07-04,1001.0,1005.0,1001.0,1005.0,0.1,230.0,230810.0,1
2021-07-05,1004.0,1004.0,1002.0,1002.0,-0.3,275.0,275750.0,-1
2021-07-06,1005.0,1005.0,1004.0,1004.0,0.2,80.0,80350.0,1
2021-07-07,1003.0,1005.0,1003.0,1005.0,0.1,65.0,65275.0,1
2021-07-11,1005.0,1008.0,1005.0,1008.0,0.3,325.0,327300.0,1
2021-07-12,1007.0,1007.0,1006.0,1006.0,-0.2,147.0,147979.0,-1
2021-07-13,1004.0,1009.0,1004.0,1009.0,0.3,50.0,50325.0,1
2021-07-15,1004.0,1004.0,1004.0,1004.0,-0.5,25.0,25100.0,-1
2021-07-18,984.3,995.0,984.3,995.0,-0.9,95.0,93722.5,-1
2021-07-19,995.0,995.0,995.0,995.0,0.0,450.0,447750.0,0
2021-07-20,995.0,1000.0,995.0,995.0,0.0,75.0,74675.0,0
2021-07-22,995.0,996.0,994.0,996.0,0.1,130.0,129357.0,1
2021-07-25,995.0,995.0,995.0,995.0,-0.1,450.0,447750.0,-1
2021-07-26,985.0,985.0,985.0,985.0,-1.01,270.0,265950.0,-1
2021-07-27,981.0,985.0,981.0,985.0,0.0,180.0,177180.0,0
2021-07-28,985.0,995.0,984.0,990.0,0.51,235.0,232400.0,1
2021-07-29,985.1,995.0,985.1,995.0,0.51,75.0,74308.0,1
2021-08-01,990.0,990.0,990.0,990.0,-0.5,25.0,24750.0,-1
2021-08-02,985.0,985.0,985.0,985.0,-0.51,355.0,349675.0,-1
2021-08-03,990.0,990.0,990.0,990.0,0.51,40.0,39600.0,1
2021-08-04,983.0,985.6,983.0,985.0,-0.51,320.0,315041.0,-1
2021-08-05,986.0,986.0,986.0,986.0,0.1,10.0,9860.0,1
2021-08-08,985.0,986.2,985.0,986.2,0.02,55.0,54208.0,1
2021-08-09,986.2,987.0,986.2,986.2,0.0,95.0,93737.0,0
2021-08-10,986.0,988.0,986.0,986.1,-0.01,75.0,74002.5,-1
2021-08-11,986.1,988.5,986.1,988.5,0.24,150.0,148155.0,1
2021-08-12,988.0,988.0,988.0,988.0,-0.05,45.0,44460.0,-1
2021-08-15,988.0,988.0,985.1,985.1,-0.29,330.0,325337.5,-1
2021-08-16,985.0,985.0,981.0,983.2,-0.19,105.0,103171.0,-1
2021-08-17,983.2,983.4,983.2,983.4,0.02,155.0,152422.0,1
2021-08-18,980.0,985.0,980.0,985.0,0.16,235.0,230951.0,1
2021-08-19,981.0,983.0,981.0,983.0,-0.2,185.0,181620.0,-1
2021-08-24,983.0,983.0,983.0,983.0,0.0,25.0,24575.0,0
2021-08-25,980.0,980.0,980.0,980.0,-0.31,50.0,49000.0,-1
2021-08-26,980.0,980.0,980.0,980.0,0.0,50.0,49000.0,0
2021-08-29,980.0,983.0,980.0,983.0,0.31,255.0,250550.0,1
2021-08-31,980.0,990.0,980.0,990.0,0.71,170.0,167875.0,1
2021-09-01,983.0,983.0,983.0,983.0,-0.71,30.0,29490.0,-1
2021-09-05,970.0,970.0,970.0,970.0,-1.32,30.0,29100.0,-1
2021-09-06,975.2,980.0,975.2,977.0,0.72,105.0,102681.0,1
2021-09-08,981.0,981.0,981.0,981.0,0.41,25.0,24525.0,1
2021-09-09,970.0,989.0,970.0,989.0,0.82,55.0,53825.0,1
2021-09-12,985.0,985.0,985.0,985.0,-0.4,25.0,24625.0,-1
2021-09-13,985.0,985.0,973.0,973.0,-1.22,70.0,68600.0,-1
2021-09-14,983.9,983.9,983.9,983.9,1.12,300.0,295170.0,1
2021-09-15,971.0,971.0,971.0,971.0,-1.31,25.0,24275.0,-1
2021-09-16,980.0,980.0,975.0,975.0,0.41,55.0,53775.0,1
2021-09-21,965.0,965.0,965.0,965.0,-1.03,25.0,24125.0,-1
2021-09-22,967.0,967.0,967.0,967.0,0.21,30.0,29010.0,1
2021-09-26,970.0,970.0,970.0,970.0,0.31,50.0,48500.0,1
2021-09-28,970.0,970.0,970.0,970.0,0.0,25.0,24250.0,0
2021-09-29,960.0,979.0,960.0,979.0,0.93,60.0,57790.0,1
2021-10-03,960.1,960.1,960.0,960.0,-1.94,145.0,139204.5,-1
2021-10-04,958.2,958.2,958.2,958.2,-0.19,15.0,14373.0,-1
2021-10-21,954.0,954.0,954.0,954.0,-0.44,25.0,23850.0,-1
2021-10-24,948.0,953.0,948.0,953.0,-0.1,50.0,47525.0,-1
2021-10-25,947.0,947.0,947.0,947.0,-0.63,25.0,23675.0,-1
2021-10-26,949.0,949.0,949.0,949.0,0.21,50.0,47450.0,1
2021-10-31,949.1,949.1,949.1,949.1,0.01,30.0,28473.0,1
2021-11-01,949.1,949.1,949.1,949.1,0.0,100.0,94910.0,0
2021-11-08,948.0,948.0,948.0,948.0,-0.12,10.0,9480.0,-1
2021-11-14,950.1,950.1,948.0,950.0,0.21,225.0,213452.5,1
2021-11-15,960.0,966.9,960.0,960.0,1.05,65.0,62469.0,1
2021-11-18,950.0,950.0,950.0,950.0,-1.04,50.0,47500.0,-1
2021-11-23,948.0,948.0,948.0,948.0,-0.21,30.0,28440.0,-1
