published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-14,1000.0,1021.0,1000.0,1021.0,0.0,105.0,105295.0,0
2020-09-16,1050.0,1050.0,1050.0,1050.0,2.84,980.0,1029000.0,1
2020-09-17,1029.0,1029.0,1029.0,1029.0,-2.0,25.0,25725.0,-1
2020-09-23,1029.0,1029.0,1015.0,1015.0,-1.36,80.0,81900.0,-1
2020-09-28,1015.0,1015.0,1015.0,1015.0,0.0,25.0,25375.0,0
2020-10-01,1000.0,1000.0,1000.0,1000.0,-1.48,50.0,50000.0,-1
2020-10-05,1019.0,1019.0,1019.0,1019.0,1.9,50.0,50950.0,1
2020-10-07,1015.0,1015.0,1015.0,1015.0,-0.39,25.0,25375.0,-1
2020-10-12,1015.0,1015.0,1015.0,1015.0,0.0,50.0,50750.0,0
2020-10-13,1020.0,1020.0,1020.0,1020.0,0.49,10.0,10200.0,1
2020-11-01,1040.0,1040.0,1040.0,1040.0,1.96,250.0,260000.0,1
2020-11-02,1050.0,1050.0,1050.0,1050.0,0.96,950.0,997500.0,1
2020-11-05,1036.0,1036.0,1036.0,1036.0,-1.33,10.0,10360.0,-1
2020-11-09,1050.0,1050.0,1050.0,1050.0,1.35,25.0,26250.0,1
2020-11-11,1031.0,1031.0,1031.0,1031.0,-1.81,25.0,25775.0,-1
2020-11-12,1031.0,1031.0,1031.0,1031.0,0.0,25.0,25775.0,0
2020-12-01,1011.0,1011.0,1011.0,1011.0,-1.94,100.0,101100.0,-1
2020-12-02,1013.0,1013.0,1013.0,1013.0,0.2,30.0,30390.0,1
2020-12-10,1015.0,1015.0,1015.0,1015.0,0.2,25.0,25375.0,1
2020-12-14,1022.0,1022.0,1022.0,1022.0,0.69,200.0,204400.0,1
2020-12-15,1042.0,1042.0,1042.0,1042.0,1.96,230.0,239660.0,1
2020-12-20,1050.0,1050.0,1050.0,1050.0,0.77,30.0,31500.0,1
2020-12-22,1045.0,1045.0,1045.0,1045.0,-0.48,50.0,52250.0,-1
2020-12-23,1050.0,1050.0,1050.0,1050.0,0.48,500.0,525000.0,1
2020-12-27,1071.0,1071.0,1071.0,1071.0,2.0,25.0,26775.0,1
2020-12-28,1060.0,1060.0,1060.0,1060.0,-1.03,100.0,106000.0,-1
2020-12-30,1065.0,1065.0,1065.0,1065.0,0.47,500.0,532500.0,1
2021-01-03,1050.0,1050.0,1045.0,1045.0,-1.88,845.0,885525.0,-1
2021-01-04,1050.0,1050.0,1050.0,1050.0,0.48,50.0,52500.0,1
2021-01-06,1051.0,1051.0,1051.0,1051.0,0.1,99.0,104049.0,1
2021-01-17,1050.0,1050.0,1050.0,1050.0,-0.1,50.0,52500.0,-1
2021-01-18,1045.0,1045.0,1045.0,1045.0,-0.48,25.0,26125.0,-1
2021-01-20,1045.0,1045.0,1045.0,1045.0,0.0,130.0,135850.0,0
