published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-16,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2022-10-20,980.0,980.0,980.0,980.0,-2.0,10.0,9800.0,-1
2022-11-02,960.4,960.4,960.4,960.4,-2.0,100.0,96040.0,-1
2022-11-28,941.2,941.2,920.0,922.4,-3.96,150.0,139240.0,-1
2022-11-29,915.0,915.0,897.1,900.0,-2.43,955.0,859732.5,-1
2022-11-30,900.0,900.0,895.2,896.0,-0.44,150.0,134480.0,-1
2022-12-01,891.0,891.0,891.0,891.0,-0.56,25.0,22275.0,-1
2022-12-05,893.0,893.0,893.0,893.0,0.22,10.0,8930.0,1
2022-12-06,898.0,900.0,897.0,897.1,0.46,115.0,103327.5,1
2022-12-07,895.0,896.0,895.0,896.0,-0.12,95.0,85049.5,-1
2022-12-11,900.0,900.0,900.0,900.0,0.45,75.0,67500.0,1
2022-12-12,888.0,888.0,888.0,888.0,-1.33,25.0,22200.0,-1
2022-12-13,895.1,895.1,895.1,895.1,0.8,25.0,22377.5,1
2022-12-14,892.0,900.0,892.0,900.0,0.55,550.0,494800.0,1
2022-12-18,887.0,887.0,887.0,887.0,-1.44,25.0,22175.0,-1
2022-12-20,886.3,890.2,886.3,890.1,0.35,37.0,32897.2,1
2022-12-21,900.0,902.0,900.0,902.0,1.34,500.0,450800.0,1
2022-12-26,903.0,903.0,903.0,903.0,0.11,25.0,22575.0,1
2022-12-28,910.0,925.0,910.0,925.0,2.44,30.0,27600.0,1
2023-01-05,910.0,910.0,900.0,900.0,-2.7,100.0,90419.0,-1
2023-01-08,892.0,892.0,892.0,892.0,-0.89,25.0,22300.0,-1
2023-01-09,909.8,910.0,909.8,910.0,2.02,110.0,100098.0,1
2023-01-17,891.8,891.8,891.8,891.8,-2.0,10.0,8918.0,-1
2023-01-23,880.1,880.1,880.0,880.0,-1.32,400.0,352020.0,-1
2023-01-24,881.0,895.0,881.0,895.0,1.7,325.0,287950.0,1
2023-01-25,880.1,880.1,880.0,880.0,-1.68,553.0,486645.3,-1
2023-01-29,880.1,880.1,880.1,880.1,0.01,25.0,22002.5,1
2023-01-30,880.0,880.0,880.0,880.0,-0.01,200.0,176000.0,-1
2023-02-01,890.0,890.0,872.2,885.0,0.57,163.0,143793.0,1
2023-02-07,870.1,872.0,870.1,871.0,-1.58,70.0,60935.0,-1
2023-02-12,870.2,870.2,870.2,870.2,-0.09,25.0,21755.0,-1
2023-02-15,874.1,874.1,874.1,874.1,0.45,25.0,21852.5,1
2023-02-20,870.2,870.2,870.2,870.2,-0.45,25.0,21755.0,-1
2023-02-22,872.0,872.0,865.0,865.0,-0.6,425.0,369973.3,-1
2023-02-23,860.3,860.3,860.2,860.2,-0.55,50.0,43012.7,-1
2023-02-26,865.0,865.0,865.0,865.0,0.56,25.0,21625.0,1
2023-02-27,855.1,868.0,851.0,860.0,-0.58,250.0,215153.2,-1
2023-03-07,861.0,861.0,861.0,861.0,0.12,100.0,86100.0,1
2023-03-14,878.2,895.0,878.2,895.0,3.95,110.0,96770.0,1
2023-03-16,900.0,909.0,900.0,909.0,1.56,545.0,494120.0,1
2023-03-19,895.0,910.0,895.0,910.0,0.11,70.0,63325.0,1
2023-03-20,910.0,920.0,910.0,920.0,1.1,250.0,228950.0,1
2023-03-23,915.0,915.0,915.0,915.0,-0.54,110.0,100650.0,-1
2023-03-27,910.0,918.0,905.0,918.0,0.33,450.0,409900.0,1
2023-03-28,915.0,915.0,915.0,915.0,-0.33,25.0,22875.0,-1
