published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-02,1000.0,1005.0,1000.0,1000.0,0.0,155.0,155325.0,0
2021-06-03,993.0,998.0,993.0,996.0,-0.4,570.0,567685.0,-1
2021-06-06,990.0,995.0,990.0,993.0,-0.3,520.0,515685.0,-1
2021-06-07,995.0,1000.0,995.0,995.0,0.2,315.0,313600.0,1
2021-06-08,993.0,996.0,990.0,995.0,0.0,625.0,622075.0,0
2021-06-09,991.0,995.0,991.0,995.0,0.0,325.0,323250.0,0
2021-06-10,1002.0,1002.0,992.0,992.0,-0.3,85.0,84510.0,-1
2021-06-13,993.0,996.0,993.0,995.0,0.3,250.0,248825.0,1
2021-06-14,995.0,997.0,995.0,996.0,0.1,180.0,179255.0,1
2021-06-15,995.0,998.0,995.0,996.0,0.0,85.0,84685.0,0
2021-06-16,996.0,996.0,996.0,996.0,0.0,50.0,49800.0,0
2021-06-17,1000.0,1001.0,998.0,998.0,0.2,90.0,89915.0,1
2021-06-20,998.0,1003.0,998.0,1000.0,0.2,385.0,385260.0,1
2021-06-21,1000.0,1000.0,1000.0,1000.0,0.0,70.0,70000.0,0
2021-06-22,1000.0,1000.0,1000.0,1000.0,0.0,45.0,45000.0,0
2021-06-23,996.0,1000.0,996.0,1000.0,0.0,35.0,34960.0,0
2021-06-24,1020.0,1020.0,1004.0,1010.0,1.0,120.0,121300.0,1
2021-06-27,1003.0,1005.0,1003.0,1005.0,-0.5,75.0,75275.0,-1
2021-06-28,1005.0,1005.0,1004.0,1004.0,-0.1,150.0,150700.0,-1
2021-06-29,1004.0,1005.0,1004.0,1004.0,0.0,100.0,100450.0,0
2021-06-30,1004.0,1004.0,1003.0,1004.0,0.0,125.0,125475.0,0
2021-07-01,1004.0,1004.0,1000.0,1000.0,-0.4,165.0,165370.0,-1
2021-07-04,1001.0,1005.0,1001.0,1002.0,0.2,100.0,100250.0,1
2021-07-05,1002.0,1002.0,1002.0,1002.0,0.0,25.0,25050.0,0
2021-07-06,1007.0,1020.0,1001.0,1003.0,0.1,110.0,110695.0,1
2021-07-11,1002.0,1006.0,1002.0,1006.0,0.3,50.0,50200.0,1
2021-07-12,1005.0,1006.0,1004.0,1005.0,-0.1,280.0,281445.0,-1
2021-07-13,1007.0,1007.0,1007.0,1007.0,0.2,25.0,25175.0,1
2021-07-14,1007.0,1007.0,1001.0,1001.0,-0.6,65.0,65215.0,-1
2021-07-18,981.0,981.0,981.0,981.0,-2.0,125.0,122625.0,-1
2021-07-25,985.0,989.0,985.0,989.0,0.82,35.0,34575.0,1
2021-07-26,989.0,993.0,985.0,985.0,-0.4,665.0,656450.0,-1
2021-07-27,985.0,985.0,985.0,985.0,0.0,25.0,24625.0,0
2021-07-29,978.5,978.5,978.5,978.5,-0.66,10.0,9785.0,-1
2021-08-01,980.0,995.0,980.0,995.0,1.69,50.0,49300.0,1
2021-08-02,985.0,985.0,985.0,985.0,-1.01,25.0,24625.0,-1
2021-08-03,995.0,1003.0,985.0,985.0,0.0,85.0,84645.0,0
2021-08-04,981.6,981.6,981.3,981.3,-0.38,240.0,235537.0,-1
2021-08-05,985.0,985.0,985.0,985.0,0.38,60.0,59100.0,1
2021-08-08,981.1,981.1,981.1,981.1,-0.4,25.0,24527.5,-1
2021-08-09,982.5,982.5,982.5,982.5,0.14,25.0,24562.5,1
2021-08-10,983.1,984.1,983.1,984.1,0.16,75.0,73780.0,1
2021-08-11,980.0,980.0,980.0,980.0,-0.42,25.0,24500.0,-1
2021-08-12,981.0,985.2,981.0,985.2,0.53,55.0,54060.0,1
2021-08-15,985.4,985.6,985.4,985.6,0.04,85.0,83771.0,1
2021-08-16,982.3,986.0,982.3,986.0,0.04,50.0,49207.5,1
2021-08-18,985.0,985.0,985.0,985.0,-0.1,75.0,73875.0,-1
2021-08-24,980.0,981.0,980.0,981.0,-0.41,50.0,49025.0,-1
2021-08-25,980.0,980.0,980.0,980.0,-0.1,25.0,24500.0,-1
2021-08-26,980.0,990.4,980.0,981.0,0.1,125.0,122619.0,1
2021-08-29,981.0,982.1,981.0,982.1,0.11,250.0,245485.0,1
2021-08-31,981.0,985.0,981.0,985.0,0.3,100.0,98300.0,1
2021-09-01,985.0,985.0,985.0,985.0,0.0,140.0,137900.0,0
2021-09-02,979.0,979.0,979.0,979.0,-0.61,100.0,97900.0,-1
2021-09-06,980.0,980.0,980.0,980.0,0.1,25.0,24500.0,1
2021-09-08,970.1,970.1,970.1,970.1,-1.01,25.0,24252.5,-1
2021-09-09,975.0,975.0,971.0,971.0,0.09,50.0,48650.0,1
2021-09-12,970.0,975.0,970.0,975.0,0.41,50.0,48625.0,1
2021-09-13,975.0,975.0,974.0,974.0,-0.1,75.0,73100.0,-1
2021-09-14,975.0,975.0,975.0,975.0,0.1,30.0,29250.0,1
2021-09-21,965.0,965.0,965.0,965.0,-1.03,25.0,24125.0,-1
2021-09-26,975.0,975.0,975.0,975.0,1.04,50.0,48750.0,1
2021-09-27,970.0,972.0,970.0,972.0,-0.31,60.0,58270.0,-1
2021-09-30,960.0,963.0,960.0,963.0,-0.93,60.0,57690.0,-1
2021-10-03,961.0,961.0,960.1,960.1,-0.3,125.0,120080.0,-1
2021-10-04,960.0,960.0,960.0,960.0,-0.01,50.0,48000.0,-1
2021-10-10,957.0,957.0,957.0,957.0,-0.31,50.0,47850.0,-1
2021-10-17,956.0,956.0,956.0,956.0,-0.1,25.0,23900.0,-1
2021-10-20,956.0,956.0,956.0,956.0,0.0,25.0,23900.0,0
2021-10-26,951.0,951.0,951.0,951.0,-0.52,25.0,23775.0,-1
2021-10-28,950.0,950.0,948.5,948.5,-0.26,50.0,47462.5,-1
2021-10-31,950.2,950.2,950.2,950.2,0.18,30.0,28506.0,1
2021-11-03,950.2,956.0,950.2,956.0,0.61,100.0,95255.0,1
