published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-10-21,1000.0,1000.0,1000.0,1000.0,0.0,25.0,25000.0,0
2021-10-25,980.0,980.0,945.0,960.0,-4.0,500.0,478402.0,-1
2021-10-26,950.0,960.0,950.0,959.9,-0.01,425.0,406992.5,-1
2021-10-27,954.1,955.0,954.1,955.0,-0.51,150.0,143147.5,-1
2021-10-28,960.0,962.0,960.0,962.0,0.73,125.0,120075.0,1
2021-10-31,950.0,957.0,950.0,957.0,-0.52,105.0,100152.5,-1
2021-11-01,960.0,976.1,960.0,961.1,0.43,395.0,380872.5,1
2021-11-08,970.0,970.0,966.0,967.0,0.61,80.0,77405.0,1
2021-11-09,967.0,967.0,967.0,967.0,0.0,25.0,24175.0,0
2021-11-11,960.0,960.0,960.0,960.0,-0.72,25.0,24000.0,-1
2021-11-14,960.0,960.0,960.0,960.0,0.0,50.0,48000.0,0
2021-11-15,960.1,960.1,960.1,960.1,0.01,50.0,48005.0,1
2021-11-16,960.0,960.0,960.0,960.0,-0.01,100.0,96000.0,-1
2021-11-17,960.0,960.0,960.0,960.0,0.0,50.0,48000.0,0
2021-11-18,960.0,960.0,960.0,960.0,0.0,25.0,24000.0,0
2021-11-21,960.0,960.0,957.7,957.7,-0.24,100.0,95887.5,-1
2021-11-25,960.0,960.0,960.0,960.0,0.24,25.0,24000.0,1
2021-11-28,960.0,960.0,960.0,960.0,0.0,50.0,48000.0,0
2021-11-29,960.0,960.0,955.6,955.6,-0.46,150.0,143780.0,-1
2021-12-01,955.2,955.2,955.2,955.2,-0.04,25.0,23880.0,-1
2021-12-02,954.5,954.5,954.5,954.5,-0.07,25.0,23862.5,-1
2021-12-05,954.6,954.6,953.6,953.6,-0.09,125.0,119262.5,-1
2021-12-07,951.3,955.2,951.3,955.2,0.17,75.0,71447.5,1
2021-12-08,951.1,951.1,951.1,951.1,-0.43,25.0,23777.5,-1
2021-12-13,950.0,950.0,950.0,950.0,-0.12,50.0,47500.0,-1
2021-12-14,950.2,951.2,950.0,951.2,0.13,110.0,104567.5,1
2021-12-15,950.2,950.2,950.1,950.1,-0.12,65.0,61759.0,-1
2021-12-16,955.0,969.0,955.0,969.0,1.99,75.0,72325.0,1
2021-12-20,969.5,969.5,969.5,969.5,0.05,25.0,24237.5,1
2021-12-22,950.4,969.0,950.4,969.0,-0.05,125.0,120660.0,-1
2021-12-26,951.2,951.2,951.2,951.2,-1.84,25.0,23780.0,-1
2022-01-02,949.6,950.9,949.6,950.3,-0.09,75.0,71270.0,-1
2022-01-03,955.0,955.0,955.0,955.0,0.49,25.0,23875.0,1
2022-01-04,974.1,974.1,974.1,974.1,2.0,10.0,9741.0,1
2022-01-05,955.0,955.0,955.0,955.0,-1.96,25.0,23875.0,-1
2022-01-06,974.1,980.0,970.0,980.0,2.62,100.0,97452.5,1
2022-01-09,990.0,999.6,990.0,999.6,2.0,250.0,249360.0,1
2022-01-10,999.9,1000.0,995.0,995.0,-0.46,125.0,124747.5,-1
2022-01-11,1000.1,1000.1,1000.1,1000.1,0.51,1000.0,1000100.0,1
