published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-05,10.0,10.0,9.06,9.45,-5.5,42010.0,385279.5,-1
2026-08-06,9.2,9.5,8.75,9.16,-3.07,26480.0,243789.8,-1
2026-08-07,9.1,9.5,8.99,9.15,-0.11,38577.0,356587.36,-1
2026-08-10,9.0,9.25,8.96,9.25,1.09,32050.0,290849.5,1
2026-08-11,9.0,9.11,8.93,9.05,-2.16,8040.0,72614.8,-1
2026-08-12,8.78,9.5,8.78,9.21,1.77,21470.0,199287.5,1
2026-08-13,9.2,9.4,9.0,9.1,-1.19,8545.0,78343.4,-1
2026-08-14,9.0,9.32,9.0,9.32,2.42,12250.0,112071.5,1
2026-08-17,9.05,9.32,9.05,9.1,-2.36,6000.0,54701.0,-1
2026-08-18,9.0,9.11,8.92,9.03,-0.77,7350.0,66435.5,-1
2026-08-19,9.01,9.29,8.8,9.02,-0.11,7950.0,72106.5,-1
2026-08-20,9.02,9.05,9.01,9.03,0.11,4900.0,44226.0,1
2026-08-21,9.02,9.27,8.9,9.01,-0.22,13922.0,126059.0,-1
2026-08-24,8.74,9.05,8.72,9.05,0.44,8400.0,75398.0,1
2026-08-25,8.8,9.16,8.8,9.15,1.1,15500.0,140034.0,1
2026-08-26,8.88,9.1,8.88,9.1,-0.55,4300.0,38943.0,1
2026-08-27,8.85,9.15,8.85,9.14,0.44,10100.0,91795.5,1
2026-08-31,8.9,9.16,8.72,9.0,-1.1,7800.0,70209.0,1
2026-09-01,8.73,9.01,8.51,9.0,0.0,7600.0,67157.0,1
2026-09-02,9.0,9.0,8.56,9.0,0.0,4660.0,41293.0,0
2026-09-03,9.0,9.1,8.73,8.93,-0.78,8700.0,77723.0,-1
2026-09-07,8.8,9.05,8.8,9.0,0.78,6350.0,56715.0,1
2026-09-09,8.74,9.08,8.74,8.87,-1.44,7780.0,69183.0,1
2026-09-10,8.86,9.1,8.5,8.71,-1.8,5955.0,52247.5,-1
2026-09-11,8.6,9.0,8.5,8.87,1.84,7390.0,64285.0,1
2026-09-14,8.68,9.1,8.68,9.0,1.47,4200.0,37576.0,1
2026-09-15,9.0,9.2,8.92,9.1,1.11,6475.0,58295.5,1
2026-09-16,9.05,9.1,8.91,9.06,-0.44,6000.0,53963.0,1
2026-09-17,9.03,9.18,9.03,9.1,0.44,22100.0,201856.0,1
2026-09-18,8.91,9.15,8.91,9.1,0.0,7300.0,65686.0,1
