published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-02,299.3,344.1,299.3,344.1,14.97,410.0,139313.0,1
2026-07-03,359.5,395.7,359.5,395.7,15.0,230.0,89858.0,1
2026-07-06,396.7,455.0,396.7,455.0,14.99,1260.0,571609.0,1
2026-07-07,477.0,523.2,477.0,503.1,10.57,156960.0,79567412.0,1
2026-07-08,505.0,509.0,465.1,471.1,-6.36,164060.0,78457570.0,-1
2026-07-09,471.1,471.1,445.2,458.8,-2.61,83860.0,37909295.5,-1
2026-07-10,455.0,505.9,443.0,487.0,6.15,69740.0,33893358.9,1
2026-07-13,490.0,495.5,462.0,462.5,-5.03,56722.0,26713611.3,-1
2026-07-14,462.5,474.4,444.0,461.5,-0.22,56112.0,25776480.1,-1
2026-07-15,460.0,486.0,456.6,470.0,1.84,53760.0,25334842.0,1
2026-07-16,470.0,476.0,455.5,462.0,-1.7,36739.0,17081260.7,-1
2026-07-17,462.0,486.2,462.0,481.0,4.11,55633.0,26612846.9,1
2026-07-20,481.0,506.3,468.0,503.0,4.57,101629.0,49561867.8,1
2026-07-21,505.0,563.0,491.1,536.0,6.56,129965.0,68599398.0,1
2026-07-22,539.0,550.0,520.9,528.0,-1.49,89670.0,48087223.8,-1
2026-07-23,521.0,552.0,510.0,550.0,4.17,109172.0,58185687.9,1
2026-07-24,550.0,587.0,550.0,552.0,0.36,105483.0,59577722.8,1
2026-07-27,550.0,555.0,513.5,520.0,-5.8,113444.0,60135641.9,-1
2026-07-28,515.0,537.0,505.0,535.0,2.88,85553.0,44585614.6,1
2026-07-29,535.0,544.0,517.0,535.0,0.0,52308.0,27684714.6,0
2026-07-30,535.0,535.6,515.0,519.9,-2.82,54154.0,28184799.2,-1
2026-07-31,545.8,545.8,508.2,529.0,1.75,69102.0,35892133.0,1
2026-08-03,520.0,544.8,520.0,529.6,0.11,101464.0,54010877.8,1
2026-08-04,525.0,525.0,511.0,513.4,-3.06,54401.0,28167394.6,-1
2026-08-05,510.0,522.0,510.0,513.0,-0.08,67404.0,34690830.0,-1
2026-08-06,513.4,535.0,513.0,525.6,2.46,121282.0,64136544.5,1
2026-08-07,525.0,530.0,515.7,518.0,-1.45,50921.0,26565866.8,-1
2026-08-10,510.0,528.0,510.0,527.8,1.89,45869.0,23854279.8,1
2026-08-11,527.0,538.59,520.0,523.4,-0.83,83559.0,43959943.9,-1
2026-08-12,498.0,534.0,498.0,519.0,-0.84,55196.0,28591528.3,-1
2026-08-13,520.0,525.0,512.5,516.0,-0.58,57776.0,29913442.9,-1
2026-08-14,516.0,525.0,515.1,518.2,0.43,40393.0,20997110.9,1
2026-08-17,518.2,544.0,515.3,537.6,3.74,160716.0,85697527.0,1
2026-08-18,537.6,557.0,530.0,532.0,-1.04,156945.0,85678058.3,-1
2026-08-19,530.0,547.0,530.0,538.9,1.3,75638.0,40681590.3,1
2026-08-20,537.0,538.0,528.1,534.0,-0.91,58434.0,31086294.1,-1
2026-08-21,534.0,541.9,521.3,522.0,-2.25,70674.0,37545370.6,-1
2026-08-24,518.0,525.0,506.9,511.0,-2.11,88635.0,45631273.3,-1
2026-08-25,511.0,517.0,505.1,511.8,0.16,58020.0,29502601.9,1
2026-08-26,506.0,510.0,491.5,492.0,-3.87,71460.0,35793112.3,-1
2026-08-27,485.0,510.0,480.1,493.8,0.37,62868.0,30983070.2,1
2026-08-31,494.0,494.0,467.0,471.2,-4.58,60004.0,28804918.9,-1
2026-09-01,470.0,487.1,465.8,481.0,2.08,44897.0,21499166.1,1
2026-09-02,470.0,488.5,470.0,483.1,0.44,40895.0,19778145.1,1
2026-09-03,484.0,485.0,478.0,481.1,-0.41,43151.0,20763842.0,-1
