published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-06-30,1000.0,1000.0,1000.0,1000.0,0.0,100.0,100000.0,0
2020-07-16,1020.0,1020.0,1020.0,1020.0,2.0,25.0,25500.0,1
2020-07-22,1025.0,1025.0,1025.0,1025.0,0.49,25.0,25625.0,1
2020-07-23,1025.0,1025.0,1025.0,1025.0,0.0,50.0,51250.0,0
2020-07-26,1025.0,1025.0,1025.0,1025.0,0.0,25.0,25625.0,0
2020-07-28,1010.0,1010.0,1010.0,1010.0,-1.46,100.0,101000.0,-1
2020-07-30,1030.0,1030.0,1030.0,1030.0,1.98,12.0,12360.0,1
2020-08-11,1020.0,1020.0,1020.0,1020.0,-0.97,25.0,25500.0,-1
2020-08-13,1000.0,1001.0,1000.0,1001.0,-1.86,50.0,50025.0,-1
2020-08-25,1008.0,1008.0,1008.0,1008.0,0.7,100.0,100800.0,1
2020-09-06,1011.0,1011.0,1011.0,1011.0,0.3,500.0,505500.0,1
2020-09-07,1005.0,1005.0,1005.0,1005.0,-0.59,1000.0,1005000.0,-1
2020-09-08,1010.0,1010.0,1010.0,1010.0,0.5,25.0,25250.0,1
2020-09-09,1050.0,1050.0,1050.0,1050.0,3.96,2500.0,2625000.0,1
2020-09-15,1040.0,1040.0,1040.0,1040.0,-0.95,10.0,10400.0,-1
2020-09-16,1022.0,1022.0,1022.0,1022.0,-1.73,25.0,25550.0,-1
2020-09-17,1020.0,1020.0,1020.0,1020.0,-0.2,100.0,102000.0,-1
2020-09-20,1007.0,1010.0,1007.0,1010.0,-0.98,90.0,90825.0,-1
2020-09-23,1010.0,1010.0,1010.0,1010.0,0.0,100.0,101000.0,0
2020-09-24,1012.0,1012.0,1010.0,1010.0,0.0,500.0,505600.0,0
2020-10-01,1020.0,1020.0,1020.0,1020.0,0.99,50.0,51000.0,1
2020-10-04,1020.0,1020.0,1020.0,1020.0,0.0,25.0,25500.0,0
2020-10-07,1029.0,1030.0,1029.0,1030.0,0.98,25.0,25740.0,1
2020-10-08,1016.0,1016.0,1010.0,1010.0,-1.94,500.0,505300.0,-1
2020-10-15,1020.0,1020.0,1020.0,1020.0,0.99,10.0,10200.0,1
2020-10-18,1025.0,1040.0,1025.0,1040.0,1.96,90.0,93000.0,1
2020-10-19,1040.0,1040.0,1026.0,1026.0,-1.35,125.0,129650.0,-1
2020-11-01,1046.0,1046.0,1046.0,1046.0,1.95,50.0,52300.0,1
2020-11-02,1050.0,1066.0,1050.0,1066.0,1.91,55.0,58150.0,1
2020-11-03,1075.0,1075.0,1075.0,1075.0,0.84,50.0,53750.0,1
2020-11-09,1090.0,1090.0,1090.0,1090.0,1.4,25.0,27250.0,1
2020-11-12,1072.0,1072.0,1072.0,1072.0,-1.65,10.0,10720.0,-1
2020-11-19,1060.0,1060.0,1060.0,1060.0,-1.12,25.0,26500.0,-1
2020-11-22,1040.0,1040.0,1020.0,1020.0,-3.77,100.0,102500.0,-1
2020-11-23,1040.0,1040.0,1027.0,1027.0,0.69,175.0,181675.0,1
2020-11-25,1040.0,1040.0,1040.0,1040.0,1.27,1025.0,1066000.0,1
2020-11-26,1050.0,1050.0,1050.0,1050.0,0.96,500.0,525000.0,1
2020-11-30,1032.0,1032.0,1032.0,1032.0,-1.71,25.0,25800.0,-1
2020-12-02,1035.0,1045.0,1035.0,1045.0,1.26,105.0,109275.0,1
2020-12-07,1065.0,1065.0,1065.0,1065.0,1.91,15.0,15975.0,1
2020-12-13,1058.0,1060.0,1058.0,1060.0,-0.47,200.0,211800.0,-1
2020-12-14,1050.0,1050.0,1050.0,1050.0,-0.94,25.0,26250.0,-1
2020-12-16,1065.0,1065.0,1065.0,1065.0,1.43,15.0,15975.0,1
2020-12-20,1060.0,1060.0,1060.0,1060.0,-0.47,55.0,58300.0,-1
2020-12-21,1055.0,1055.0,1050.0,1050.0,-0.94,60.0,63100.0,-1
2020-12-30,1071.0,1071.0,1071.0,1071.0,2.0,200.0,214200.0,1
2020-12-31,1070.0,1070.0,1070.0,1070.0,-0.09,50.0,53500.0,-1
2021-01-03,1065.0,1065.0,1065.0,1065.0,-0.47,335.0,356775.0,-1
2021-01-05,1066.0,1068.0,1066.0,1068.0,0.28,140.0,149320.0,1
2021-01-06,1066.0,1070.0,1066.0,1070.0,0.19,125.0,133350.0,1
2021-01-10,1071.0,1075.0,1071.0,1075.0,0.47,50.0,53650.0,1
2021-01-11,1075.0,1075.0,1075.0,1075.0,0.0,25.0,26875.0,0
2021-01-13,1075.0,1075.0,1075.0,1075.0,0.0,50.0,53750.0,0
2021-01-17,1075.0,1075.0,1055.0,1055.0,-1.86,895.0,954725.0,-1
2021-01-18,1051.0,1051.0,1051.0,1051.0,-0.38,637.0,669487.0,-1
2021-01-19,1041.0,1041.0,1041.0,1041.0,-0.95,13.0,13533.0,-1
2021-01-20,1044.0,1044.0,1044.0,1044.0,0.29,180.0,187920.0,1
2021-01-21,1061.0,1064.0,1061.0,1064.0,1.92,45.0,47841.0,1
2021-01-24,1065.0,1065.0,1065.0,1065.0,0.09,788.0,839220.0,1
2021-01-25,1065.0,1065.0,1065.0,1065.0,0.0,20.0,21300.0,0
2021-01-27,1055.0,1055.0,1052.0,1052.0,-1.22,75.0,78975.0,-1
2021-01-28,1050.0,1050.0,1050.0,1050.0,-0.19,100.0,105000.0,-1
2021-02-01,1071.0,1080.0,1071.0,1080.0,2.86,50.0,53775.0,1
2021-02-03,1060.0,1060.0,1050.0,1050.0,-2.78,225.0,236750.0,-1
2021-02-08,1052.0,1060.0,1052.0,1060.0,0.95,550.0,581800.0,1
2021-02-11,1052.0,1052.0,1052.0,1052.0,-0.75,35.0,36820.0,-1
2021-02-17,1050.0,1050.0,1050.0,1050.0,-0.19,25.0,26250.0,-1
2021-02-21,1065.0,1065.0,1065.0,1065.0,1.43,400.0,426000.0,1
2021-02-22,1075.0,1075.0,1075.0,1075.0,0.94,400.0,430000.0,1
