published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
5/12/2020,1250.95,1250.95,1226.15,1226.15,-2.02,0,104372646,0
5/13/2020,1225.68,1225.68,1201.57,1201.57,-2,0,3613523,0
6/29/2020,1197.09,1200.64,1149.73,1188.7,-1.07,0,347771833,0
6/30/2020,1187.25,1260.75,1185.72,1260.75,6.06,0,227212194,0
7/1/2020,1261.54,1336.52,1261.54,1336.52,6.01,0,407352247,0
7/2/2020,1351.89,1362.35,1256.11,1256.11,-6.02,0,476654971,0
7/5/2020,1256.18,1280.93,1246.8,1265.45,0.74,0,1033390231,0
7/6/2020,1266.08,1298.73,1259.94,1298.73,2.63,0,927841329,0
7/7/2020,1299.72,1345.96,1299.72,1336.66,2.92,0,1199041859,0
7/8/2020,1338.54,1343.59,1319.1,1326.53,-0.76,0,1078462141,0
7/9/2020,1327.13,1333.25,1312.01,1331.27,0.34,0,908086197,0
7/12/2020,1331.31,1351.82,1331.31,1340.29,0.69,0,1111090272,0
7/13/2020,1342.59,1352.69,1334.17,1342.4,0.16,0,1088716118,0
7/14/2020,1344.42,1349.24,1340.66,1347.44,0.38,0,994545109,0
7/15/2020,1347.88,1367.82,1347.88,1362.34,1.11,0,1160491522,0
7/16/2020,1364.24,1395.82,1362.62,1394.77,2.38,0,1041770867,0
7/19/2020,1408.51,1479.03,1408.51,1479.03,6.04,0,62566293,0
7/20/2020,1539.37,1556.19,1460.15,1464.94,-0.96,0,2802233715,0
7/21/2020,1472.19,1479.3,1444.5,1449.94,-1.02,0,1872220447,0
7/22/2020,1452.78,1461.29,1429.65,1432.44,-1.21,0,1532511716,0
7/23/2020,1434.08,1440.32,1417.32,1442.61,0.71,0,1327135218,0
7/26/2020,1445.6,1464.88,1444.77,1465.1,1.55,0,1942679380,0
7/27/2020,1467.89,1475.2,1456.47,1462.48,-0.18,0,1793915286,0
7/28/2020,1463.81,1466.04,1449.86,1454.89,-0.52,0,1259751557,0
7/29/2020,1452.07,1452.07,1431.46,1431.52,-1.61,0,1687093091,0
7/30/2020,1433.14,1444.06,1421.07,1439.06,0.53,0,1320266678,0
8/2/2020,1441.26,1441.26,1396.02,1396.28,-2.97,0,1841242332,0
8/3/2020,1395.08,1411.13,1384.86,1403.86,0.54,0,1290252213,0
8/5/2020,1403.88,1403.88,1374.13,1382.66,-1.51,0,1189526408,0
8/6/2020,1387.44,1388.68,1365.66,1381.37,-0.09,0,920997056,0
8/9/2020,1383.98,1392.68,1363.22,1392.68,0.82,0,977895525,0
8/10/2020,1394.78,1430.41,1394.34,1430.41,2.71,0,1555518923,0
8/11/2020,1433.35,1441.31,1421.17,1423.81,-0.46,0,1271738914,0
8/12/2020,1426.55,1427.15,1413.55,1425.32,0.11,0,951960208,0
8/13/2020,1431.89,1431.89,1407.43,1408.79,-1.16,0,1048911791,0
8/16/2020,1407.85,1407.85,1381.89,1391.46,-1.23,0,1259320850,0
8/17/2020,1391.79,1402.21,1385.7,1402.21,0.77,0,1074932597,0
8/18/2020,1403.98,1414.29,1400.81,1407.89,0.41,0,1239017426,0
8/19/2020,1409.44,1409.44,1388.17,1391.29,-1.18,0,976235059,0
8/20/2020,1392.89,1403.75,1392.89,1397.57,0.45,0,393129068,0
8/23/2020,1399.48,1410.34,1394.09,1410.34,0.91,0,1108053597,0
8/24/2020,1413.09,1431.6,1413.09,1431.6,1.51,0,2139202075,0
8/25/2020,1435.21,1440.94,1428.74,1440.94,0.65,0,1855180510,0
8/26/2020,1445.47,1468.03,1445.47,1462.03,1.46,0,2656163730,0
8/27/2020,1467.07,1472.73,1454.96,1458.04,-0.27,0,1981761050,0
8/30/2020,1459.16,1462.67,1444.92,1462.67,0.32,0,1614554300,0
8/31/2020,1466.57,1489.01,1466.57,1484.99,1.53,0,3462586125,0
9/2/2020,1509.4,1519.78,1499.72,1510.57,1.72,0,4181036115,0
9/3/2020,1524.19,1524.67,1497.47,1510.42,-0.01,0,2634886231,0
9/6/2020,1538.42,1538.42,1494.97,1499.97,-0.69,0,2782377887,0
9/7/2020,1503.37,1503.37,1483.65,1487.81,-0.81,0,2164930214,0
9/8/2020,1491.33,1500.15,1477.25,1495.15,0.49,0,1798363063,0
9/9/2020,1501.86,1511.93,1495.11,1508.2,0.87,0,2563415186,0
9/10/2020,1514.13,1532.48,1512.53,1520.69,0.83,0,2170068283,0
9/13/2020,1528.15,1537.25,1522.28,1537.25,1.09,0,3386859972,0
9/14/2020,1545.68,1553.56,1538.43,1540.51,0.21,0,3134135908,0
9/15/2020,1544.71,1548.35,1531.05,1536.03,-0.29,0,1800197903,0
9/16/2020,1537.35,1543.98,1530.67,1541.4,0.35,0,1845634030,0
9/17/2020,1555.86,1577.99,1547.13,1572.18,2,0,3315664319,0
9/20/2020,1595.47,1605.12,1574.08,1575.18,0.19,0,2742795692,0
9/21/2020,1587.82,1587.99,1561.49,1569.06,-0.39,0,2637376216,0
9/22/2020,1576.55,1577.19,1541.75,1546.15,-1.46,0,2810425268,0
9/23/2020,1543.37,1555.52,1535.03,1555.52,0.61,0,1727821707,0
9/24/2020,1565.31,1565.31,1554.38,1561.27,0.37,0,2233489024,0
9/27/2020,1569.06,1575.43,1562.11,1565.55,0.27,0,3138243371,0
9/28/2020,1566.44,1569.31,1557.42,1560.83,-0.3,0,1690154525,0
9/29/2020,1564.92,1564.92,1552.77,1553.62,-0.46,0,1829872968,0
9/30/2020,1561.58,1563.4,1542.57,1550.43,-0.21,0,1953636694,0
10/1/2020,1553.95,1572.94,1553.95,1571.04,1.33,0,2807708137,0
10/4/2020,1577.77,1588.05,1577.77,1585.75,0.94,0,3178853719,0
10/5/2020,1587.31,1594.89,1580.65,1582.12,-0.23,0,2578607088,0
10/6/2020,1588.01,1588.01,1581.75,1586.29,0.26,0,2510585332,0
10/7/2020,1593.04,1602.14,1587.59,1600.97,0.93,0,3358506296,0
10/8/2020,1607.52,1614.04,1586.96,1589.63,-0.71,0,2862712521,0
10/11/2020,1594.01,1594.36,1574.62,1576.27,-0.84,0,2395432599,0
10/12/2020,1580.14,1580.8,1566.7,1578.01,0.11,0,1949060194,0
10/13/2020,1583.29,1584.28,1567.23,1568.59,-0.6,0,1819638977,0
10/14/2020,1572.35,1573.08,1560.45,1561.17,-0.47,0,1496387992,0
10/15/2020,1564.69,1579.55,1560.69,1562.46,0.08,0,1425890738,0
10/18/2020,1565.9,1567.89,1554.14,1556.8,-0.36,0,1252748181,0
10/19/2020,1556.85,1570.38,1555.46,1570.38,0.87,0,954656107,0
10/20/2020,1576.62,1583.6,1573.06,1583.6,0.84,0,1271829990,0
10/21/2020,1591.04,1597.71,1588.78,1597.71,0.88,0,1633246148,0
10/22/2020,1609.11,1609.52,1596.22,1606.25,0.53,0,1994543919,0
10/28/2020,1612.5,1647.45,1612.37,1647.45,2.57,0,2725994069,0
10/29/2020,1661.64,1663.41,1640.48,1645.67,-0.11,0,3037694845,0
11/1/2020,1654.15,1654.15,1634.63,1640.95,-0.29,0,2930939007,0
11/2/2020,1644.01,1646.9,1635.64,1637.63,-0.2,0,2453954688,0
11/3/2020,1636.2,1644.61,1635.15,1643.03,0.33,0,2237964572,0
11/4/2020,1645.53,1645.7,1638.69,1640.64,-0.15,0,1757423745,0
11/5/2020,1644.94,1645.08,1634.38,1636.17,-0.27,0,2842469177,0
11/8/2020,1643.29,1648.58,1637.8,1648.58,0.76,0,3526777261,0
11/9/2020,1648.75,1661.32,1648.75,1652.8,0.26,0,3699879726,0
11/10/2020,1660.37,1678.79,1659.18,1678.79,1.57,0,4096190256,0
11/11/2020,1681.82,1707.67,1681.82,1707.67,1.72,0,4099604742,0
11/12/2020,1713.71,1722.32,1702.7,1718.49,0.63,0,4256475891,0
11/18/2020,1714.86,1741.81,1708.87,1741.81,1.36,0,4791041649,0
11/19/2020,1750.42,1779.21,1750.42,1778.12,2.08,0,6116730071,0
11/22/2020,1791.21,1811.63,1761.75,1782.81,0.26,0,6878787665,0
11/23/2020,1789.35,1792.41,1772.11,1780.43,-0.13,0,4762704611,0
11/24/2020,1790.19,1813.86,1786.71,1810.11,1.67,0,5442950189,0
11/25/2020,1820.87,1874.81,1820.87,1874.81,3.57,0,6817774994,0
11/26/2020,1894.78,1926.91,1879,1893.24,0.98,0,7613030091,0
11/29/2020,1912.11,1971.42,1912.11,1968.27,3.96,0,9227348348,0
11/30/2020,2000,2028.45,1971.24,1997.05,1.46,0,8867714682,0
12/1/2020,2009.46,2022.25,1966.18,2000.4,0.17,0,7404154007,0
12/2/2020,2016.82,2077.7,2016.82,2071.02,3.53,0,7463482972,0
12/3/2020,2090.79,2118.41,2040.99,2055.45,-0.75,0,8026023798,0
12/6/2020,2051.51,2051.51,1932.11,1932.11,-6,0,7209180213,0
12/7/2020,1929.46,2004.39,1914.42,2004.39,3.74,0,6667956831,0
12/8/2020,2033.97,2047.35,1982.07,1995.35,-0.45,0,5719436384,0
12/9/2020,2006.4,2009.81,1948.98,1955.75,-1.98,0,4745649292,0
12/10/2020,1954.6,1974.12,1938.92,1964.02,0.42,0,4146321050,0
12/13/2020,1973.75,2010.45,1967.44,2010.45,2.36,0,4899484131,0
12/14/2020,2022.72,2069.06,2022.72,2067.17,2.82,0,7204136923,0
12/15/2020,2085.56,2100.96,2050.9,2061.41,-0.28,0,6069331687,0
12/16/2020,2097.2,2097.2,2041.85,2055.22,-0.3,0,5144675578,0
12/17/2020,2058.72,2059.8,2025.19,2032.51,-1.1,0,6769890815,0
12/20/2020,2046.57,2046.57,1935.4,1935.63,-4.77,0,8612857317,0
12/21/2020,1919.05,1977.42,1874.07,1965.96,1.57,0,6698874354,0
12/22/2020,1987.47,2061.41,1987.47,2061.41,4.86,0,6740744432,0
12/23/2020,2094.27,2127.22,2063.13,2068.45,0.34,0,6862445215,0
12/24/2020,2091.59,2091.59,2025.65,2038.63,-1.44,0,5369046322,0
12/27/2020,2047.12,2047.19,1994.8,1998.65,-1.96,0,4623452312,0
12/28/2020,1998.81,2013.51,1981.5,2007.29,0.43,0,3850320045,0
12/29/2020,2016.26,2031.47,2009.38,2012.89,0.28,0,4092227802,0
12/30/2020,2023.59,2062.06,2023.4,2062.06,2.44,0,4446222579,0
12/31/2020,2079.37,2112.59,2073.8,2087.27,1.22,0,5703469837,0
1/3/2021,2104.85,2175.39,2104.85,2175.39,4.22,0,6344017889,0
1/4/2021,2207.05,2216.44,2154,2169.04,-0.29,0,5961733122,0
1/5/2021,2167.82,2182.39,2149.74,2165.49,-0.16,0,4566381178,0
1/6/2021,2170.82,2185.2,2170.31,2178.57,0.6,0,4425472339,0
1/7/2021,2181.27,2204.97,2179.09,2194.48,0.73,0,5874708279,0
